TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST
10992.217539221234,6378.9484731250595,4956.617895925383,5426.0401484577
5396.614110438459,4840.422853417505,4480.940745112755,4389.899715854337
4366.086683395854,4235.024714450395,3720.5624829548615,3686.9960387007404
4024.7001669034016,4758.472625474805,3616.6134332752436,3585.0265615035983
3949.9598750343866,4876.319766884247,3266.981818507119,3627.702667556338
4411.560140386233,3734.990728954598,3552.7555551036494,3569.8734197850267
4557.335029425815,4012.9980159910842,3510.261286855687,3442.6463440048497
3731.7744595628856,4633.988172341917,3712.745746477013,3509.467542658777
4848.652379036838,3804.296463349171,3361.0071439285166,3575.257488918051
3916.211033303658,3990.2163862173743,3248.386353343673,3346.5171268987074
3299.770884801964,4830.828826623635,3347.51996560809,3225.2043511194643
3596.4239791923237,4179.440559144623,3637.602065266384,3686.5952876565684
4894.8958606705355,2383.999230177495,2964.0242664309885,2460.118085927071
3478.679809059016,4690.64011731004,3540.4437847722793,3107.4889380840546
2742.989963815987,4498.259200563597,2638.0004569003486,2910.9748849854473
3449.953102653967,5169.953096377787,3316.0960849162175,3420.2317237953425
4267.27536962695,3880.02671240616,3845.3512837460803,3659.7987725737594
4891.1434209018935,3569.5138416541654,3554.477667287662,2989.421587440237
4156.858761469199,4836.417066855842,3899.4324241167988,3609.775322121882
4716.584460398278,3111.168617258162,2975.570088511175,3078.6112321982996
3720.0894631540723,3736.71039226631,2889.0538602039533,3209.239661473253
4155.509443882911,4616.12766482288,3937.1470986639038,3910.2773159983985
2841.3628099534135,4625.070363003278,2699.003152879909,2860.0111569073542
2709.903910082276,3503.848517238782,2128.9957544637177,2594.579706770907
4000.835646879061,4496.548463994706,3055.710078945887,3272.1000512283963
4904.9797265808165,3275.1067008109003,3058.0076815151915,3256.5891919354635
3931.3313316975336,3618.1739968145785,3178.7988465504945,3188.754926724182
3569.131878878184,5023.383023581337,3061.563226505966,3059.5714845272123
3047.514634707396,4565.105821644841,2808.189860847785,2786.588736969572
4213.979320490209,3829.1403053110607,3222.2367517297644,3175.5513891094324
3832.2948440605446,4419.75051191474,3085.265305661675,3076.3094462049185
4328.264294786516,3309.0755294393507,3001.186724441876,3129.583230665648
4297.273450601343,3311.4436264670644,2871.666396354398,3269.92145956265
4442.049420803345,4222.606714417092,3012.353978407947,3251.525003028987
3675.8032484327946,4267.293065040693,3299.351541012272,3258.5897219923095
3813.336058965493,4821.379583619966,3761.01076935749,3612.8229377526422
3365.724416673972,4895.833836612222,3602.43315960801,3813.965861576282
3646.0154414119147,4163.503013947382,3264.8621337868162,3354.367656090278
5040.9618694828,3354.71584164656,3419.9419041454357,3561.3318338572567
4028.0636356266077,4323.5610809298505,3684.442534035001,3712.584292885435
3825.398210701843,3933.0769202222878,3225.1478682272627,3127.0603975152185
4222.391358124847,3502.268331427438,3339.6622312039854,3363.6096871824348
4944.5165885424485,3115.4934181871336,3590.608348716114,3103.445834962613
4827.974582715048,3362.2769667913685,3762.5976733514954,3595.8871019068465
4566.588973695091,4473.34702875339,3991.009757004525,4203.503797702936
4114.1233455911915,4541.879423412579,3800.055600600291,3732.489467269079
4266.981806746403,2931.5920909741726,2365.7494012810184,2996.2285324478116
