TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C,PRODUCE_SOUND_C
5852.031660537777,3863.988182166416,5570.596696458075,5659.108521938115,8607.815856497738,9704.708666856572
7721.79193341033,7935.984333954054,9196.578633952648,11194.586283525316,11150.667316359117,12297.126714913238
12831.647690105057,12028.598179531822,12838.604996138887,14718.613512924852,13018.136146532715,13180.386857086332
13641.898052232316,13493.570541501429,13741.733783183547,14899.808740446,13303.152466397984,13154.824872533027
14956.601775618512,14817.214968194177,15334.043201532146,16257.501391139427,13221.780211459803,13139.523257160792
16473.393486847097,16603.16798745271,16199.63181383203,17634.13359071327,13607.198219382177,13135.177918166368
16355.71860006657,16276.995243879162,16318.871278563916,16348.938433602656,13514.105159427629,13265.13943107366
16745.287469909214,16614.10340959495,16926.4019666089,17727.639139307663,13985.689185416393,13499.641086257994
17815.840225780874,17334.844774712932,18013.9205024786,20298.151127104757,13682.979507987691,13547.049721831532
18061.888939661538,17783.759501108496,17935.392655053874,18157.012604936655,13596.14864543245,13553.281248711708
17455.349244193614,17631.032851270236,17676.48373282337,20694.640007073616,13603.864851064192,13768.145563178303
17773.908051234426,17336.844887193674,17935.678981571346,19140.821178175844,13855.847273522284,13928.024039543001
17600.464515798933,17335.17317730894,17462.152158552944,19332.765518122756,13931.308559776677,13946.965182994401
17416.38320956276,17309.33448420968,17651.040483718065,19219.635205455244,13939.264618122768,13947.186973115722
17341.707656109647,17269.563434187952,17409.340291017492,17454.841223249474,13937.559329886226,13940.760366799497
16955.164124844854,17015.592531290644,17183.508716736174,18145.333133344127,13930.616638448908,13929.373772826619
16685.038607705155,16602.40151558977,16607.3739158158,17120.443974815917,14234.722863887226,13909.42444330751
16054.621180566666,16225.573763068494,16616.699262129427,17553.840586898426,14466.595179743723,13889.144349925515
16588.156984544934,16643.717011746903,17998.794422560328,20042.773314220547,14577.961175253748,13866.940999862005
17119.081506399016,17170.29977054855,17338.299874303175,18259.214668071265,14146.55528907929,13844.626507517347
16512.179559023847,16509.435927700713,16629.53305877894,18293.716213392556,14176.12336361373,13827.806392383438
16376.34248263767,16584.23216976462,16615.447995443443,17312.46670039302,14476.36903838181,13802.23078336134
16287.079514881976,16428.79109819222,16426.24043361879,16774.72475240432,14105.863225828687,13728.638259164474
15866.15277688788,15871.940816064247,15934.17552689598,16394.2781873447,13824.606682299585,13696.915186153434
