TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C
14116.899854912961,14724.574008482537,17863.60836578434,14726.58334208713,5946.397129263904
12580.565325445828,12867.039994953264,14118.430591848939,12981.357272742098,11638.233360963439
12514.2799390932,12678.890483403846,13834.893277888428,12739.520937939562,11517.15913429176
12706.20739253208,12858.158761328792,14015.108115120252,12919.393230906697,11702.576147219315
12711.643496741164,12998.470950906649,14202.494163273606,13163.672421412533,11553.394193753777
12687.509951357177,12880.341505282602,13908.16089677257,12938.821457316719,11964.755852980621
12466.828117319119,12633.327973855618,13820.027043236256,12789.000961005224,11308.928724159128
12687.924517023152,12584.335209333376,13829.954911300576,12834.100592302879,11467.687246606796
12813.213839985503,12687.31522930384,13968.38453984613,12952.25321281362,11680.399703132416
12639.728435929639,12664.42329001994,13962.723945085865,12891.78314631488,11412.016106357352
12533.038408499562,12598.82463177793,13876.085134660483,12877.868330518502,11241.95159997847
12854.036708630125,13061.230253540007,14267.0142882234,13225.076332606846,11966.709104232526
12572.731745925044,12413.75597457264,13811.510450578338,12767.881173429896,11466.969225168737
12646.069013374225,12580.118743464254,13816.187830865849,12794.157130204661,11384.512653499316
12787.697292635967,12924.515313959888,13992.409316286676,13035.051580946658,11770.243044017798
12573.045955047628,12584.320277223127,14189.893966569804,12785.145248506755,10985.056298063602
12417.220125440883,12517.56740474567,13776.783669125369,12682.088628476713,11167.156181005252
12474.229487662655,12391.360471545104,13709.968348638773,12644.784972590101,11360.467005665345
12868.758723682913,12964.392022874365,14139.643795023809,13061.58203389864,11727.299059884006
12533.528074488207,12766.90388115366,14050.261842644817,12899.367152974768,11736.713859939839
12533.091953571282,12442.593999316523,13715.80064032105,12670.885113297492,11610.861143267623
12570.505692585306,12604.56415488641,14045.629660636734,12916.738215435833,11553.068818330656
12599.57794765502,12773.227747850822,14008.042606196008,12874.581503175847,11392.18178977262
12781.308203253335,12733.382416467322,14106.01619868148,12953.256263724828,11477.746926216287
12734.868287194317,12728.464203177075,14104.724211846307,12981.137061353267,11328.065237051862
12479.506476355125,12246.570467970529,13817.985079340882,12544.212468656557,11242.390637164142
13042.354962918987,12948.356748809365,14322.632756072708,13288.92644691355,11383.437083219458
12288.679382009466,12499.48520822541,13696.452856399943,12598.500162902077,11430.690491159228
12718.297872039011,12811.625843440388,14125.51012652572,13085.178112351108,11834.058660026725
12763.599455711634,12524.290733788222,13991.075784104427,12920.70389386994,11215.673554844416
12798.615944306222,12787.13569144272,13931.772775910904,13021.324981499974,11604.204461136482
12495.997702735987,12360.399868572444,13965.65914729854,12731.662042052354,11093.012108793158
12314.56601061383,12222.766285785296,13684.858680682346,12484.518699763834,11290.91733934429
13133.002755126232,13189.09843303744,14453.843084744776,13428.765742173862,11774.98495150542
12867.747151356567,12799.327198362167,14126.892426557535,13034.495686611857,11480.588077794811
12758.815288752703,12645.278875727323,14182.287687478854,12954.133819210667,11849.170628061363
12956.46091645705,12867.201928549799,14285.194957891012,13084.122258376194,11549.353759360563
12681.593060130597,12817.8666403685,14040.366495315677,12960.062045096594,11705.110456688153
12817.828455088098,12768.572959936779,13856.968839002164,12945.092231821342,11848.931888986113
12527.860469544963,12420.937534486977,13929.716527347578,12874.333166379938,11404.40962205338
12584.727178060853,12499.18649781589,13641.549723189391,12682.619672784995,11565.526279174574
12562.053698423771,12391.644506228586,14028.32153699071,12637.234350691544,11083.023064388795
12867.037340517918,12966.60425892348,14173.453331989807,13140.875467941689,11848.280397940756
12523.290677157205,12536.715943788604,13727.780274090224,12788.939541471611,11470.445924215554
12578.26330704483,12804.689594128755,13967.904989706994,12899.183095848217,12132.675935573197
12540.76270687041,12355.738521631001,13583.531702346685,12656.829765774954,12362.702704832687
14099.504836820262,13777.929988072872,15221.544312037176,14222.066869018188,14053.804547694943
14348.905903121604,14098.401756820089,15457.517143120016,14415.012430618035,14001.368070858318
15121.581004543903,14948.829207818657,16136.467723190055,15173.001238859055,15230.325065473848
15921.592169359574,15641.253185049392,16906.862232876363,16034.1428733773,16323.093354182743
16475.70184519007,16403.95065177524,17883.47659022117,16591.55852946745,16934.700246572196
17051.322824516097,17000.032949538214,18211.064452972943,17201.313588488785,17143.06072886777
15778.27473609625,15574.545270918312,17001.006900334814,15819.29562245584,15982.907024979673
16778.800059505797,16543.79963259273,17784.732354689753,16786.11191627809,17252.982580197964
17838.203684744014,17566.36323326303,19009.19885508602,17885.09752514568,18327.592779758194
18141.83929888083,17980.42886576536,19099.062030263718,18207.529748848814,18684.196988140422
19573.15891523795,19184.688499005133,20669.270058483005,19689.54147528677,20200.62987181374
18284.926903246527,17956.231245925585,19286.574957778554,18350.990261619314,18843.837294334524
18541.24996310772,18279.19173560891,19465.973351280176,18444.339472373416,19018.269150400683
18661.288427966596,18460.883203840127,19568.034199849833,18705.013297606904,19022.157877356745
