TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C
7553.736835378917,15956.228482513367,5422.4230973972935,3125.837768202944,4734.220837271678
11627.38489797726,12932.557022273108,10051.92641608313,9435.90739108535,6830.390578850752
12471.117491372654,12526.738200552685,11090.528595302227,11844.68380531963,9519.592530116282
13062.526925478967,11428.731712909395,11771.672229177515,11424.10881391826,8855.910833902093
13353.832460444677,11329.98191183916,11479.654759439423,11748.095614557064,10654.70663434139
12777.422959257983,11640.587411534128,11539.657693870844,11943.524212867416,10718.71423598876
12936.183264046836,11964.591586859557,11672.05434989185,11912.31377408084,11355.396206023495
10901.228061251586,13101.003048869588,11264.656119203113,11413.987497418233,9878.25138659373
12562.366652115174,12535.510304121537,11866.658147805083,11455.366332010626,10345.81770953877
12105.702113454217,12696.495791283847,11684.181981914786,11884.767228371433,11487.303220579177
12215.379412035652,13161.712900502067,11872.15193821919,11850.45802874135,11135.611857065376
11655.608919854376,12787.35910215208,11470.574064578002,11508.77238339523,10271.197359396067
12614.365687791344,11760.416919387932,11367.481716289696,11482.630147820439,10410.907044409445
12919.80404699183,12273.13092627893,12189.91446772294,12250.724218450974,8908.233476739939
13190.965366636754,11635.967099465868,11581.154132573418,11478.282586715008,8875.02344439145
12696.578537570971,12391.083030606918,11972.92701219261,11773.37074687824,11202.945783619907
12659.139013863212,12769.937667710517,12037.111271946065,12081.19690583606,11650.14797928529
12760.021631449046,12561.899570734942,12135.3845749102,12138.168151601989,11869.153420457264
13063.314465928128,12016.706727728833,11854.771623325902,12028.530697454562,11540.809763171197
12182.287639057256,13122.14073784922,11754.111835403892,11808.721113079915,9257.651556607594
12948.462229144552,11846.053293458486,11719.610757214667,11805.582491274876,9775.267744894583
12520.601997199663,11856.963939054953,11659.845464253634,11712.802931714568,10823.888503354152
12860.031535144439,11368.742972298818,11354.198835640838,11320.500163947287,11108.612883598951
12223.301081378839,12377.983815786321,11525.70805725422,11723.809827151475,11301.992535496465
12032.210285317022,13279.232113244958,11889.067455655766,11692.255787282931,10921.67595943521
11672.863204349895,13192.117571464403,11744.026753750275,11502.84012851648,11190.33592889457
12931.226212460759,11585.956735150838,11508.392824892115,11391.924157474401,11166.48988809591
12130.118726830598,12637.00555669365,11805.56169068905,11782.919112898222,11258.438300121732
13427.668518352431,11585.926761132743,11993.589543770828,11957.47085226601,11368.495236802319
12349.315396117729,12822.694379238514,11952.350295002974,11959.257598959692,11722.01503306033
12718.86838587697,12593.847106816456,11924.185567849843,11911.394220366446,12010.724878116343
12688.835768297511,11911.631885960958,11594.989035239487,11620.20954461923,11340.175935005369
12384.059553798028,12449.762223723641,11632.844953515698,11672.593711843481,10811.094832781771
