TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST
14790.542602420244,15936.733010944728,18885.852587191184,15906.610779130197
12648.437401031668,12654.673452390945,13901.688533655906,12871.434667605832
12919.571492291148,12967.892116000838,14495.218998452958,13068.235963807489
13218.901920627848,12954.760227867397,14202.508003304365,13303.41761131208
13086.146108579138,12958.13798607555,14238.886383097532,13069.427249045875
12849.605477295288,12786.500839613967,13939.804570887007,12943.847623015105
12966.63451787886,13059.543030647008,14268.256127059256,13226.40173138561
12546.542963185693,12524.884838001133,13896.880338391295,12771.779824469779
13165.281898586481,13011.555802422283,14249.911159133417,13304.523015689323
12703.412348508798,12872.564552845535,14002.120062965194,13029.732388635512
13242.062605657366,13110.2454978347,14409.458917916,13394.957096515227
12956.182509663206,12864.175167051764,14136.329689824755,13193.728587424821
12744.35315246083,12681.382868113686,14048.304057934969,12853.71127648899
13190.670179220278,13008.72943272627,14312.453535169618,13269.721896734274
13002.479230069674,12999.287052979622,14259.046412972324,13215.00745825511
13175.456204913688,13049.331594770363,14419.742820068239,13351.144174770396
12732.250681290083,12829.533052002465,13982.974056956082,12980.83994123171
12975.644119067429,12905.419903699809,14226.003176168513,13178.540248722933
12668.209216624,12624.630533552512,13897.971784645157,12798.943492743629
13063.541106023833,13286.038626368007,14391.442376908411,13368.68702800379
12644.904836172245,12760.257650811503,14030.16757643458,12903.691884252987
13009.835334102236,13009.65360212731,14355.68380548106,13310.387846361764
12869.121589244089,12691.628552779228,13883.320538776987,12921.139496265065
13131.970553974037,12975.335374129083,14319.675581954034,13192.388174813002
13060.850379085661,12973.891502321365,14296.103051568325,13141.203689136928
13055.69094955616,13186.613597601034,14378.40215674843,13284.591624166185
12874.690052322117,12872.410705401506,14156.671540594392,13106.881982673163
12904.66099164397,12936.160869918594,14215.906828734349,13180.786970185069
12963.612102493618,13208.840600538071,14413.318667749449,13323.936410108303
12634.207174152936,12775.787368058918,13955.017325158487,13015.83836238265
12796.70795191463,12951.619660467788,14123.858582498691,13038.09740098624
12631.07656539045,12788.055969549596,13817.835248547668,12974.853584906541
12768.890647160524,13005.17032774314,14161.825565163872,13132.359324842753
13093.40394209006,12809.795983375914,14129.54265358383,13129.946455707703
12465.891470147872,12569.89164770939,13821.904653488704,12740.286647568884
13052.730681439067,13173.391697853784,14196.666313554357,13315.063612206886
12856.848353248843,13024.504699931204,14277.80758605898,13168.534884572313
12580.226472557277,12571.929875508864,13948.55039454139,12880.730057213557
13352.037016982022,13259.722733761142,14539.657177080297,13383.522363871853
12779.182249861236,12644.827750861277,13969.750003963583,12885.037607239552
12873.98081832563,13004.336959893606,14251.832878683495,13198.071028964036
13015.776280282964,13172.930088643907,14530.931457583172,13319.161941584387
12940.84937564778,13097.558100646858,14198.967995426823,13267.949402181024
12648.522588282853,12764.194721026426,14144.995915599116,12966.97440143525
12647.442226125893,12651.339520883399,13842.9740460687,12850.238339017733
13064.874729306463,13117.584685052681,14324.931392098408,13300.606255627628
13115.959046458378,13230.799281343336,14440.88533430038,13454.17588216071
12881.446204270604,12783.830876753329,14131.875865258182,13076.658775801066
12718.42971935369,12606.224497340458,13771.975561804062,12835.501033698645
12799.388151987127,12868.623235915002,14014.75411329383,12963.12734317613
13139.763988031551,13264.771324286427,14499.792875315465,13370.993412979744
12936.825127639879,12852.563326921223,14202.844008788934,13110.644169629464
12801.915533974596,12723.825004906652,13840.181193355356,12923.954880506652
12969.253337258473,12837.096314727441,14247.169181118557,13168.91260834047
12996.522002380354,12994.95197950132,14282.398597022317,13197.660732051763
13285.92507840291,13136.804375653508,14493.747873407481,13383.326781600075
12904.318941813446,12863.410283396855,14065.097750577825,13177.996596761332
12875.409945007368,12828.3364731866,14009.973068219408,13041.023741885423
12809.404230124344,12920.080562889481,14265.550068402492,13117.73823929598
13027.52780780473,13052.092795933648,14357.920568579106,13309.409398578902
12690.142547513593,12687.164740397382,14005.88844875984,12882.70633978467
13159.683405056245,12947.016280188189,14398.164844593484,13345.739694406446
12722.389429882496,12801.598722716226,13912.815958280238,12935.375596982612
12547.405132635828,12657.094180328791,13985.256787992163,12756.662667357865
12980.168877237558,13298.699341982468,14395.763511289184,13388.480880377261
12980.18164236202,13000.00075344375,14293.047576706433,13209.31297423785
12955.35460655149,12752.911814988309,14090.806987463851,13119.735032303
13011.11646921364,12992.956955775202,14317.194148768342,13201.288174506233
13158.657902671548,13343.860503993532,14371.314607067743,13362.612013639306
12775.89834068931,12778.979610427139,14108.45507646127,12934.167874846771
13052.06415143116,12708.864027731677,14180.437318390284,13243.780066580019
12975.840156594508,12812.134676207106,14363.80142621972,13165.630533329388
13036.63540930172,12916.11486612787,14089.86301716199,13161.25449986503
13058.579769107637,13095.113427653063,14330.376135771096,13303.72324376796
12708.690492635513,12830.985806829036,13981.0647092,12858.925017819216
12780.963272973444,12697.419047941643,13977.445684136343,13030.857435547325
13284.029554457044,13285.302973248681,14339.938779315495,13443.22106769441
12568.25200816711,12664.562086003678,13808.911247706916,12808.356417856307
13076.544317733858,12888.887468366129,14261.98541050002,13283.696885076366
13154.58997646717,12961.603179392714,14330.201809081276,13291.794733275101
12746.220205263688,12655.132373984356,13960.27277474953,12831.721835261496
13148.73350182266,13026.730988383697,14329.667974947768,13282.742606490405
12748.202585103967,12611.274039335365,14046.301382091406,12911.724467776638
13387.974802514667,13293.065194629551,14622.465944346151,13423.124769153648
12687.086167611727,12652.494552320846,13874.746184369284,12882.559544103913
12975.12031841331,12783.237434299732,14172.977548237795,13107.605260392178
12844.569997335746,12793.563658532123,14092.098886993626,13019.259498762649
13177.745191463726,13158.740669646355,14370.959544103798,13361.229409991638
12812.001263612354,12928.875814621257,14053.471371348425,13059.40619338098
12670.86317922318,12765.802587339973,14054.26973130283,12999.306855311845
12558.774692912413,12732.875561226823,13835.635813897541,12834.473916052371
13101.398315643142,13202.363409546628,14391.64587465016,13323.765933338469
12947.868514058073,12819.619309904147,14231.473853947191,13170.02540608318
12726.746297072057,12859.531117169845,13977.047219607652,13022.791630979678
12543.615696409637,12740.398030328568,13850.704079682955,12832.4387579704
12802.44992760367,12955.09965587865,14102.894465660731,13129.375264205364
12988.490388638793,12796.460561114904,14132.605491197983,13154.388429622955
12924.834493664845,12896.673968815068,14116.183837362838,13113.66866901426
12912.729983283056,12814.859838007344,14036.300718926163,13076.345253333553
13148.904319642315,12942.17886542735,14355.136750013136,13246.954083138007
13184.476653608643,13211.342183167757,14391.90657091904,13333.967908697288
12433.133602176884,12583.915581842419,13767.327510298119,12641.152667537963
