TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C
23013.633125678367,2810.8654613567314,0.0,7849.095180203293,4885.067557092719
15356.807053497443,5092.326561210392,951.4783499403696,12252.824720898388,8557.234362112873
14347.267226660171,7872.7517782073655,2034.7287653598164,12471.203234920957,8918.747487612363
14574.141681527544,9571.67601493472,5220.945025894524,12612.062021050386,9346.829290164758
14945.887889158372,11604.338761143395,9002.92732792815,12853.261910297964,10688.23619667508
14859.692350700394,12675.820455837018,10933.656819389505,12967.234533615721,11601.063678437393
14699.555712328749,13124.197333767723,12178.463282002835,13103.874394867318,11791.22828991839
13705.30718294142,13669.29792106496,12964.260733663283,13346.175524186,12198.42436610596
13316.062293170293,14554.497620218965,12960.304419435168,13479.369887185258,13066.072179866505
13385.64794045855,14210.344996838294,13020.523815539822,13514.303772153387,13153.073333776741
13592.845152774702,14745.015990173855,13206.543340974087,13409.709788122478,13439.671526723394
14045.228691129709,14542.847351231307,13389.597799773712,13536.511573412005,13593.568247764671
14504.646784508168,14002.447680253972,13655.648605578604,13503.517479160264,13674.175919962117
13875.515713535398,14572.88943571119,13701.666397557254,13726.351814010612,13679.72656488336
13510.108947866209,14756.202507189779,13694.566286479205,13545.261540299474,13454.288168515206
13486.14738444966,14920.127282293173,13522.109887524362,13331.226225970333,13400.35764361392
13746.901089894955,15209.518877297774,13903.516602284517,13925.909962305062,13719.313082087263
13763.418483706884,14288.437008964182,13893.681337730433,14116.681720860413,13692.236150782326
13687.35863753526,14574.173558920033,13744.163498550308,13472.434388293965,13629.833859723747
14057.598538524077,15139.762975411433,13558.990010588801,13475.424415413425,13451.124372822127
14213.674987123453,14175.15610452672,13547.652426941075,13666.114224838633,13473.116123755664
14789.932960573951,13642.543132517614,13564.662694691588,13598.769576460334,13473.181041196109
13092.58635310028,14241.292521893869,13074.852366407324,13083.174369897013,13021.160668492184
13284.845623490293,14845.567357258597,13664.136858809674,13241.337654858407,13276.194566632103
13581.98719020374,14255.191591705157,13655.592109140616,13507.089846281839,13461.9928573477
13780.1185427805,13345.295866317687,13364.186476772731,13786.94047574994,13367.588130302991
14802.540952465079,13595.026929421627,13454.891164428622,13693.735153718386,13593.135832278615
13740.516660216246,14050.535742969749,13506.665843996578,13526.107933479681,13549.301666090461
14430.3105293382,13259.070242532072,13250.491873982877,13293.208255161611,13223.16800218024
15130.254511160905,13567.84540056569,13538.36012995601,13322.939162807537,13604.31003313073
13809.218576763627,14215.034295932113,13399.711474978722,13525.671298005731,13341.291589532944
13447.765617294252,14560.9527147604,13616.070119248083,13755.366724257427,13511.558385490987
13841.221068392255,15246.644840720573,13694.887980181291,13763.335282065218,13924.59426255509
14427.45814702618,14019.79084830138,13796.629043090297,13862.629462529261,13968.553573425948
14320.565529559353,13811.392981050867,13645.713552227942,13529.007156940885,13631.073861170607
13517.52355215013,13475.276639666934,13387.10272728244,13813.938611210026,13429.37878385326
14709.11764502926,13322.193036787705,13348.937092562539,13259.550473211384,13308.568915687585
14553.5838655899,13488.968905950296,13511.684797839303,13273.70490966314,13481.368565782488
15166.539733723797,13506.529270067887,13523.643690098794,13343.023185355552,13659.976888305962
14472.875409582568,13487.79800377949,13567.573532748063,13259.882608651327,13602.51489932712
14579.825052675431,13322.392305001673,13323.436444178707,13244.413627232827,13402.383921397743
14589.522381659117,13539.851478786792,13332.670947091901,13288.990093369648,13233.866328035774
14051.116163198485,14201.223051434063,13364.504856488395,13349.166464123702,13346.48122900503
