TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C
18159.946711138527,20109.86110220333,18922.396280033317,20967.153215777376,26030.877297280622
14817.263168649977,14694.000250302897,14555.274006484702,15733.886957772758,14747.650170976294
14019.11890346929,13851.255955625431,13855.128083196481,14811.073160503704,14334.793411723102
14012.202649021501,13888.341191427062,13864.997063468836,15459.950301961031,14336.438032996235
14380.761353350113,14362.750051637899,14194.120264914047,15397.945976481564,14807.256480900072
14211.516708733358,13936.719413577695,13946.354278501743,15138.852076689725,14408.286072817835
14210.419768327849,14104.481764243343,14048.630233153022,15479.370350415767,14622.32357288861
13510.646029240108,13643.955724436626,13623.864374075394,14689.840378698103,14058.987186760569
13841.48966946465,13964.286538127775,13816.398710090456,14935.201547156441,14379.750480033672
13625.863366551514,13646.112414163726,13330.805839436776,14175.001145587896,14228.077597859728
14321.836820500268,14338.255998820985,14022.163026037917,15539.24163589875,14581.90139841185
14138.789298738886,14210.363324178155,14115.361627026312,15131.306443905352,14481.613422643697
14125.8890850295,14161.99743727809,13953.21299495981,15208.16181820718,14603.013793101796
14043.239634108455,14146.77968381995,13893.695381308602,15175.475506539618,14442.546197285521
14168.381099386617,14235.323737610974,14114.688948414732,15383.90103718871,14694.194188361907
14266.57477465991,14416.5203457861,14424.293573458612,15840.469229625971,14660.188230744876
14587.41142215706,14660.197861866762,14603.108072383502,15614.725130075425,15024.94049730063
13962.12958969809,14113.837110885881,14118.248126789953,15192.891893639437,14524.949130683668
14068.719321502991,14163.612152941227,14004.396835634603,15025.26309608698,14309.955389087134
14687.44612943786,14664.06724308896,14226.594384264263,16022.989077930979,14883.658539426693
14059.762087846042,13953.474965239304,13684.595396360179,14931.728714456465,14350.006568427758
14137.45109532145,14051.921679526993,13667.346580554873,15253.730111284136,14343.00479585443
13843.749180090945,13888.356934886311,13773.97397418047,15190.922489194909,14134.498865888478
14542.84606206604,14435.323032095985,14315.970848120172,15855.458252013563,14672.016438367607
13855.722331651357,14029.809903818124,13823.98000429138,15053.103212500377,14586.467154883992
14015.392439569529,14022.829307308433,13808.445352969393,15093.517635869508,14448.343076109079
14281.56886370172,14278.835256558728,14161.60781614871,15183.504123626644,14744.067685749988
13522.547671699822,13511.293090111558,13221.651969871145,14340.698489682713,13999.396204971437
13649.276178904785,13586.600693792656,13245.251184991515,14554.630249617956,14225.54005428604
14867.506953002938,14603.048491146197,14662.794774458005,16081.900830218632,15051.547311282935
13788.6717105589,14065.124676075637,13768.386590695642,15602.592493570048,14339.097300774725
14147.72265290572,14291.654733951598,14038.69633696327,15021.249468485486,14463.190443977495
14186.752860392586,14389.357566013758,14281.882268570173,15670.85291843733,15075.07055259345
13956.52118889948,14084.429703628557,13890.129739499711,15141.15019290428,14564.825510765546
14026.921123228247,14071.346262245019,13871.590337540913,15135.306414299412,14511.575057716282
13749.530958208157,13559.160788816083,13503.945959078896,14576.738167396714,14004.078645353286
14269.387783846732,14080.802829676317,13829.623688863092,15096.065591113727,14764.41078619326
14288.110037466846,14184.70694741494,13923.744985840045,15488.66955189426,14454.960328354086
14459.296703676908,14473.842592282259,14179.81500868656,15643.400364394556,14389.746849837651
14181.020677281078,14000.160642765233,13954.663328988974,15003.79962299827,14510.054803262054
14048.1054103851,14080.297189607156,13894.055468137309,14670.360143335633,14573.31068528868
14115.22139919544,14039.166147121821,13805.155525766475,15292.544028774402,14642.914714531818
14333.171415118411,14364.020447736666,14027.21462906294,15315.448656013512,14578.06316334536
