TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C
8446.320959993001,0.0,0.0,0.0,0.0
12856.244443003976,185.42009650661143,0.0,0.0,0.0
12164.501744319963,1715.7795447909602,1660.3161903349003,0.0,418.1505075922651
12537.85691567065,2306.609123746564,2508.58371377415,531.9074235691255,1930.4761727153095
13116.679892654081,2418.4477217588264,3521.9637152627665,1081.1126495307465,3449.771471523477
12048.538855985078,3698.222179944775,5542.323478170582,2009.8081498285312,4638.92716800197
11567.370175858921,5518.194293120008,6839.888288204557,3653.687904305817,5175.017446517831
12046.75529614102,7050.772434572014,7249.277461288423,4116.237177237078,7496.691936392137
11791.110321582122,7294.594430401668,7854.290734752758,4901.095643748861,8324.37133071416
12241.572273633426,7669.683067402832,8214.911377979082,5753.739595434553,8505.270116495138
12905.145382416647,9177.992801473816,8851.44602357457,5994.3684187054705,9218.046073640955
11610.113383850354,9335.118307165052,9358.524817479765,6234.557624982742,9728.581061047718
12317.703848879788,9458.744802396091,9551.976735978487,6849.134277343445,10105.644072055751
12065.014759495903,9814.702024672048,9777.299773709283,7145.3588935768,10783.166749038537
12163.904450823691,10061.752589235852,9944.772168011239,7611.268350090793,10976.833127946913
12937.776077683338,10422.805499236681,10493.367136614335,7611.268350090793,11037.634268878655
12556.876622812335,10586.643883717028,10525.29594431081,7611.268350090793,11211.00369365118
12331.980525589646,10586.643883717028,10584.294837002011,7611.268350090793,11369.379836329505
12580.203582020094,10671.332880836344,10624.956236018921,8851.964236420888,11472.782441879815
12253.423940077486,10712.167767561123,10624.956236018921,9017.094755727072,11814.42263435257
11165.23149798751,10824.23224030221,10624.956236018921,9017.094755727072,12663.396173612613
11295.696605794416,11020.42351256846,11021.152826708447,9354.039701440624,13608.909255439774
11942.97864357265,11728.312592514847,12044.391851225875,10737.787817078864,15196.959464042735
12974.606062169341,12660.317556111077,12936.303995410408,13372.327157450227,15627.919135754295
13480.797130666759,13643.395868555606,13425.588988600548,14102.694148126853,15384.203401318995
14173.662616797901,14010.153337513679,13644.53036050069,14267.707491430601,15428.20215087111
14270.886193042268,14221.019379831614,13707.728619824258,14569.866175241146,14502.822696915047
14329.724634543538,14261.553835637154,13532.620318996587,15639.933743510795,14388.755208744278
14314.267579866068,14209.665969041367,13572.549177624926,15242.937987707952,14374.508751238192
14291.677835357184,14290.472563593472,13689.893812558936,15043.132464389193,14273.501521530769
14195.609484749652,14212.989991777955,13791.129664393216,15800.6420253585,14355.435303630999
14323.481584492692,14276.499753865653,13868.338766499,15644.520725205017,14712.187875052872
14406.31432727278,14316.939643505491,14120.855175273136,14865.043266464874,15685.19291449893
14521.124181120947,14463.66860416204,14044.760913000495,14756.574440142369,15100.605805186999
14069.486927210026,14052.03008286954,13948.530199317996,14508.1333301992,14058.404827713677
13846.029813413601,13867.420639892669,13926.350910317107,14732.817175522017,13977.212085563724
13858.054157677714,13868.718346674561,13875.740109896124,14478.60573050772,14399.23445768005
13858.443752975358,13817.53192749105,13671.334446175339,13815.611812966143,14672.502360466688
14225.598681376958,14150.549270572788,13626.803766095147,13786.138766435553,15960.865928875057
14463.764506255597,14720.92038888165,13903.937962296051,14882.971996784236,16566.77565609413
14410.86705815336,14800.150796382779,14262.072041496693,15099.248186881452,15805.36277481313
14577.020500326435,14814.006439641562,14377.25754200296,14806.331146299506,15642.849219276903
14405.334506799883,14451.33550759449,14192.988438724009,14630.055881733568,14680.858353713536
14125.672085164948,14070.038718999742,13906.232174649374,14048.45824322935,14506.541436892472
14334.673906420183,13967.76068962328,13915.793005976986,14290.72043636539,15965.207120895637
14221.122048635934,14048.358667345728,14001.52891789191,14169.267467528221,14718.36881155911
14124.731525261306,14653.91267664268,14062.210500769803,14635.777644194271,16149.310885374574
14241.1312819993,14736.757989700533,14394.30155964105,15782.505666901054,14778.519249009703
14339.365207441395,14703.619913033317,14420.390376732981,14946.773215897167,14749.09817390333
14311.475916089372,14399.188816717724,14216.929568602602,15260.151780406817,14707.308254966898
14380.458715557346,14488.502469555437,14136.14295437185,16170.175303649738,14950.731640783164
14416.80466420278,14589.63798241266,14252.426634790816,16051.660197769073,14910.771826525506
14447.590033842229,14592.485692629922,14350.71039447818,15483.96495291533,14820.705150179665
14141.41501534028,14184.571738065615,14121.39305722371,14191.891322445688,14674.990392057716
14116.846550056585,14121.519076981125,13991.266337836178,14679.220674719734,14948.096437324566
14454.969747786496,14357.530130568213,14291.192432093112,16051.931896840377,14620.45397686132
14685.326105575712,14514.657183873718,14310.855914937658,15244.037530616219,14839.978140755862
14453.262355094856,14544.237836773498,14079.705493564943,14673.104320881763,15312.029369587675
14456.331061181849,14567.173372340298,14286.373439220377,14432.910387819189,16306.800763191162
14754.110032557217,15245.179281625677,14537.988569646617,15737.03562890796,16447.440634679875
14954.220241285444,15436.983689636543,14575.21908607158,15637.37503642393,17202.281604477073
15578.2254034464,15587.27428048128,15004.675807364541,16226.323566204579,16898.398766154314
15363.435976227147,15319.727307278414,15015.843572583479,15527.577864438737,15439.527040873822
14857.715055742043,14655.791043318108,14633.951170629332,15228.3193608176,14981.99905006473
14698.778643944312,14728.19565423727,14492.765089666993,15045.221498433233,15330.165136365595
14837.099010578298,14683.920632499608,14449.764791230955,16455.564604632127,14815.48943832742
15110.132705187525,14745.07624666749,14757.682279478217,16557.86873770024,15618.324998869222
15301.080713161697,14935.239465477482,14786.068026181545,16252.865768920023,15923.538549420224
15537.848125524859,15123.179793731266,14866.922725209753,16607.77218338159,16140.47668354112
14883.872979156471,14794.165858061828,14755.883719682828,14936.146309391814,14992.198499931243
14319.200784800894,14312.61686451819,14285.546320302865,15332.798102138731,14270.518489991293
14226.84601238375,14258.089936328666,14170.287187394046,14526.15846979515,14310.290697103424
13926.098349871494,13911.79871215291,13936.466892793962,14461.87552002977,13996.741705122571
13903.804194654926,13897.22128202936,13913.449490422687,14872.946460390913,13926.954520261585
13952.213665575568,14042.811865201973,13911.540446903044,15093.34144682842,14351.56978246788
13952.213665575568,14138.344380128272,13956.447758907707,14699.281128529195,14336.740052118383
13869.376747370616,13946.333100873231,13803.840224537882,14096.82816781436,14577.850748354038
14051.928746364758,13892.855574678704,13918.574436872661,14289.494889367039,16149.298822999779
14168.20577651411,14396.836893061523,14052.980778344598,14564.397924078123,15444.871334776833
14241.941588356796,14349.18569376311,14070.67057619438,14771.907451204359,14602.923506699846
14281.79391982358,14254.538881432456,14039.166381886762,15558.57631252305,14318.531690216063
14291.348577211262,14253.421153113108,14111.028874095073,15238.279427728747,14446.480784003914
14467.068894292339,14302.062705977753,14455.39624395537,16464.87585023659,14605.19907138903
14924.575568851176,14550.443300102683,14918.922786953499,16222.5208761258,14872.497670551214
15268.24318976527,14810.934788317061,15114.064373951276,16385.870055407868,15678.783432278635
15055.756991607092,14859.57644806207,14971.018839646795,15805.884903011296,15126.868729698295
15046.375638663276,14865.965382269686,14803.836715757061,16191.043057750581,14961.625063607366
15131.525547166499,15092.426702430677,14723.910372964914,16327.100535498566,15663.121660233443
14975.206285421307,15089.262564275705,14691.640679125216,15752.063356223247,15120.547546255366
14848.516262183166,14978.070555085626,14688.539246948018,15383.074945613762,15024.188125425095
14995.092543875031,14935.989367663515,14397.55244001329,16367.318843748113,15500.713053989777
15078.08145424605,14916.955342251578,14549.977416174275,15344.965184860286,16215.505528537782
15328.663054063096,15111.847668029242,14702.01019240749,15376.865665015495,17090.165011838457
15606.433661595409,15099.38092632852,14940.804712041903,15439.098618429094,16566.217575668292
15678.650742904312,15164.913125238209,14965.713307189333,15627.468890217388,16401.158548473773
15310.87604679282,15098.856583990872,15026.476106592649,15806.433604066015,15298.738056119015
15208.628997049467,15112.542106424502,14888.402896826628,15717.714240496649,15396.553025544177
15089.83156653935,15040.35836991695,14807.22027587965,15405.089247736232,15392.10126002676
15277.28914247946,15075.905295108163,14740.857669142608,15126.414089399486,17017.528899549023
15487.614195337144,15364.856657736744,14811.676915311606,15422.472871687103,15851.633052450718
15238.326709678484,15274.871793859278,14643.062907845811,15395.498118483765,16434.847814269364
15116.034768006077,15144.541378389897,14513.457771566162,15697.843513256941,15721.232736885084
14922.23278887747,15077.059194166424,14472.804864301315,15710.742404352352,15795.569907203682
14841.7972743722,15041.158968984091,14483.60811622426,15449.127590349892,15684.801199814408
15027.904748538005,15565.675584083472,14826.284941076095,15906.051550015787,17548.372216830274
15215.334430493776,16012.560001589427,14890.188153047491,16230.27083668525,17298.46030422994
15291.266623513286,15498.320293665678,14945.02555956687,15523.60005530323,16013.46351960774
15119.535598798433,15117.380614186024,14493.243559922006,15261.55361292309,15453.873950963543
14795.776396608748,14947.297962929631,14283.271151312165,15663.5501725209,14846.767314221366
14722.28106030596,14772.437332435373,14402.813529466077,15087.512511409315,14742.10922136539
