TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C
9271.622599928349,138.24615922078243,0.0,169.16084214195007,357.6838225876922
9977.653345301856,3440.179747527361,925.4447443566663,962.8751843723129,3807.321563411939
9270.120744432717,5016.194242287313,5320.554320577136,4566.945997763429,6387.869198098902
9995.469208343466,6497.150894254731,6680.424736848766,5853.567670465476,6713.969168754471
9856.877659679,7215.900949471723,9039.500775801296,6554.809847608774,7090.318023456023
7750.881799393828,8350.722833077922,10235.034532087819,7597.726902715819,7683.665404438301
8198.570304110433,8782.86673626351,10459.253463344749,8033.608807178934,8303.845704848569
9065.45352031891,8552.2772594874,9401.677875680183,8626.411072733821,8607.271621951282
8297.105184673814,9300.751888016142,8919.334347401322,8590.692921398673,8540.064013810214
8457.92608942416,9841.332651215751,8976.108497511417,8574.90302501827,8620.656222483269
9418.77735828123,9634.09850818702,11005.226677094974,8878.600966217982,9233.076738557664
9469.09929476599,9417.683888392754,10294.080502985758,9211.001598899915,9516.532345384976
9580.435051201139,9479.669806474456,10704.277557892576,9242.542800700412,9750.156430661924
9400.620814112619,9468.132546903165,10309.149656101143,9252.41713612356,9574.32425716722
10397.692613845124,9073.270264847984,9132.335637370474,9197.107724312724,9314.653864105061
10564.316334260702,9339.664676240622,9393.43275125225,9345.537543963455,9481.732629648173
10519.784717588305,9668.141976507122,9711.180110295498,9567.37153428193,9654.503251027018
9997.605895398654,9952.237341022823,10895.025558606523,9670.174203959998,9928.382705134374
10297.643183804481,10459.956427152596,11449.20866887471,10119.647431680334,10224.449856755295
10468.291216436555,10775.19891256671,10512.593370838407,10232.564342665775,10385.254732162055
10169.747148077764,10236.406429839657,10803.475202903173,10215.260935225591,10198.03196424435
10354.692164514718,10568.946457888653,11990.110429591195,10595.163939932318,10354.242632113554
10933.236700646428,11221.413704312043,13316.07804138112,11710.891203323283,11225.816261123433
11688.439819953455,12144.396586135397,13718.020202370142,12620.530996606429,12117.18630063076
12310.306564501498,12445.600246072378,13601.173643709817,12454.79263036041,12593.75941134343
12603.329387906493,12516.460855637017,13479.877087663504,12726.42953978017,12709.430372131415
12271.810244822604,12235.07741209413,12755.53744027422,12313.994352712776,12299.464182496939
12364.123265497466,12330.431533566047,13635.165496326394,12546.777146815524,12528.74298599726
12387.214152167879,12391.466793922087,13564.354294208515,12585.704541918947,12528.605985435208
12270.55658128948,12276.325302125033,12677.429643433246,12308.388379687394,12261.137656042336
12325.58246356065,12420.546447305744,13829.132419133899,12457.27731599613,12402.071332278223
12885.804320350457,13061.795614694121,13863.411279528245,13061.994367398982,13041.544254322442
12619.223546707772,12729.533782159602,13801.840034779067,12961.0405601404,12667.295247742664
12679.719947346917,12811.207885961021,13265.698212134757,12882.954942458095,12764.987804987177
12007.573329976483,12032.440027717676,12422.703047513385,12035.611608674191,12040.56624843345
11812.239591428772,11723.740686570065,12816.940442241576,11852.946389114733,11870.937929100035
12081.767528532502,11938.84143561278,12687.338796946813,12027.80002740487,11981.55388986257
11910.06809021429,11818.655812201812,13067.81808127746,11966.21794328949,11905.16663095919
12220.747380293129,12263.717626980664,14155.179631971088,12588.284631447837,12188.004452716601
12801.191319621123,12928.051115139388,14656.29177438566,13268.092726177396,12940.515108729542
13096.654626258327,12907.374687931628,13788.048171165547,13215.563797597895,13147.723838581824
