TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PLACE_PHEROMONE_X,PLACE_PHEROMONE_X
174.2266059579372,6608.019876187876,1493.9284704640347,0.0,1008.9643952537116,669.2376160402674
993.8759416313202,5405.172295913542,3885.5497910759527,341.9564413191056,2830.633226580502,2613.921112303721
2320.5141398880264,3675.3917751284016,3405.443423250825,1019.672461929476,3105.2240226284835,2979.1626606868945
3190.2583495168956,4664.046635970617,2967.525398667474,2621.848108201261,2900.4816521514445,2982.6567651674814
3563.4207126840474,4340.937190644706,3322.0585129850588,3361.822427901157,3194.5774251778143,3378.5142686240965
3393.6513942459883,3817.904237501948,3289.9552190555573,3367.9619807259246,3272.316349382066,3376.9263867851746
4295.354484526297,3005.2723856782163,2873.601220793295,2837.2614318130104,2898.1218424583476,2980.2486379339853
3904.5171886919097,3209.6228641505195,2958.8453851220265,2777.636964053483,3166.8534582413267,3329.1270323609842
3121.8687795702067,4063.2934371076426,2992.3996531538637,2909.730013725933,3034.3234920866626,3039.253847861348
3475.635513106781,4412.755325894817,3149.867750879651,3395.976828262238,3298.338561365486,3066.3126721135754
3634.879516623604,4051.804805582227,3433.5154686119904,3702.55064092307,3548.8142889762926,3206.8614859298796
3750.7624175694914,4096.266362168168,3627.3054375927704,3761.60405941721,3606.331223307188,3345.185173471279
4150.038729147761,3553.1742620509804,3378.817164305825,3380.2181908726398,3326.9834979118086,3325.7062155228195
4239.099049831098,3625.881130869454,3310.359783877605,3466.7932838762767,3285.6808153750376,3535.8288602384914
4410.399771729451,3785.9230235016103,3486.9926597991303,3732.839105617697,3460.6422395141462,3790.621590213568
3631.6920170533235,4204.440825287374,3526.9628512319155,3468.704933438469,3516.8678990591015,3539.1288298145046
4815.459774963043,3711.935044291562,3589.6442219676132,3503.3599109731636,3959.239915173501,3868.5890119345963
4011.43182427554,3828.9625144769143,3632.782033497762,3477.3709869903705,3741.529794497304,3746.24321587294
3743.451433390849,4551.747657705945,3583.228147199313,3579.0464500341845,3765.247778784066,3616.163199109045
4035.283069286934,4375.759408971831,3829.4319805013515,3831.6445647812384,3981.9681511826684,3961.271058006889
3483.9657193559556,3539.095231289465,3445.5126321562857,3438.9069482949203,3467.098968077577,3465.9831576703455
3655.9063570932635,3338.61570258731,3226.12266387925,3200.3917825325407,3201.428826512176,3253.6941907960336
4098.777671659244,3202.7559386903276,3291.479950097597,3417.0583663812718,3267.270820000009,3294.291773578872
4455.93507173344,3425.543825091352,3200.3064953014896,3397.5456826408067,3189.1848396653218,3391.443364384117
3815.0293660846028,4024.7027784131333,3320.6678614367343,3516.666978752271,3435.2842642961155,3528.729804702753
3882.2368550189776,4534.026544891397,3899.586964842802,3703.3484434773573,3771.2072076306913,3732.3881425566606
3769.7617396924343,4151.507645043026,3756.646458688746,3729.927782819424,3739.1313431323592,3709.3917378795586
3633.1440209219263,4019.226589639448,3596.377970233745,3609.3662423917253,3580.860903811113,3578.6223142399967
4204.242776765159,3571.9261871609174,3608.062277082053,3630.247965784047,3533.3968730152983,3605.9192176762945
4273.22561429976,3705.382685664195,3775.078272033003,3854.242200074159,3575.8233595588003,3888.5675932862996
3457.8435040413574,4828.437148109151,3498.0305405394183,3414.591147708682,3580.7124869921563,3573.7411114820748
3885.3780643905316,4316.404443297778,3646.4700049342955,3590.821058118613,3737.0931594931553,3809.2619753663657
4026.3720466383784,3605.411760302417,3605.770146023818,3595.7395650879666,3587.4497926546564,3610.6121364949668
4103.568459594121,3567.564241155354,3600.8286786932717,3528.9288679642473,3633.1766901646947,3529.350826093199
4039.219324233066,3704.8523477733643,3683.7055351189324,3553.352387193904,3700.2839415315975,3676.3770117642157
4011.7121348906085,3467.133672515245,3475.575373565413,3478.9327609518955,3553.6617803338986,3474.9802965746294
4362.166798277591,3297.215483360088,3314.2675686972834,3331.622893603139,3344.901436130089,3450.361126380661
3987.8922099168485,3525.185424186419,3404.345250019348,3467.8781040899808,3574.794807879357,3560.4918208447293
4400.581209091927,3994.031312628508,3550.7598286416496,3419.5032228026867,3593.7007020952447,3540.0894074366042
4439.416477198951,4183.924037607383,3582.312164878265,3535.2332289961314,3872.6072505036273,3704.93907837494
4512.3508421769275,4034.8730520542167,3607.112765642811,3814.8040669208085,3909.5957924512504,3854.4031304232903
3944.971441030314,4383.801521963791,3697.8819226236756,3909.812758568251,3899.64284981581,3890.8541332804784
3855.730004138839,4310.628848800197,3756.3070133048495,3869.2902391119405,3878.7102783063533,3792.4899306431953
3908.3788436397517,4107.463318840359,3742.0721250403135,3806.248560838854,3810.8098605235286,3747.515820523874
4088.93481816821,3028.5271629051804,2926.8237380019696,2996.6523028431507,3049.5350506990094,3064.0792281690833
4369.038900538466,3950.69108455718,3286.9813534521695,3222.2619077888585,3452.5797185849337,3170.9636061657575
3909.0108772689805,4392.203892748049,3776.009542969909,3489.9895067562065,3825.1300091166004,3356.1589648183312
3443.0313700338997,3578.9755682891914,3357.6540426654387,3299.5130815105513,3353.4851034852927,3262.5911699222534
2793.5266672234025,3401.687109599735,2802.8504062135003,2814.731084926902,2826.793086909222,2815.3568422358017
2752.587534374019,4693.619652646551,3041.652045762159,3329.4194173710234,3078.749552265352,3194.479759513326
