TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PLACE_PHEROMONE_X,PLACE_PHEROMONE_X
7337.888848287499,15260.419943519215,5095.4551692255445,7132.530831516706,5485.735659637921,2172.526431791066
13175.583304740014,17098.277871420443,8938.829127123918,14407.09858274038,12191.77455258613,7909.559549319377
16163.240905433091,18356.894079477173,12094.319630194392,19380.978365158797,13778.24255953415,10644.234323528897
20126.593065835743,18964.01057618435,14921.403904454488,23872.71512461941,17408.53203524483,13982.360843881976
22603.358212435494,20279.845466952775,17888.525281391987,20159.932435123563,19384.664709248194,15604.88452716258
23080.93655753323,20954.69316597695,18557.574542862454,21559.749527078486,19941.35616957124,15708.335328607978
19281.411941318696,21266.332719269478,18061.085656994877,19323.06026055109,18472.808144275088,15302.479606049583
21967.662931448158,20507.681247308596,19050.720922580822,20902.655398217765,32401.648642210064,16384.395591955166
24662.68222439472,21996.426286002745,21102.230759270526,24495.056516496046,27438.64563452168,17327.681856942432
22908.89109737132,22448.728774015148,20871.84380534279,22298.866654352405,22787.776584674426,17473.152150838072
21425.87431849955,21654.659207992583,20409.52914244024,20897.28317205241,21290.184121068316,17317.24327935178
20589.986545595533,20256.017914480988,19965.697281689114,19975.335502161644,20962.6870482468,17100.575419064633
21324.211139470368,20947.317665182567,20262.417744585793,20443.866409950646,23251.194638036253,17188.391306541816
21115.43049975768,21183.25796242941,19992.81763108043,20179.493896416516,21246.478859179646,16972.92872405305
20470.76857047214,20041.59266315837,18898.18686260273,19759.82044902949,21669.75300458699,16438.722864645166
20543.463305887988,20499.20585400092,18868.053446875256,20516.1967290621,22008.486460695804,16514.203789285333
20148.171692746644,20395.611004808285,18668.05690797548,19977.847135919015,20357.14375195542,16415.540217321133
20161.281979238494,21039.240660258838,18539.706648492407,19529.097240578612,19073.771548973444,16213.780680276785
19152.512442615993,19094.52391972758,18433.840595570444,19326.26670259224,20390.16415332427,16176.856260400113
19152.512442615993,19158.038312458197,18243.55800827852,19273.772213978253,20727.902328968106,16176.856260400113
19482.56817059869,19236.114417192162,18429.245104480113,19578.751579820637,20918.572045122135,16176.856260400113
19405.583999616225,19282.32846977228,18545.467343616056,18791.53981757031,20815.509925971182,16102.569707113049
20302.060339849708,19465.572884547026,20727.731086634423,26259.284004753394,18632.157876003675,18204.458119353807
21600.793391867697,20762.043666991154,20926.6144855895,21743.688081672284,19856.726914814408,20016.72495465453
20515.81278090263,20221.165423465965,20072.79590946427,20036.93933721689,21571.702879148328,19587.99930704986
20515.81278090263,20221.165423465965,20072.79590946427,20036.93933721689,21571.702879148328,19587.99930704986
20515.81278090263,20221.165423465965,20072.79590946427,20036.93933721689,22662.356287191866,19587.99930704986
20515.81278090263,20221.165423465965,20072.79590946427,20036.93933721689,28170.658162588054,19587.99930704986
20515.81278090263,20221.165423465965,20072.79590946427,20036.93933721689,32791.904373883,19587.99930704986
20515.81278090263,20221.165423465965,20072.79590946427,20036.93933721689,32791.904373883,19587.99930704986
20515.81278090263,20221.165423465965,20072.79590946427,20036.93933721689,34442.00596117027,19587.99930704986
20515.81278090263,20221.165423465965,20072.79590946427,20036.93933721689,37033.16602979044,19587.99930704986
20515.81278090263,20221.165423465965,20072.79590946427,20036.93933721689,41262.09974133095,19587.99930704986
20515.81278090263,20221.165423465965,20072.79590946427,20036.93933721689,41602.95555712463,19587.99930704986
20515.81278090263,21771.61471456845,20072.79590946427,20036.93933721689,42167.768501875646,19587.99930704986
20515.81278090263,22310.719724143168,20072.79590946427,20036.93933721689,42594.95982868672,19587.99930704986
20515.81278090263,22310.719724143168,20072.79590946427,20036.93933721689,43106.974471998175,19587.99930704986
20515.81278090263,22310.719724143168,20072.79590946427,20036.93933721689,43206.616238076436,19587.99930704986
20943.368543580145,22724.41406043832,20072.79590946427,20036.93933721689,44113.848211049946,19587.99930704986
22591.32619195853,24309.243087887855,20072.79590946427,20036.93933721689,43284.9779352004,19587.99930704986
22591.32619195853,24309.243087887855,20072.79590946427,20036.93933721689,43284.9779352004,19587.99930704986
22591.32619195853,24309.243087887855,20072.79590946427,20036.93933721689,43284.9779352004,19587.99930704986
22591.32619195853,24309.243087887855,20072.79590946427,20036.93933721689,43639.4085941823,19587.99930704986
22591.32619195853,24309.243087887855,20072.79590946427,20036.93933721689,44559.90836319286,19587.99930704986
22591.32619195853,24309.243087887855,20072.79590946427,20036.93933721689,44559.90836319286,19587.99930704986
22591.32619195853,24309.243087887855,20072.79590946427,20036.93933721689,44575.08138972381,19587.99930704986
22591.32619195853,24309.243087887855,20072.79590946427,20036.93933721689,46687.334360307956,19587.99930704986
22591.32619195853,24309.243087887855,20657.04578008514,22214.28191332428,42578.55726757355,19587.99930704986
22591.32619195853,24309.243087887855,21397.625548060343,23003.34611665475,36374.71517614193,19587.99930704986
22591.32619195853,24309.243087887855,21397.625548060343,23003.34611665475,36709.59321729234,19587.99930704986
22591.32619195853,24309.243087887855,21397.625548060343,23003.34611665475,36709.59321729234,19587.99930704986
22591.32619195853,24309.243087887855,21397.625548060343,23003.34611665475,36709.59321729234,19587.99930704986
22591.32619195853,24309.243087887855,21397.625548060343,23003.34611665475,36709.59321729234,19587.99930704986
22591.32619195853,24309.243087887855,21397.625548060343,23003.34611665475,36709.59321729234,19587.99930704986
22591.32619195853,24309.243087887855,21397.625548060343,23003.34611665475,36709.59321729234,19587.99930704986
22591.32619195853,24309.243087887855,21397.625548060343,23003.34611665475,36709.59321729234,19587.99930704986
22591.32619195853,24309.243087887855,21397.625548060343,23003.34611665475,37234.895289572036,19587.99930704986
22591.32619195853,24309.243087887855,21856.03294882828,23003.34611665475,39679.7759376273,19587.99930704986
22591.32619195853,24309.243087887855,23082.946874413035,23003.34611665475,40526.24304213268,19587.99930704986
22591.32619195853,24930.611270032394,23082.946874413035,24256.608170916723,40893.071264751416,19587.99930704986
22591.32619195853,25821.087813300364,23082.946874413035,26025.579414231524,41081.3221108252,19587.99930704986
22591.32619195853,25821.087813300364,23082.946874413035,26025.579414231524,41085.56683005864,19587.99930704986
22591.32619195853,25821.087813300364,23082.946874413035,26025.579414231524,41636.553881859436,19587.99930704986
22591.32619195853,25821.087813300364,23312.541637247585,26801.889471959064,41979.221077126735,19953.779798197284
22591.32619195853,25821.087813300364,24016.25891845591,27956.698960817444,39793.91140625063,20918.110183949593
23829.65540897847,25821.087813300364,24016.25891845591,27956.698960817444,39906.400206830076,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,39932.274014589435,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,39932.274014589435,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,40468.93005684399,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,42142.429109577926,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,43134.593354713186,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,43437.44376660305,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,44417.621578843384,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,45962.48553325227,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,47396.97132491782,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,47891.28744159363,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,48303.519864600705,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,48730.94279860099,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,49406.65669418102,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,49406.65669418102,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,49879.42174444985,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,50077.24541796659,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,50128.420155305124,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,50180.854355143594,20918.110183949593
24112.615156356485,25821.087813300364,24016.25891845591,27956.698960817444,50902.05855981984,20918.110183949593
