TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PLACE_PHEROMONE_X,PLACE_PHEROMONE_X
14596.650026308265,2819.429146798126,4088.4301372208324,3784.4794657864354,5266.1130711532405,1487.6266264874419
13384.261200318004,8946.089347003313,12324.053541066873,10809.449843753087,10150.136688390572,7628.758619761608
12891.387546277061,11214.68093117325,17575.361926247173,12187.981559182079,12188.015135865697,9711.006168092861
13122.092798916414,11647.829006295817,16148.054969207864,13084.757236600852,12490.776295570377,11603.832584648415
16301.98335565719,13263.322911554467,12955.905262439645,12849.531908773097,13184.877721728473,12699.349817065387
17210.27904760702,14969.669537097574,14023.565580635028,12928.88143019525,12907.684249975053,13509.113367291664
15831.830660942645,14564.805999576665,14369.57287476112,13538.225730924743,14164.325498414117,14177.962242570738
16873.436211337987,14816.887081865163,16192.536659246818,13520.475853508127,14787.70568475382,14657.46076912749
16471.01852097259,15326.383134922693,15672.950775314554,14109.726126343006,15208.220492307235,15295.881261693115
14321.520675158197,15096.735579554283,14676.488349401752,13903.642036641613,14347.257639330688,14304.572706291594
15761.55198032622,17149.071564350088,15167.06512794146,15102.270252390961,14868.012996863423,14992.30383350367
15529.55764713341,16454.467165837515,15359.20222279698,14768.788108697148,14124.826349390234,15162.390219884863
15827.239997953708,14986.16442883185,15635.004888526279,13948.363487864635,14548.482178037477,14842.399022280038
20403.973110802166,18488.751753143013,20280.041001413225,25323.81085393812,20001.50299037075,18674.590754345976
25484.5743183532,25470.28442381933,25608.915824007214,26329.025765410777,25914.47056673793,25731.396560744317
18866.04706659529,19021.35085275566,18316.34860439135,18224.98976110852,18470.77457212535,18742.04150662172
16109.22923750195,15781.03909885958,15008.940869336146,15252.780757052711,15296.369121398955,15297.923362168734
23440.273733604045,23079.53940029112,22499.241736490447,30960.117893092855,25996.0800963355,23826.19281583454
34055.24301951511,33928.64313105246,34218.670670292944,36168.209414116216,37048.167658172286,34823.186965966306
34580.821171235904,34980.35683636771,35229.02463398052,37919.573169265284,36937.86151503908,35689.71193175376
33800.91850431847,33133.37599032087,33871.27583008769,34995.36478394354,36147.86445334836,34386.05883043069
37712.79127524205,37172.3050849159,38470.69271512226,39943.47389240927,41031.636408631675,38651.62281068605
37843.8949320203,37492.36714336854,37879.00588269211,41118.14011912716,39423.52546431953,38639.7865214223
38920.21869221141,38559.466450190535,39337.39493192673,40778.425918278415,42547.03863987879,39862.86881306973
41652.02098672763,41073.206606313914,42242.68604828356,44804.36356637521,44826.70963847665,42889.88431695292
41888.0190149653,41750.43166128283,42541.61297649158,44399.49755198257,44589.70626749946,43049.50565969592
42551.99931308005,42096.5156639295,43635.03427064015,45923.390446193465,45414.94918859918,43795.596179221684
45364.032237512045,44753.60268525616,45940.3685297617,49866.835694793444,49270.22384956103,47166.92125230003
45877.26527204159,45498.327935787835,46024.75411017988,47909.61225495401,48317.996542441215,46536.124171077965
47072.679763659886,45773.13722871674,46937.30111485778,49569.50184946383,50561.19994089734,47537.86152163956
42306.49240039135,41899.978627807985,42567.78237032903,44503.945441447126,44481.67698471492,42863.33762290424
43498.337690995606,44474.27413533984,44298.663148959844,46864.0289374636,45876.36301922423,44951.56048717612
42723.835458341564,43518.20178715397,43735.41905772118,46920.32480113289,45970.116680672145,44536.49187389537
43428.49108770485,44088.52419246989,43971.10649991071,46158.395243071136,46753.402927818046,44662.27495430393
40696.978108813375,40345.2062282967,40909.07775473805,43120.92729388301,42778.016984596245,41376.24742379428
