TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PLACE_PHEROMONE_X,PLACE_PHEROMONE_X
8226.447776608917,4977.960906408303,7450.993763749381,18239.817659148346,6130.995244298407,9546.579477147438
12420.473170790145,11523.900519321563,18347.755770802203,17525.865673757424,14490.289661545046,16061.71021471482
15691.615164952202,16907.56558455807,21489.81980531328,16527.09259004487,14405.064383486144,17445.36862612397
17705.99616055114,18538.11834714538,20797.772449283966,15298.150538321699,13601.430277410187,18483.343081656785
16721.788537620556,16064.022013730164,19889.06371748349,15420.152454075298,13727.928652989374,16766.38302891598
17337.242620076373,16864.768427173185,22402.33461604024,15056.684563659985,13226.185484752423,18631.041718484918
16507.466979968394,16736.38353763207,19306.97579325623,13836.738073239567,13291.056959208017,17259.11336667164
16827.367228938616,17384.374474936176,20680.901486118582,12455.50645207319,11932.313778737644,18010.750777948928
17243.96391953042,17361.46932340367,18561.754494799545,13544.23949326761,12487.448345793977,17515.881488190404
14677.072414852106,15018.245022497244,18132.823983460294,14856.682258516017,13590.343246953105,14604.044586925165
16535.949567514577,17551.206590733425,20337.48412848732,13363.323161433967,12340.183739709371,17003.68960525596
17842.996194689,17759.97475459248,20545.067182821214,12578.15711526294,13362.805004670645,17997.393083291656
16374.18911044171,16530.542431662903,19288.902855479657,14385.807913076605,13100.944547216246,16749.971353297922
18466.558614691177,18289.81397695495,25050.236238066256,17315.765205215444,13029.073669216226,18180.99538758135
24948.547822353135,23536.097584863783,27524.888878697486,24026.241877933993,21483.69745233725,24776.64707246577
18902.468272419348,18839.68258862189,20194.508964457218,18205.561573361818,18357.81219167262,19050.15667939146
16928.694953471,16647.684075670513,21151.365899359887,15944.97268881084,15008.300632511811,17487.38863900011
21307.467309649815,22779.120457888563,28022.227683190285,18699.088759427243,20523.766191003222,20981.01069989915
27385.024512878896,31383.29979637201,30111.74570259783,24454.47461668564,28846.68621960306,28395.235213595537
31516.653072243596,34587.54654789326,32541.03877852842,32489.819191684324,32109.32758185112,31964.759503110854
34238.45551460553,32778.95792980817,32594.176545841867,33260.16075112559,33070.97781241371,32549.54808849399
39153.61248024114,35664.2311925571,32971.714717467476,35814.987425469255,34575.93012003106,35140.832323917864
38658.15879107629,36523.177293066365,32481.7333842711,36695.94938967303,35988.28040131052,35908.948025188736
39892.45694257892,35620.962165544566,34933.613526093155,36405.004347685455,35890.86305643474,36149.70817120418
42736.30908541582,38642.928988519256,35579.24036215695,38965.26905483074,39619.108768209655,38730.917411660805
42034.78924218233,40026.25295353416,36173.50771901274,39675.536371946364,40797.58004711206,39355.78526002139
43156.65840271988,40369.64796055575,38268.75592747257,40426.55880791861,41358.93163543788,40369.57070572464
46733.2152693999,42912.773092081974,38452.30316115737,41664.641255518196,42760.388254077894,41551.43502543967
45495.43930009435,43943.85389556549,40415.44752164271,44156.95309710788,44163.161058851976,43047.096591869726
47163.00866261665,44115.286237633794,42243.10566330397,44089.46605421283,44755.64865806637,43339.16153010991
40631.542375404264,41211.84540459692,38919.71067374309,40190.69291699157,41461.92538239301,40098.50033506556
40222.166190687625,44460.11353298284,35207.955387032365,41334.19601118032,41508.00083632544,40424.071675269304
41598.76924541473,44153.335415170135,37144.473242140986,42416.031984346366,42458.58999966279,41572.251992790974
42098.66953627498,44299.563660914,38675.353703845314,42635.66584724407,42658.549654155206,42150.12188192885
40627.21666011623,39539.17433472023,38698.75957328124,39646.74970569685,39501.603211447444,38949.137139343846
36746.58128868488,38874.46426675572,37088.53893968081,37404.75250617742,37531.8729112259,37476.683532742274
34503.32206529968,36287.30986507652,33763.575982794515,34219.142074671414,34866.21822484474,34136.19556701076
38468.05726143844,42299.6000035208,33981.79366950772,38389.19074194017,36764.97895962558,35867.84638237161
38103.72371737553,39827.32832359498,34428.39301887527,37953.156205856525,38392.84992937919,37184.52812206218
35814.40620503405,38699.46546475437,34463.55683817787,35687.9155557495,36163.62353472999,35374.28025148307
36670.68546928133,35928.540010346354,34331.31175847127,35389.59956187593,36246.98253594019,35386.1478530876
34714.11820666334,37807.42452186076,33429.58818551057,34475.37195490923,35195.59744820981,35033.63952225987
34150.23674165895,35860.377898681065,31825.219499588195,34149.321974284765,34416.84289001397,33986.588556309136
33234.12409300379,32714.813619305118,31849.208408080292,32509.194763314255,32549.54029797717,32361.295403887256
28899.547848272785,28782.629372136493,27710.23516657054,28041.702874542778,28155.88116651317,28347.238322423884
27768.5786773547,29298.9526010702,25624.040802687683,26784.39867031245,27533.84986326915,26928.82638494378
34580.4079760493,28876.00311512142,26398.565881548715,29289.349409765495,29179.289637587914,27110.88535821478
35703.94114250379,31214.66627922977,28698.14622156387,32682.443492781837,33600.39136537959,29960.35305692702
33087.313819442126,34819.22848391467,28402.186248419,29987.664555571922,30617.998912358293,30895.20061624049
39687.31519658787,36134.78889888375,27670.068974769143,30557.776232627228,32578.35600044224,34410.21878104899
40509.98170007196,38175.245026254466,29050.304982718382,36538.60633865586,36043.33556644629,36664.112339416584
41792.22383292851,38202.975380646814,30715.960281680666,39698.771766320446,39706.63531864212,38268.46782375217
41813.02091854905,39008.64865548878,31214.74056578317,40486.949591250515,39982.32792131671,39080.04002409546
41743.04362995619,38880.544209533364,31804.52061913708,38737.684628264666,39365.428634313386,38836.622973851874
45328.99615233786,39655.011497398504,32204.52138114213,40152.63284964049,40185.1463000562,41711.46500370051
40122.20120336335,39108.81023864358,34258.38648106279,38500.121310225455,38896.87563383819,38935.82176838761
28384.22140572471,28898.20087968864,27803.7183648561,27999.34282582811,28255.04846792569,28489.827873340513
26108.30562745154,32611.215898890558,21559.467142276324,26853.4971605239,26795.44018284767,25713.71567851545
29846.207458297613,39242.51511764995,23519.126198514223,32512.86956340984,32095.507044106012,30442.53104415528
32332.423566380552,37708.27546510228,28297.707848661816,35273.42436868689,35627.61154989686,33670.0758572282
33743.95235783387,41062.445899216276,29347.89682516882,36883.25291222938,37080.46308609073,35719.928910677125
35334.153654099486,38885.97808437523,30584.830084386675,35935.587288376424,35842.58879398108,35766.38384795593
36584.05551876537,40201.489421372884,31314.172564028286,37462.15791049376,37372.070553575104,36510.65509926155
37384.75343766141,38889.11767476538,31661.590452696648,37470.28172416425,37743.16409404358,37458.37938715992
35309.26188062009,36592.74264900575,31465.457815548783,35174.40251777668,35275.712012929616,35233.869607999004
29831.829555463115,31114.89313422178,29530.928026576985,29778.604120609387,29939.622201046783,29641.057122236838
31096.82439220414,35374.14574608834,26063.02357781834,30166.798139832048,32399.652918000287,29999.24639047271
33192.87172507803,38079.428527871765,26509.484520395657,34638.73731181029,35150.04591135712,32833.896819922746
36004.50831577912,38835.22385753214,28033.964467519872,36334.45935356022,36882.039309787375,35712.561663282395
34496.834018211,35493.362704427556,28054.72156912563,34799.068038436875,34847.36159174608,34548.54515493356
31319.65759757274,36332.25931268236,27757.82124233978,32611.001512220995,31918.790543004412,32689.12720635271
33307.3119699181,38375.053353248426,28478.587730760784,34710.51662576906,32519.033470817434,34680.293139505484
36125.800956453306,39638.05492552093,30332.526678926555,36347.78748446763,35397.089790085214,36175.3135396548
35996.530552533615,38007.28674717187,31615.881411413877,36106.65251273338,35690.86211070954,35651.65979438401
35547.828636177175,38618.39510198536,31003.385305846452,36441.9713565537,36344.02906379562,35933.00867840344
37976.73213171108,37402.98389706612,31603.5939353687,36928.0224297522,36645.585688249346,36281.79288296648
40481.08138624177,38175.05812281294,32483.20500228942,37904.39787601947,37811.5141991248,37157.037498994716
38262.496859135266,37329.621001702835,32091.48227190079,37006.76772073086,37420.826273424515,36803.725500246604
36257.37544794161,35623.45487038751,32651.846795842976,34833.466636399375,34449.61743858184,34673.46104254183
35689.67205376273,34229.463968382894,33076.09193492513,34629.62330494558,33523.372414382284,34118.39112018827
36062.21395348349,34208.044705270484,30376.74133906344,33569.75694604404,33575.196952257014,32748.93224185777
36911.802034971326,34626.01290053195,29542.84134869608,33940.95155960954,34638.76049309819,33715.81942303443
40144.01726021037,36663.28454440017,30054.535774974163,36482.97850963235,35552.833878772195,34959.63120886749
42999.811742415084,39689.59458268023,32839.86053221584,38698.775928347764,37988.25559378624,36880.60067401609
38904.23696771958,38525.31297633647,33244.76656431263,37964.563299237445,38105.26430708808,37380.386555105775
36971.94920706645,38378.11010496307,33620.52971378395,35886.05845952011,36125.905793817066,35578.92321408675
37609.77463488186,42649.328444016464,33837.20266076347,38638.80336035073,37342.59098217439,37660.22818288657
40784.76854383511,45123.55527015437,36509.97983572122,41759.948364820695,41364.14806642023,40599.17532529653
37335.283811795205,39972.90831134832,35674.019105747524,36945.55457319463,38181.75906038958,37093.15764811168
37922.50941344498,44756.605039499045,34232.57492576446,38121.68702011456,40931.85223437331,39002.82682330136
41611.719076635694,45575.03769724452,35203.89443167318,41221.270366691475,43338.57196413114,41157.371419335905
40383.38683313902,40277.13847716655,37328.8717740012,40072.73282832805,40205.79492433304,39766.92314986126
35459.10409321243,35912.3075510196,34741.60194655259,35209.09378044821,35030.41943396201,35132.24339086429
31946.39540260075,33350.67297199671,30206.471316435105,31721.557312581474,31821.845550377027,31733.69793392979
33267.301896732635,35543.67105848562,28664.46132753766,34164.383868267985,32352.738705033706,32091.75902115428
34392.992613138704,36229.58825010634,27869.669321898058,34854.37885940237,32287.347560688133,33630.76546153594
33445.103053246065,36213.21710907615,29716.712143390643,32683.181906435977,33236.2607139858,33134.389522561
31249.586892565487,34271.11582352096,27946.45799278405,31446.763005136585,31371.367156876317,31385.292876854
31679.961891639316,36222.285231358495,27920.83321513905,32371.608173604924,32596.091168570976,32219.64110282942
