TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PLACE_PHEROMONE_X,PLACE_PHEROMONE_X
11907.500976921307,7466.59547581657,11893.380995438263,13191.370742066587,21761.782575369783,9363.217169525584
16483.01173390527,13712.907182538383,16317.705847560788,20034.385966546673,23899.122834547332,14309.468965220061
20425.29719023014,15889.258850300086,17424.440187490527,22699.52692666127,25607.703902688238,16383.276296399317
22065.16005980711,18930.315353528833,20014.78926699283,23168.869791616497,25918.779800450724,17800.098025949534
22361.901214610574,21267.30915570602,20742.327380155057,22110.084780235044,24462.57621629938,18501.77129930769
21239.471610105218,21921.61765504661,21463.64431431443,22793.564489409855,26577.04519940814,19349.52495679808
20875.49926251844,21601.758433956522,22040.704909399607,21403.035068310346,23980.442351210055,19742.725648588057
21053.44042058765,22169.124765279623,22177.463587085622,22357.93998279331,25017.69526378764,20337.906559173865
21563.69571647342,22098.55159299966,22060.943213996303,22019.960357991742,23808.19970007439,20447.850367432104
18531.286670727,17896.09796166388,17928.601272248816,18228.490710943297,22610.9852730476,17069.851638447082
21335.751284404847,20754.337494182775,19363.170622115464,21526.235431945915,25173.560740200977,17181.76427285676
22717.635925510895,22094.3640181251,19402.47370565558,23452.469266576583,25510.27104146537,17605.511971312335
22019.41443720315,21937.266218432327,20134.416037488812,22206.62101803867,24202.61611214109,17841.0824833846
22633.746236242303,23403.605925069696,21643.019137180116,23104.832354559323,28710.78183741423,19045.36505559814
24992.993855156576,27641.45790294322,24113.145600075357,28818.141586543352,32646.301559955977,21964.346942493557
24311.52908539391,24608.10612937741,23843.516220954854,24482.005258916295,25482.491177607655,22144.772998972374
22668.675147560327,22451.840651363622,19359.736396919878,23171.350868460504,25256.977925524938,21832.98295981606
24021.433779592815,23416.58302505263,22301.426926380736,24607.32723497042,31528.282413568093,22955.562682250078
25889.992975799334,27695.20742896107,26425.45181612313,28131.82479488245,35661.03306758305,26119.16260584242
27396.67543629448,29680.75244886658,26462.414477135855,30196.32336613342,36900.33736195501,26536.0327104184
27396.67543629448,30419.367024730822,26462.414477135855,30556.571116111736,37390.77965699209,26798.49487721982
27917.612572089132,30419.367024730822,26462.414477135855,30556.571116111736,38855.479456598405,26798.49487721982
28165.01929439868,30419.367024730822,26462.414477135855,30556.571116111736,39310.73185729382,26798.49487721982
28165.01929439868,30419.367024730822,26462.414477135855,30556.571116111736,41086.3119027528,26798.49487721982
28165.01929439868,30419.367024730822,26462.414477135855,30556.571116111736,43052.770746893824,26798.49487721982
28165.01929439868,30419.367024730822,27281.869869307382,30556.571116111736,44505.00207129167,27419.737019583004
28165.01929439868,30419.367024730822,28059.793409244085,30556.571116111736,44612.375537316744,28040.97916194619
29255.162993724585,30419.367024730822,30279.68290267586,30556.571116111736,45646.2611405845,28040.97916194619
29652.254900573178,31499.57712230903,30871.110249591176,30556.571116111736,46799.37854134677,28040.97916194619
30567.253184464535,32014.95062528948,30871.110249591176,30556.571116111736,47772.03048265985,28040.97916194619
31753.567313732197,32824.01313156237,31874.77921958683,30556.571116111736,45255.051579274084,28040.97916194619
32291.835092097466,33764.69068081784,32422.37604556591,30556.571116111736,43230.7162618148,28040.97916194619
32291.835092097466,33764.69068081784,32422.37604556591,30556.571116111736,43983.76303109998,28040.97916194619
32291.835092097466,33764.69068081784,32422.37604556591,30556.571116111736,45179.07571801848,28040.97916194619
32291.835092097466,33764.69068081784,32422.37604556591,30556.571116111736,45007.15726996621,28071.816969241154
32291.835092097466,33764.69068081784,32422.37604556591,30556.571116111736,42846.47749529263,29068.906071778347
32291.835092097466,33764.69068081784,32422.37604556591,30556.571116111736,40733.48301591063,29068.906071778347
32291.835092097466,33764.69068081784,32422.37604556591,30556.571116111736,42925.12238117355,29068.906071778347
32291.835092097466,33780.98098308736,32453.599350226275,30556.571116111736,43366.52612347035,29068.906071778347
32349.880693777875,34472.964692536094,33266.24914449468,30665.128535987285,42548.63934749554,29068.906071778347
33098.024004325365,34472.964692536094,33266.24914449468,32043.65905961236,42131.53447785156,29068.906071778347
33098.024004325365,34472.964692536094,33266.24914449468,32043.65905961236,41255.75964349631,29068.906071778347
33098.024004325365,34472.964692536094,33266.24914449468,32043.65905961236,40449.94764581752,29068.906071778347
33098.024004325365,34472.964692536094,33266.24914449468,32132.11631676897,39770.99623166756,29068.906071778347
33329.333127214224,34472.964692536094,33266.24914449468,32594.06301531296,36845.10564750691,29068.906071778347
33441.57212086999,34472.964692536094,33266.24914449468,32594.06301531296,35770.48256456977,29068.906071778347
33441.57212086999,34472.964692536094,33266.24914449468,32594.06301531296,35762.245915948035,29068.906071778347
33441.57212086999,34472.964692536094,33266.24914449468,32594.06301531296,36868.195949374414,29068.906071778347
33441.57212086999,34472.964692536094,33266.24914449468,32594.06301531296,37055.33504433026,29068.906071778347
33441.57212086999,34472.964692536094,33266.24914449468,32594.06301531296,37459.97766169972,29068.906071778347
33441.57212086999,34472.964692536094,33266.24914449468,32881.137146114204,37906.25005456387,29068.906071778347
33441.57212086999,34472.964692536094,33266.24914449468,33428.580837409594,38927.04350049311,29068.906071778347
33441.57212086999,34472.964692536094,33266.24914449468,33428.580837409594,39618.48673554101,29068.906071778347
