TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PLACE_PHEROMONE_X,PLACE_PHEROMONE_X
0.0,6062.156105767844,719.6378504357019,1315.0830750850528,378.01775466438454,380.8139894430342
206.27508548726104,9191.046294181308,2678.937190104074,1943.6888388873786,395.0024233647426,396.0989546156332
744.6753988709735,5902.203592782178,3062.414933885286,1982.471924432841,395.0024233647426,935.2974161528497
1074.420597191965,4286.092069130673,3156.3847703294587,2222.703842811568,395.0024233647426,1021.619211619364
1105.8421002083132,3703.8897939133026,3182.8890831726876,2222.703842811568,395.0024233647426,1264.8924609529292
1105.8421002083132,3774.498610947752,3183.909194443355,2222.703842811568,395.0024233647426,1304.4950829374634
1252.6451971768897,3457.1143082985895,3127.9891753681454,2459.0231136984075,395.0024233647426,1304.4950829374634
1686.5815457704934,4038.178092274268,3077.3796767042604,2697.407531351225,395.0024233647426,1304.4950829374634
1814.9184951505565,3648.5905410833725,3094.1745455108253,2697.407531351225,395.0024233647426,1304.4950829374634
2411.6670171702713,5293.69914940074,3228.534163631486,2697.407531351225,723.2950742698382,1304.4950829374634
2893.571520961791,4584.565510321222,3374.980724471165,2930.7051801519233,1353.4434493765766,1304.4950829374634
2929.782969046325,3665.3675181278404,3420.913987141336,2932.3497758635094,1375.787897540121,1304.4950829374634
2929.782969046325,3827.425084597728,3444.032174941084,2932.3497758635094,1375.787897540121,1336.8701097308983
2929.782969046325,6940.315788876361,3444.7745403642984,2932.3497758635094,1375.787897540121,1521.7771419538021
4969.844011738722,14538.909024279119,5383.025627758665,3747.6606783852612,1848.0987141301055,2743.5806391332376
5566.555317426347,7448.224293889765,6658.763838763006,4309.564138231331,3079.007001848161,4158.298534207319
5476.096982697828,6065.119174922987,5884.735587530775,4500.5602016037,3485.1895181494406,4850.509538325615
5353.4682905397385,16094.664445592676,5334.337167197642,5126.726555652418,3659.9209728027035,4985.236712860634
5353.4682905397385,26481.04206972237,5704.464457872883,5984.31053970871,3659.9209728027035,4985.236712860634
6931.970284794097,29390.378143715243,7564.019641144864,7860.475208546157,3659.9209728027035,8409.46892607479
9752.080983203527,28125.928676418334,9860.52420295639,7860.475208546157,4936.0529762204105,9270.58962244492
12226.221871799802,29980.488226541198,12670.614095273657,7860.475208546157,7802.669659789973,10803.099025784963
13445.045633726384,31795.60911253721,12670.614095273657,7860.475208546157,7802.669659789973,12926.644496501354
14299.381517107015,30081.9078743881,13205.616150094964,9125.318082059639,9007.514147993472,14442.438190391686
16187.150609563922,34325.81676593626,14234.947588903215,13536.751032549655,12612.138230968221,18062.918942308657
16187.150609563922,37002.550409997464,14234.947588903215,16042.515808948743,13902.791284010418,18062.918942308657
16187.150609563922,37273.53704003799,14234.947588903215,16042.515808948743,16778.046505880284,19616.82321074901
17841.172351762816,40039.908088191216,14234.947588903215,16042.515808948743,18992.38931857731,19693.45857341081
21254.29993572358,41256.15307770565,14234.947588903215,18750.834251676897,21736.838306867874,20060.789304362468
21254.29993572358,41329.59920030034,14234.947588903215,20703.20941967913,22233.197371785125,21558.08157316542
22533.565161284725,35886.072697421805,15062.281384201218,21844.511245362977,24722.265765897984,26539.05556928607
24432.023820563543,37981.228378471176,15889.61517949922,23325.714342702497,25654.071627636382,28319.666212036023
26898.37918556055,38579.496051298425,15889.61517949922,24076.11688635227,28480.197425698396,28962.32778575683
28260.944043532494,38140.60627500587,15889.61517949922,27123.83781088672,29414.245420348412,29982.705169031407
29705.313014396274,35567.93444981508,17111.41245364676,28062.221082162443,29414.245420348412,31257.88440453959
30433.402325157775,33126.65021902062,17881.50140250174,28611.65293177671,29819.552565493235,31295.737854238218
29371.94434494539,29234.55318376943,19800.023452854017,28835.63074717469,29411.618638828313,29410.14913775445
29211.766999982603,32225.34951585076,19800.023452854017,28835.63074717469,28923.084467187793,28821.197673187693
29379.88651387923,34028.531662101304,19800.023452854017,28835.63074717469,29178.152960886102,29260.110562948266
29959.496223943628,32884.90353801545,19800.023452854017,28835.63074717469,29456.700562790953,29697.8633814839
30842.5512221691,31054.038065872865,19800.023452854017,29148.311135686545,29553.627439595963,29702.746869205195
30934.710569661594,30008.429424346305,19800.023452854017,29173.298553343,29607.14617286064,29590.30762813254
29406.901723993014,29867.545871496917,19800.023452854017,29074.882895656916,29368.29885253618,29300.44084258046
28025.241700779294,28134.073601947595,19800.023452854017,28160.765904580192,28196.148610025662,28102.29856430949
21934.818484410713,22134.57483079151,19641.300837615818,21793.11259468023,21807.148015907092,21774.242431034247
20509.067444826444,22853.643525302094,19492.282387766194,19561.84900592253,19643.164342993925,19619.041059197247
24536.923459710702,20430.1658934792,19923.621482889852,20154.673483958144,19884.549542126377,19791.31864379233
28632.631143753875,20874.7842274017,20198.777136804787,20704.0499030991,19884.549542126377,20213.30048430233
26424.71026600462,22678.25940162024,21106.119215818544,20825.070644462245,20200.18259861598,20501.72578269806
33129.12797687282,23283.17556610214,23169.769653462514,21274.811723410447,21748.551528812382,20501.72578269806
34843.74632356649,25412.11244201683,26528.246779629142,27345.54949578781,25360.703300762347,22651.64671115905
34496.07823895215,26946.2301138731,27880.789912027278,28659.0419339175,27127.15809668646,24864.046788156407
34900.474865672826,27536.7600699507,27880.789912027278,29156.62102563075,27176.29149859177,25545.52522149773
33220.617221919405,27637.999129799675,28067.9449544848,29156.62102563075,27804.09038708701,25669.576851207617
36642.394867151284,27710.411973636765,28421.75121462327,29156.62102563075,27837.132433849918,26383.02292300808
35002.85286013118,27678.54070311937,29394.83270358828,29093.800816213443,27841.189332682246,28305.871325155855
22459.41178623482,22525.37736498969,22719.711470451235,22711.928433224417,22740.32000269361,22715.02978171077
18181.720875445884,20818.03074570929,18309.36099395428,18380.123404722464,18369.631937612023,18325.99543909592
18177.645052977,28742.69778656349,18298.12271863894,18374.894726224164,18361.584064567895,18453.60194654103
18177.645052977,30554.757974208536,20214.963981461537,18374.894726224164,19519.933948198806,21340.607429426345
18527.161638756414,33100.58897580053,21171.100397683786,18374.894726224164,19525.754801885392,22881.67640910859
19640.057545777887,32383.219565904783,21171.100397683786,18374.894726224164,20351.007317869942,22881.67640910859
19640.057545777887,33141.13586664883,21171.100397683786,19161.963564630754,20748.35112186251,22881.67640910859
19772.15464021999,33290.24312178808,21171.100397683786,21056.80098850792,20748.35112186251,22969.64447613416
20830.12145967069,30425.186293392202,21349.32357494596,21056.80098850792,20748.35112186251,23744.108438771043
22027.5711807642,22286.171528866023,21406.66988158708,21475.19507250589,20821.699755974667,21997.243981558557
26946.07963895273,21194.56775511395,22016.7106108527,21656.27781764503,21543.33825896962,20947.533115455273
29934.81931138032,21194.56775511395,22221.701324787384,22028.147989665442,22195.967977605473,20947.533115455273
30774.243145554577,21194.56775511395,22221.701324787384,22347.48631582424,22406.843907417744,20947.533115455273
29437.43542355208,21194.56775511395,22348.999637653276,22347.48631582424,23456.33748237632,20947.533115455273
28188.253869354598,22111.3804913042,22969.365515577887,22347.48631582424,23825.291272357943,20947.533115455273
30940.60116067853,23432.47746306471,23003.888892262214,22500.63357205468,24490.465268389,20947.533115455273
32098.21255139333,25187.964261073223,23811.214712506524,23705.6891051466,24860.02600945645,21313.80330201997
30568.737738435862,26372.115894356768,24410.975576450546,24385.25913790153,25110.91763663279,23491.277145420285
32599.08949141243,27595.564349503253,26033.23707207361,25926.606438213465,25628.57797431383,26957.099360366366
33310.122556903305,28380.438556338733,27239.290203791672,28105.412104455863,26794.424934998096,28619.720272607334
32151.924779176217,28474.41441207184,27783.51441777787,28151.47081111119,26794.424934998096,28892.23518281593
32107.829458236585,28897.67418397513,28166.58888129649,28364.335004331595,26794.424934998096,28892.23518281593
30259.425118895,29158.14481021539,28291.62701335711,28673.80319793641,26954.626753576456,28916.864947448466
