TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PLACE_PHEROMONE_X,PLACE_PHEROMONE_X
9509.68204658389,6006.474838566137,6654.104827228219,5929.038224202024,6310.06667941119,6644.849288371519
9633.01346448581,9093.149730702302,9592.33307227031,9001.668591128775,8914.623643936526,9043.666455383698
4924.461387688617,5011.607007489991,4834.59799919823,4824.305040812505,4824.984749084955,4822.640244921744
3677.1113771651067,4045.259897341591,3873.9044374542527,3797.13036764,3703.916236832049,3691.8883815814997
3271.883769148985,3541.588735189352,3270.731337697825,3182.1287933611675,3183.1241633604127,3147.745269895414
3212.6957456516507,3315.8817558969295,3638.4207997984913,3175.737493034295,3270.988877078115,3069.1276611006047
3234.5964019228445,3346.928004476113,3879.489145118282,3351.1715979402934,3199.769882164627,3045.561364933196
4085.479342074303,4041.728012192534,4657.972303584493,3874.578274566022,3801.697356208198,3748.6575239097288
3328.7578598915143,3350.80593504626,4231.866822040994,3342.9878902672986,3323.772898215318,3337.1471460113407
4641.985654190079,4672.655680061348,6629.146344048236,4628.130788555771,4290.714227385981,4720.970504754082
4009.876225038578,3937.4014425496325,4148.612887815774,3974.1220837238,3920.3003848873905,3922.5722490607063
3533.8043739284185,3673.7049923767604,4439.2554040877285,3543.4871457448153,3567.987421630909,3511.3726531212187
3372.4435400971697,3982.82655101626,3622.0866229656094,3452.707392860276,3378.0009571614632,3449.252569265073
12149.106851239916,11588.16417434498,19411.696381156566,14102.241543132046,12088.449999281576,12771.809896773088
14865.935381124495,14267.171465431193,15914.9049695623,15357.018560359986,15320.30166873663,15221.979457814206
6211.541029848619,6753.496946506566,6297.313925989104,6148.153575544625,6183.859513385535,6076.417639668712
5628.235552629493,5420.207732043475,7452.503453649826,5668.287809463947,5708.72175859947,5603.5797084322185
13393.778276338184,16431.92641629451,25949.58983569351,19467.89690220986,19157.63993218287,18769.58757810894
25970.37461495907,27449.044057358537,33134.49741703998,30174.216956741817,29843.501027747443,29490.89114751273
29369.072923055028,30189.877565161965,33824.55534900916,30985.317877231995,31347.520727615854,30954.008605448707
27972.837841650515,28135.32357655804,31839.543440807185,29556.23010847422,29177.11459421345,29110.06622352654
31787.89598326102,30751.441528837324,37106.9501103948,33334.50193934081,33661.550442577696,34187.84593504098
32258.028499437234,31942.092247400575,36721.20238824899,34511.23072556369,34618.318049510126,34163.988168835574
33152.053254598555,29761.303288473217,38440.63732191104,35557.47434602489,35204.70540937418,35280.53940236132
35480.86745646245,34021.43335082966,41783.59170730169,38943.72150027556,39107.250682283586,38333.3406568608
38054.96003397999,37029.05608747143,41187.949878783846,39608.39249903827,39586.1578170706,39326.66221303249
36986.1666325238,36920.941164162745,42440.887954966995,40269.46413701296,40199.360326162634,39851.55819679041
39988.791241075785,39705.90478398541,46698.480706270595,43537.90780308137,44049.79303259085,43040.79870568886
41957.18007460829,41418.04704585685,45113.11431147716,43206.28728403106,43204.325831269496,42949.02251286774
42279.34676746173,40746.15189500447,47334.91186094728,44033.911435650596,44519.43227237318,43999.55106891562
37618.97299811392,37443.47197916593,41529.54682655848,39024.48260665219,38825.009396059024,38684.83625073716
38489.96264075583,38662.31118304551,42952.21460004347,40874.71703892688,40857.84605223945,40494.40700114976
38769.544396383535,39572.66081744954,43183.06213825906,40886.315397410035,40912.109053529726,40561.63063562518
38872.16115684027,38635.549545584196,43266.42522744095,41192.0777526401,41083.10092065819,40697.69166586009
36252.91251070478,35860.759780091474,39683.007064809586,37565.47781313744,37590.121112211076,37271.23482967796
32855.950603864076,32925.89426654737,36029.95299727634,34012.267046178844,34026.10400693713,33693.99923546584
29096.319990064483,29366.731760903847,33796.15334205281,30879.060550328366,30972.44207372828,30942.71908605926
32801.718708791734,34117.103066941534,40424.19565481453,37473.78936825577,37524.94555969478,37343.56361343994
32582.50862455095,33437.94214663142,37461.782393994785,34810.77226298189,34921.4636625397,34684.40727084768
32162.869670112923,32516.118924728322,36974.837994958994,34206.735877979045,34345.929788354544,34384.94319374331
31923.163201272964,31656.867855127963,35121.70186842532,33429.7743357761,33118.82309889582,33133.10594537732
31721.468898975207,31460.37209976825,36102.11499794691,33499.50601367651,33358.13245669322,33554.55944921813
29516.488547653535,29898.59790931817,33325.88000827868,31353.450313460617,30742.861223210024,31243.314923601753
27248.023842170223,26724.582802499386,30248.532015084467,28357.068416108035,28352.326561508846,28077.570872557684
20938.533650920024,21187.327683413336,24101.95754981691,21894.38805055896,21749.07425589562,21767.23144490303
21413.941406958573,21675.603023013373,25683.601420971296,22866.391099528442,23147.159148526895,23058.144478566945
24847.315552157947,25359.626587172148,32142.232065513566,27568.66829838976,27862.03523805696,27518.24067356602
28561.567654904615,28024.554079654616,32598.336278243205,30719.461580739302,30571.595153002483,30300.841835981297
25925.64839087829,26775.18980265501,33554.85767212939,29093.193775563104,29755.1614338379,29390.710898680234
33628.12126479524,32202.928396416828,37594.271883818205,35251.04821110603,35350.486373168875,35215.22057741896
34873.536927937166,33379.89040574908,38551.14687045725,36690.28002214004,36702.324781141986,36395.9075914029
35372.81358845446,33726.49299466203,39845.786385590334,37587.74680722269,37451.13110766439,37194.888489616664
34927.61905295776,34396.510391031035,39976.54932696996,37828.01887369482,37762.80626499177,37492.818187024925
34203.69841102674,33743.62885490281,40196.17024330405,37618.18454964661,37827.19645951347,37073.46454324906
36490.84206292667,37117.22374998301,44269.478031079656,41726.078953146,42076.786978890916,41056.99625197653
33719.26578617844,33720.65406727704,37910.32110813803,35760.75565304189,35686.17897599175,35642.99516931477
19270.671983475302,19198.5973319615,21518.26932192689,19382.1537040624,19643.42680517782,19616.36372307864
23219.458819491545,22858.996385805272,30063.340842111913,25963.767598331156,26446.394259350564,25599.092966789187
30849.64019730925,31482.40164015852,37329.295176584965,35134.53052548175,34556.1570913886,33816.00016451445
30709.179408801527,31975.289317433402,35770.50893714961,33821.46633571453,33350.47018099982,33127.88562939842
31581.04883293723,33318.32999009173,39181.17219847775,36258.910741264786,36020.5106000259,35581.13309369591
32078.698611361157,32407.181610211923,37151.57704176203,34517.49125894373,34940.178319747065,34831.422466175674
32794.19929133972,33554.29536255954,38260.9572503932,36276.85385973738,36010.7051514139,35970.24831801229
32349.181709671193,33012.5055653504,36807.72067822892,35302.77784266041,35189.45825269562,34958.51813855133
30620.996851894764,30766.913359953953,34548.618757161355,32517.186851790408,32611.445946300177,32381.301344393232
22717.266742588487,23419.479419265925,27012.243188777982,23916.1673400335,24164.752763603734,24343.19709587231
26542.75953952941,27637.7630495691,33036.45070692816,30715.369212817644,30351.059578984325,30682.008040721877
30470.87391811847,31096.779049554334,36444.83009553024,34259.81938805394,34146.37071756602,33626.18945020377
31086.647947631827,31595.543063744328,36972.25663941455,34911.04836459795,34809.67686815905,34750.940308553625
28331.438802318535,28794.488766420633,33078.361051353044,31441.85218393792,31353.250233048562,31269.036954013965
28549.57322064692,28781.534959919212,34579.51171661098,31814.424237590658,31739.182854167826,31418.183238347458
30998.034612388597,31025.881074110523,36613.918575486445,34321.109709369186,34495.689206248346,33445.599241180425
31964.947849630527,32979.16729105075,37712.83015616546,35380.31004595269,35519.59981187881,35063.99107327218
30986.14346929734,31573.288900419724,36147.94465425809,34019.699719512966,34074.7439191477,33785.2498566053
31462.705350618944,31946.203244275745,36728.703419095604,34641.1643893684,34628.394749748826,34301.41837378621
32439.288528745223,32093.89033076027,36975.419309427896,34907.345123818784,34842.73698195423,34438.93792037965
32779.21031982183,31564.498544494505,38661.51733099666,36538.47362450838,36469.79977398056,36013.669769586326
32572.72829000501,31723.68187431381,36491.10493746108,34862.73005653927,34790.50845304224,34624.959939084125
30643.355630188955,30981.58738666317,35240.72287345485,32500.375829382636,33042.61033187421,32616.304892487373
30507.931580582936,29931.142901363815,33653.31474917034,32089.467619196057,32006.437075949525,31753.936510780226
30128.06830480884,30103.548235925056,34217.52489261189,32024.960743448257,31807.106662071867,31074.444229532906
30331.24367525447,30243.306781719963,34829.11087087081,32243.672737787143,32372.642113801594,32364.19309522287
33242.09859691388,31559.67920769201,38677.74653535503,35215.528547965856,35646.75894308725,35699.83702508457
36879.821481814906,34003.16006348975,42075.10571669644,39281.248032682946,39092.32724232618,38929.52763745192
34501.805959757345,33378.42254781807,37302.14488953711,35596.6410789169,35554.640757211266,35438.488655478875
32194.092293570207,32792.886487366355,37525.59199132411,34462.550482733015,34553.46372945467,34070.276490113705
35311.542809667415,35385.973755912564,41592.63775197117,38407.352135149784,38920.75820858634,38451.765443861266
38203.40181272393,40483.01850250296,44094.51151410562,41849.821884625766,41910.35174625561,41312.3603692323
32460.00869266101,32969.92171073908,37831.55642372483,34376.64656449367,34725.237351853364,34111.105759817794
37053.94875892535,37841.530093932335,43719.881168203974,41107.711076823936,41167.65745305136,40764.82880556998
38068.178821962545,40331.18421680405,44419.71799822418,42378.024182523564,42293.944302775824,41970.057836063614
36070.60728963108,36803.82171560052,39511.68031556065,38030.19851846177,37931.80837213909,37886.69583961353
30031.13668430256,30317.44705363,33284.81614664704,31318.40858597485,31215.607306039183,31129.731543410435
26236.417200893455,26676.68740008828,30057.48759127182,27950.64955401288,27802.797082333924,27649.235880736447
27505.352259096016,28581.743466770113,32777.36871355682,30959.403248053597,30756.76601331248,30474.10778904473
27714.254886247832,29207.891494772713,33452.37778847589,31367.125414365863,31074.06267516243,31152.332257553004
28519.065069313252,29138.910816533345,33401.21855654414,30703.641745199653,30802.257549119095,30242.87125514397
26037.657361885016,26434.46709711428,30913.651464470968,28439.33058778164,28617.50226432327,27989.23867202157
27677.449320579657,28768.858019895226,33509.91017633522,30982.233682100345,30791.61871670755,30475.423723736178
32418.719536131928,33178.64007958705,38313.23298267928,35937.810961542804,36178.66388083949,35253.625974080016
32651.385230442233,33439.89644816574,37129.520345393095,35300.24830089391,35175.25561176327,35121.581752962156
35691.41920031469,36889.122145033,42077.60955922811,38646.93941589593,39253.649645032376,38209.838083953975
37756.376286107676,38486.68487815555,42014.65881048937,40081.7792200688,40116.73237690471,39623.71973988598
34138.16474497476,35079.71214365239,38316.75612775194,36163.76676777172,36041.98211817484,35962.33409529636
32558.252521714552,33473.86787239452,38084.62247796129,35622.13975155501,35990.50319319109,35544.75548859452
33249.811487650826,33773.32197276285,38766.007741838235,36793.79817770877,36849.56257551735,36614.06640614349
31396.478227420885,31436.15249436147,34948.04295516147,32997.17655674474,33009.51603756014,32874.07616184407
34641.22260054805,32440.68079082928,40258.868505156985,36506.03004263677,36119.504823679876,36214.00311521333
34916.213439904364,34179.44899153316,38066.639167840185,36318.16985230895,36197.781352275524,35974.44266462256
32775.29179919187,32087.168624773825,37194.86392495299,35017.88127540183,34981.639983833666,35064.59359279489
33394.492913579415,32658.279245060294,36827.54839387559,34514.92439270852,34422.110850331184,34558.20140325014
29425.00391866631,28512.80066923018,33353.88028071526,31266.131562656225,31211.48248515582,31013.28105805826
29587.357952184793,28050.55134264769,33055.1428713881,30894.52295408137,30629.740995642936,30781.397936151974
35532.71729599893,34337.13754180379,42496.89026886371,38704.0847759396,39025.52025199354,37787.54772499163
38882.77642079163,37074.80109125855,43398.32129857834,40811.841304408445,40817.02130950689,40170.46986029528
34785.32231703098,34455.18131097763,40070.16963213462,37108.00433346901,36639.720194848334,36072.29060972941
40280.45485396791,37367.29856811507,45282.04118270281,42823.945318783,42826.543963581076,42496.71559208868
36459.54142459144,35450.181561210346,39941.87792845513,37748.38790316287,37714.88254145211,37067.694003128054
33678.39411670061,33401.63151522621,38372.628307407074,35909.6997940736,35714.280279535094,35713.132973681335
39894.617366080216,36242.85311124531,44648.98592531517,41813.84995671358,41634.47289734348,41535.84973452876
35717.42371239777,36358.84145807269,40457.536063516105,38035.01801580282,38466.215784183565,37938.10470207249
32043.467351872285,31852.90728748006,35518.81967246673,33098.17030368784,32977.85767638474,32722.645849542012
34604.24661650006,33028.78185462975,40033.93541306656,37257.25034114435,37113.83807963204,35960.56115269379
38304.69684836439,36795.76843701986,43184.017888841256,41310.22269934017,41252.748948423134,40445.87545133499
37191.03276140288,36772.87114770848,42260.666280901394,39699.588071823164,39290.2426845021,39041.836608456535
36445.02511863797,34620.14355290632,41390.94636573966,38906.1186610572,38798.16310579228,38633.00865802103
33018.17657020511,32449.627772537722,38521.33522187228,36092.76901520587,35836.20969244911,35777.09615460538
37722.6256295254,36165.96450767327,42797.61909057484,39320.793290652735,40061.484615933194,39543.17405581818
41517.11302653737,39655.87973038946,45708.84246327536,43540.09394475151,43591.77764222979,43221.340010923945
40128.752336135265,37967.25661941965,44486.09421403787,42027.6859640589,42042.496015780736,41614.630452708705
40483.106607832866,38625.69003115516,44554.6379149966,41797.96412579687,41930.879701941456,41552.02291396559
40661.015611401315,38359.72090423881,44079.79290594962,42004.40740685632,42209.955573491905,41616.89002069718
39690.5312821563,41443.205929859505,49114.534955103074,45532.106181886425,45105.00722560594,45115.213657066
45040.71026492525,46741.06702194736,51415.44722580783,49338.805122762504,49229.319518907934,48589.10810216599
45378.567424517634,46557.72735139161,50146.484657066365,48333.06774960802,48294.28150688252,47859.057465211554
42780.14786890836,43329.7265592605,46364.81277826673,44496.07968508335,44540.97083747161,44252.302695830345
40742.03460826451,38091.63789102942,45057.45881950846,42822.754138259246,42732.94696668991,41869.491697035046
40709.09913664651,39053.591507258294,43985.265135181835,42273.45636274686,42112.6918677264,41816.40249604046
42797.34326404499,40092.49941775027,48113.40819374492,45167.8175230267,43910.86572541701,43394.34966600601
45984.20523505362,43878.59173026651,50358.9196604322,48331.83957358765,48098.551177557245,47381.56063096107
44735.97116936332,42904.31053905827,48471.24147405996,46608.08418945548,46773.118941374516,46232.524538976395
45862.30704250953,43331.83728065353,50294.75013815461,47910.51624490941,47601.371358640674,47431.10806972317
45336.40557305217,43493.46048515872,49467.342972274295,47161.11469988993,47132.71901515178,46643.601443081316
45681.08507590364,42989.49914253273,50645.040793647844,48237.237586938034,48679.49610396169,47887.70206016418
45401.04880939015,42635.04002551347,48813.98740928295,47187.59716440716,46988.04500923202,46546.392602136904
45775.789302271296,43665.4337629203,50012.112675763165,47860.00494370591,47899.48975618898,47087.52270379607
45150.981474527194,43907.92678960606,48200.3703892336,46496.34743799765,46622.44697281574,46368.34995085865
44158.2416266791,45027.85813531919,49523.78248181823,47093.59647764348,47110.32167348272,46449.25884506663
44133.26613255745,45904.22834231044,48925.26804324893,46885.39541209685,46869.14970804888,46488.76894371156
46205.51988818051,44021.540555542495,50041.19829076934,47689.44455948759,47967.49749113071,47341.26034756879
45462.23696213114,43960.63195133059,49186.561507879596,47194.39790608546,47170.632697014924,46594.34278644482
41817.77208980199,42202.39509071045,45540.85368525313,44097.41460782185,44037.41216508947,43943.11854558694
34100.4459059893,33856.19555271989,37136.50701770503,34648.992187551274,34703.47285596201,34681.03264711145
33922.39487427434,35524.44204889189,39912.93829778912,37159.670155470514,37543.612733527974,36873.32267170122
32652.709983320896,33635.95387935194,36287.99884362804,34621.25108365512,34558.36200021103,34398.955710960494
33712.36991194421,31710.664976133332,38791.21436825663,35672.64623014976,35372.148543552954,35608.54846725799
37218.82688654802,38761.90502674759,43136.55480774729,40234.90472566748,40411.55296235527,39920.55885382854
38180.0400137651,41153.39033035251,44529.7180826227,42232.55183417233,42360.69187555485,42026.01911563544
38724.558108751,40537.69761978239,44804.714048072754,42476.3872392863,42599.465066614684,42114.911209658116
39549.32514473139,38656.58557700561,45096.76359479546,42419.11161629692,42673.5162520312,41874.50640572156
45769.50133492548,42900.40803754497,50656.62342154965,47808.51599214991,48355.67601259734,47154.82142461823
41573.813564237076,40109.81714978284,44746.829206292525,42915.38549736047,42984.40144696774,42618.781834435205
38887.647664099386,37581.50132125197,43250.28050469007,40766.31241979371,40711.143901684045,39944.939078829215
41013.768348390804,39414.0553858745,45012.454280577935,42722.707363767346,42597.02459202852,42411.56700569009
41901.09025238015,39717.82769010979,47003.52506782427,43847.240873188464,44010.322098586155,43451.58706163689
46425.324293200545,42779.527053941565,50258.09643296855,47945.20495606397,48188.847191696936,47392.81660099015
46749.33594867209,44065.669150374,50307.1302407152,47810.00146791342,47985.45225170666,47426.04345428897
46187.710928596265,43746.09185666532,49954.26093839903,47676.32002891904,47773.96234552593,47417.940147315116
46407.2159561201,44126.49307119492,49900.83424749024,47884.088133880454,47951.99119442596,47484.80401472384
46631.23410629875,44690.4135070402,50700.31762701156,48466.903542030195,48645.560015225325,47876.812795953934
45968.57725834435,44375.42986970823,48843.40552170922,47201.131475718845,47270.04850201987,46821.60705445158
38987.44128816486,38572.57536257287,43192.40451506658,41049.55301056162,40230.339458254726,40295.46549926336
36517.12354228346,37521.87739135954,43659.26308912658,40856.844409677564,40986.73753844028,40410.86534778405
37546.22062435922,39308.14468217109,44055.83940755089,41507.88583689187,41428.22577147843,41059.278536304824
41444.477306671324,45912.00732109986,51440.943268623225,47422.78802145395,47694.96694276186,46644.4352468057
45535.407530887736,48258.47078095214,51455.36997757954,49772.43755031417,49868.47177118332,49166.86828273014
45636.86385001353,46942.15020845948,50767.65232741551,49118.392680092904,49001.690702046864,48612.33552958999
44799.94850312624,46567.177545320534,50123.72625010427,48061.25825599968,48291.60047359339,47674.097075358266
44404.02230577567,46056.45502014439,49743.57698911934,47613.868295389686,47678.67212668306,46828.24694686676
44864.092446988616,47035.18168321361,50744.84413645942,48604.305249777244,48705.664325472055,48289.44903251535
42288.28796415271,43352.32500489494,46325.20504370244,43924.45702324927,44158.50314532881,43719.76173581423
42824.71221909201,46165.38271367254,50845.20697893994,47370.15365717172,48270.76447572929,47564.81691939771
44711.876307433595,46550.58736883724,49960.626666702614,48314.48637109875,48152.148728434,47522.26935576505
44175.016079636014,46140.78222641051,50278.24385577007,47949.692461716986,47816.06990142588,47343.18601928213
46011.07075700604,47020.24655679769,50486.133117486934,48961.32936887705,48949.474826246085,48408.780116430076
45642.6179935292,44514.15332540047,50532.67302067292,48349.97622436473,48289.67586884557,47585.512577104055
46565.29380642683,45164.76236249782,49917.986164951864,48418.32038459749,48377.73697745863,47534.725121708274
45395.65942738271,46930.37433027934,50776.88007068874,48658.08225100363,48719.6056328419,48014.74200737451
46152.74944096697,47936.51504537117,51981.27220109937,49597.0002917825,49605.516497368415,48942.270472494165
46430.198381908034,48225.62890345322,50894.96564966325,49245.08306534955,49334.53916046995,48943.17201571461
44102.12636292675,46759.49225212674,51064.17255158651,48310.4260052492,48443.6440281987,47489.098907950276
45668.43547091426,45825.10239572606,50614.03657560217,48181.65720159366,48353.717178324354,47959.041238193146
47805.98396086119,44873.9874771535,51132.09553784372,49034.24697091419,49096.919436455835,48493.475206317926
44641.70162556087,45988.23014152083,49968.69442089648,47714.88512033129,47455.7985373524,47187.06296214191
44279.8744544581,46506.41611210694,49139.397470073774,47764.07194359737,47794.30754719217,47192.16532253743
32461.76485830502,33402.512795140115,38174.477001680956,34112.428220814334,33993.00758682099,33902.82007196431
34864.137267071674,35996.48367547251,40674.80127483512,38523.3907487002,38659.66608184356,38321.348947114115
36791.66237217792,38768.80339508227,43927.613987769895,41037.47877421435,40527.44887268978,40578.62226388732
37056.57616694887,38672.09146513598,42032.07841210586,39650.90965758995,39631.75598279538,39276.72529334648
36119.680754873196,34471.71057940716,39892.65054437697,37857.17235991898,37939.96031828168,37524.54503566582
