TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PLACE_PHEROMONE_X,PLACE_PHEROMONE_X
9209.708103985757,7921.85355449392,15145.53493554372,10048.700265773956,10101.496584557404,10549.858932515192
9793.278544002635,9618.840795285012,11388.420464802426,9873.149019239052,10219.116216690456,10133.851012432557
4909.283007552508,4919.943836270637,5754.240423619766,4920.848578778086,4996.5377270829895,4966.5739198844785
3862.9814870899368,3884.4329087580163,4718.2507827155605,3976.738685643589,3963.267700912941,3804.9582797900825
3342.307809881525,3395.18830982079,4303.964203322297,3441.7939190730476,3434.14925963655,3492.285581377621
3380.700843673445,3338.3457513325634,4110.601920197364,3421.73787629797,3517.458735576685,3382.4244599709396
3194.7960799393586,3371.091748480709,4144.339235354567,3443.5954322927887,3491.172481244535,3374.047316151689
3900.577583162532,3838.9508383965062,4917.03917526793,3968.3324832220906,3918.266240645534,4050.539834744888
3362.936686138865,3391.8299529208507,4328.224697281915,3363.5417321053383,3420.65286513557,3386.1593695606066
4623.818176086198,4981.789940821012,6929.8783247126885,4756.40067401697,5073.6382730294445,4759.126857803798
3961.426595337173,3930.7553626878266,4496.659617074635,3996.2219378794325,3928.8594952367694,3991.6610730159637
3706.925409296467,4015.274318106658,4719.616579635331,3652.469169947537,3655.6038911608784,3734.9947084828937
3620.235051509076,3606.9422871041443,4531.252095045742,3671.6305813397307,3676.759217317364,3627.0243673164205
11707.112426587224,15953.863346111819,10858.462433972567,11819.50630059592,10782.745795544435,11809.494414347551
13969.474310644586,14614.29086622589,13440.10404550951,14101.337707630082,13863.35130611155,13906.616031985743
6359.179412089688,6164.786776866592,7504.209401781832,6237.35383334642,6242.523423726063,6296.727320475028
5801.57708213563,6083.7186762850115,5878.385941994089,5494.937003972141,5547.893618284287,5511.496062302607
14198.690086419547,19039.327751191908,13104.8726890685,14335.305861391967,14394.975726268362,14316.66454985121
24008.754477110422,28075.73215395814,22687.04306977476,23130.89956459205,24142.9178118656,23144.567909064594
27788.241256762274,29650.03705746619,25308.601025626263,27231.157430187508,27261.964198031113,26851.574475854177
26732.990204560127,28107.002705628165,25386.15441549912,26338.14731146853,26226.372279502626,26081.347220248885
27538.290844280444,32210.025784420806,24335.255962057694,27543.902040313977,28195.706177733508,27552.166111993538
29152.546578979713,31502.754543737865,27844.245972040193,29076.7541297137,28869.8887129283,29061.412482280302
28211.24754599531,29615.077513936423,26786.377288457734,27505.4802554777,27674.680664302054,27433.444135705086
28628.96984741096,34353.77363348702,28392.978260046544,29015.222019519188,29139.901643923527,28446.57241498212
33258.15548721098,37310.269303527755,31226.410136342336,32264.93932918673,33220.215483563145,32582.402113767916
34032.78367352347,37188.572679992736,32067.210088714826,33632.59142309383,33592.38318771049,33938.54341603162
33162.10490777077,40516.93036263635,33518.87390564892,32890.47203262182,32978.52513711727,34073.72408205291
35777.57517530815,39432.37140248589,34738.09034073653,34868.84469623266,34948.084623671384,36098.242103614415
34856.26820581224,42090.885878778114,34317.521129068286,35230.84591471408,35769.01276713477,35253.8667122187
33427.14796034195,37058.613688809724,32787.652731247385,33534.521345826244,33611.03090944187,33655.46861535802
34045.070857931125,39172.29931664851,31477.99777946785,33059.606983142075,33629.73576647083,33276.321471120755
