TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PLACE_PHEROMONE_X,PLACE_PHEROMONE_X
17117.29751708964,17190.107706224666,17105.981486803525,22525.514850945074,18431.615910368895,17343.62574349978
17539.37830762276,17479.477096437455,17376.648305568957,18393.029948172978,17918.448778261358,17483.703373995308
16972.00213705987,17194.126938069126,17030.71584298663,16818.92636414907,18597.166042111192,17219.93592155519
16430.181040648764,16210.57943044299,16299.618003714633,16475.88188563891,17801.392872850014,16342.067087748817
15209.919192119522,15379.088122508316,15261.605352144368,16211.416719138973,16465.684851920792,15313.97358540847
16154.151514390789,16381.366450059973,15775.568677191428,16372.321186888688,17516.595778805175,16102.665122414737
16400.36858011399,16451.9134432343,15934.857963489736,17220.557243121926,17960.145878137693,16282.127360371562
16540.113147165725,16164.798815237546,16529.625573639365,16697.988559094436,20225.95366374646,16535.265295605113
16231.3686277674,16427.46877570691,16041.16479956083,15886.287753570823,17496.37307881759,16485.914089882768
16577.76004937781,16948.367778392756,16292.95997615083,18859.396619518233,16670.218437609958,16776.195114245205
16424.81221807018,16604.07783806978,16178.263734132184,16904.569002303753,17395.653374902617,16479.479166366138
16587.13462371749,16616.022372583517,16626.58703443064,17381.07937386852,18074.145850259738,16637.14374005089
17011.995736586206,16481.129437227595,16321.192276592412,16281.088779558742,18804.733515317188,17385.430554372262
16452.958663255584,16500.54360429468,15891.274218262324,18468.509391244694,16831.551924059597,16384.491560986273
16553.08721152662,16294.814690372525,15755.877298729401,17219.407749340397,17224.35275880701,16640.933622688408
16240.72993779924,16231.358731343258,16133.488776501872,16242.055487895066,17784.21335152769,16357.997973032529
15515.088365550688,15552.142503854267,15415.014468117666,17611.38571920263,15563.755731547766,15907.898709671703
16156.044941647233,16638.921030851172,15620.76231289722,19109.57758139174,16270.699613400004,16761.744937936826
16837.882250857838,16884.814029856032,16162.805403916904,17802.548627514105,17200.811931885128,16760.273343980713
16484.54343705714,16823.776148563775,16296.983122514763,17157.472692887215,17394.242215751907,16365.119814522257
15605.622743913045,15550.698087957971,15610.804140500926,16610.316769197478,16284.687851408076,15386.090219243793
16579.437544105127,16511.921743206593,16345.457629192133,17521.360801485367,17204.511726570592,16602.375351261082
16637.51224758108,16881.372009145736,15601.970999006779,17367.440749681948,18523.42516065926,16701.381092113596
