TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C,PRODUCE_SOUND_C
18673.770995849452,145.4063064694188,1849.769970153365,1030.2308659918629,0.0,2067.31441095229
18519.43182120376,5379.583971809041,2852.1276113502513,4027.813918963245,2529.2960943021753,6424.370150657367
18848.259838760685,10393.174368985623,3833.2983927182377,7693.446692583771,3085.833913550695,7755.776994871713
18393.127251409507,10610.1620749283,5743.198069456212,8779.005508961362,5628.177512837526,8856.225720214732
18558.859710740908,12345.603159255645,7786.0525433606,9517.18773163934,7899.21880014884,9351.990800725134
18359.93435020224,13692.913050160692,9079.029210899685,10891.681385742928,8778.923252896278,9965.490029973555
18140.163016324736,14761.40462695236,9312.09465476278,11828.92391684289,9563.350821069402,10286.294529116696
18735.222089363066,15430.018112389556,9312.09465476278,12700.410654594472,10248.4254146997,12457.215741501994
18109.2283077762,16149.214977081505,10271.235185865782,13453.994248102943,11239.80946841811,13375.708722360627
19241.460212595666,16562.74625355077,11330.080527442982,14897.905949439759,11959.667476915021,14309.47392666618
18268.518031925327,16798.392429237785,12855.71844522237,15240.580913064134,13006.61194354641,14976.893932968109
18048.92133942171,16728.528164067397,13207.530941190176,15243.715003461566,13414.679661876478,15712.092825377387
19535.36656696449,16554.520153721678,13253.234729907823,15505.73961624541,14743.695773903617,16144.53679862206
18496.059656145717,16615.504018746295,14391.317682999634,15996.357389106897,15770.836896047342,16471.914263925064
18341.025174639733,16821.99777649664,14812.55756239962,16212.888643387028,16333.132886847183,16655.4702408547
18457.489996452307,16572.490797765997,15291.336453631524,16435.966712134905,16511.00327745452,16613.695217290468
18871.32080874091,16533.29578090615,15391.85607533793,16652.844332680434,16501.995615018644,16974.046787857693
18976.775389096445,16823.748261299374,15566.504588096934,16652.56543390456,16499.574165085785,17322.33680156228
18739.726405330315,17240.30840214859,15991.19666783184,16634.160065282413,16526.13245948607,17433.427217095203
18631.379935858942,17259.979415152313,16330.744164021307,16634.160065282413,16543.18888947776,17452.199647750287
17631.390777076867,17583.37773167846,16422.624837985997,16634.160065282413,16649.590171772037,17325.6753701854
18368.632386132067,17502.02106279735,16648.876406455183,16637.02830255266,16648.141973847272,17195.773623844576
18268.882587922828,16579.750756794958,16587.591857751046,16567.976415542795,16641.2422335984,16603.43824548684
18644.916668194503,16774.942196851734,16730.09975359798,16657.70763957142,16656.939014947595,16806.343801168696
18255.92674599872,17100.225243756682,16831.712296546993,16715.797774715407,16721.874559433603,16849.482624058786
