TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C,PRODUCE_SOUND_C
0.0,197.44637280602547,10.157998269753227,597.9194376050908,4706.6611209004,452.7150515262312
936.4225112320967,241.76261685608253,1242.2283536694736,1191.2228799136215,7626.318153106839,818.1425683849347
1874.148995354834,1110.713163219552,1958.325027122501,1802.0125323062862,9920.870778466653,2947.1736714289113
2568.0627247620414,2731.493045104478,3789.2901351047035,2486.7551240568855,12504.774848028774,3987.1348726040915
3573.8896957275074,3744.65656527174,5589.130717615424,3869.3631364306502,12646.126194512668,5615.692964362131
4205.372184762471,4418.85122892708,5891.844226315114,4067.993343018384,12014.714538079481,6960.347876356211
4387.041987868503,4441.138655824778,6307.176749071792,4745.845693140817,11887.227607526303,7313.98145544537
4835.3732138626,5072.747385350773,7326.854851168439,6112.271403337632,11831.334535766664,7485.477985247832
5652.207015262353,6874.093167259404,7620.374801959749,7425.9695185703,12616.980774779471,7642.413370892682
6171.172972150887,8048.79603762311,8222.38969189277,8972.810939527904,14120.163606161916,8115.289056200877
6171.172972150887,8343.237188614308,8260.135577659026,9354.555830061081,14243.46534159336,8460.785970603823
6490.709295253389,8353.285335442342,8658.848061000252,9637.83092469845,13210.408838091242,8460.785970603823
6746.914094858098,8353.285335442342,9322.1115319899,10207.307919718738,12441.578719092158,8460.785970603823
7031.026425093477,8697.06357038148,9751.913374957492,10600.341828273597,13086.896884442005,8823.741272783624
7653.55614104651,9050.326451011317,10186.197681634783,11583.197797558887,13957.171369718515,9261.41591750387
7847.7512091098815,9809.071489245738,10765.230051426435,11912.431380922055,14174.8618493551,9261.41591750387
8315.561241177591,9920.579909593036,11280.204210900489,11912.431380922055,16344.396958749692,9638.049554511983
9007.333993610102,10211.628963423704,11314.828940939833,11912.431380922055,17081.49440018884,10055.772449435448
9829.585340785185,10299.099315888212,11451.40821607588,12607.705291245231,18177.486566120708,11154.35213806341
10862.578827721274,10539.233279770175,12263.856316387859,13630.986202588578,19118.062427426237,11944.462117760773
