TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C,PRODUCE_SOUND_C
14793.830844996979,14329.586870869338,17221.71902977672,18131.03976870848,21411.986836561235,17002.666776705104
18005.564089586653,17968.400399009493,17829.83568699786,19080.117639341497,19124.331066710736,18238.399038668074
18266.856425580037,18228.069030924344,18068.29106080121,19278.61588262994,19176.531068453456,18314.65678760601
17714.457808353505,17230.253241506427,17648.716419245062,18302.63781344182,18768.280825332335,17700.144962684608
18030.670184762268,17712.64506152323,17903.74115157687,18804.883049460812,18981.934617871553,18109.234161760112
17906.139518546795,17657.0420582,17846.183057174858,19060.169895033643,18748.274297356285,17987.55375377779
17524.200457824503,17463.15832656417,17298.602240082066,18745.55412039785,18134.560845954045,17542.876353757052
18027.85650881265,17825.05912948762,18025.99774024786,19161.846351739925,19006.916565265183,18006.88939130127
17594.27915530434,17481.15955251393,17320.64701101564,17854.78517833282,19051.72422413105,17597.57718456982
18367.24878849538,18555.645145164046,18244.357067279878,19549.90337728124,19199.210935042574,18299.87958947463
17810.34072759138,17839.7669314799,17778.1405848484,18909.918365185433,18520.230595576108,17855.982953982893
17553.275047964198,17412.79892325669,17416.194598009817,19275.86137759063,18196.128451644807,17854.538249455956
18675.85398015158,18878.781533709447,18738.559660012095,20573.60606926207,19257.413918747738,18977.988720324698
18064.47157213916,17944.723407648573,18028.573771583902,18925.3216192093,19157.451087704972,18233.5500435906
17754.619197581713,17986.24750976925,17898.01378774884,18995.970226190664,19231.79850122939,18156.170290371
17908.638442918666,17664.254887253603,17642.90348637113,19764.389095576553,17851.94291067952,17755.26530953049
18248.800684846043,18300.302716945105,18306.137781588906,19217.61685790572,19256.676935401512,18495.529849714047
18393.836275372396,18272.240598651773,18279.54079239451,19066.787401018737,19478.905315046835,18515.500672924583
18090.426671908896,18039.984514307496,18017.54197526228,18663.808510848932,19509.81871761782,18095.19407351005
17682.298683619552,17856.38894733723,17987.520669683592,19499.97926157387,18552.076264146657,18186.568907970537
17529.472750244327,17505.548690830754,17554.82882394485,18350.494313574363,18678.119534107147,17645.94151289215
17871.983734661535,17818.802481373266,17715.90391627526,18844.571121336867,18650.242925089817,17700.284828274864
17562.27290406708,17552.796325364234,17451.276245443303,18793.90069027925,18252.990964084536,17637.52225199338
17820.59936469695,17917.9194355516,17850.962735766872,18562.346239653012,19572.679120355824,17885.84409063127
17357.947991460805,17576.95648903211,17696.666770247495,18496.682897765182,18952.574419562072,17756.246324068485
17831.576416758766,18233.026876194715,17836.175146798392,19566.28749123647,18226.943489774076,18004.399783716322
17862.591200713865,18064.721069709587,17845.511307430992,19683.77421048711,17879.64228102973,17766.159793018614
17963.88461604871,17901.894791333372,17630.40907308945,18411.50266132666,19522.934104827877,18069.220091875643
18554.52539408498,18388.259597684595,18428.017705508133,19410.94388955069,19359.566328692395,18470.512686529528
17848.3399865507,17745.62883044209,17702.16026304572,18319.823272467,18922.875262138594,17861.43077843718
17293.46973581485,17326.647583224843,17156.830231711298,18523.76867239882,18406.729334702726,17347.382480064694
17900.674958076244,18006.99605986357,17877.334242723384,18963.966982213173,19071.06267174337,18221.54476147561
17052.306691675934,17129.863367877322,16975.866877301967,17996.48250843449,18402.153064454757,17152.41769350526
18115.101326765827,18089.547259406798,17837.577887199528,18777.001780918326,19495.89998963324,18215.724206402545
17868.133875672498,17736.226944061862,17510.287245391984,18710.783586675127,18513.841270409146,17848.092640522904
17693.841138095617,17722.399568984565,17457.66068984177,18845.87148432807,18889.422495255687,17757.879284709834
17868.039739153683,17831.972109989474,17643.61942270796,18405.053702640154,19028.84015362299,17911.495455903685
17827.38624433763,17613.03062187746,17729.689179472818,18136.878200285086,19438.019099896046,17895.34970596811
17709.34468077485,17510.442568530096,17424.382746957403,18495.23806106054,18444.31959030312,17491.500471074814
18092.81224588039,17976.720514748577,17879.996430716925,19428.412545273062,18314.51878154262,18003.057798897218
17310.00894398661,17536.909938157376,17463.264749365444,18941.15656487669,17996.662485644254,17713.678711296114
17762.13570897121,17991.305762695552,17891.24102765796,18684.441425763693,19620.57683153862,18054.93668448331
18044.244800064287,18142.410620850143,17977.3842770508,18829.107463069184,19409.751943151463,18265.365087213744
17407.871673683298,17322.69304634528,17316.250550765588,17785.627954297725,18808.943339880585,17423.226483702856
17768.796302670034,18043.12043735964,17923.976315584405,18503.821529905257,19555.357409405256,17994.106553320657
18126.40081026394,18229.19314479818,18000.62744346071,20089.16863659324,18639.871111735316,18296.15193016078
17999.92447477567,17806.990312857237,17792.21514304476,18748.7158671945,19063.33596765257,17983.482412809284
17495.03877380505,17637.198208753864,17509.018573996007,18150.088329476108,18966.62152078445,17722.495025298005
