TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C,PRODUCE_SOUND_C
9494.399389684186,11470.622019452256,19304.986809566806,15199.195258447971,14998.1744893837,14285.269904131263
15828.048434117658,15780.148100144586,17766.16422478984,16143.682626844024,16184.485346750254,16133.506238707283
16165.497645623202,15876.724777310947,17949.19325563147,16446.763068163076,16372.792245959245,16404.83503546504
15650.874741003983,15448.003566893634,17298.240266793255,15757.009528068382,15865.700046824377,15789.616200130708
16020.424477565068,15901.944512414491,17651.44524722484,16325.736536519182,16451.63322852538,16306.689372364375
15526.682325601176,15569.896330922169,17523.133978404432,16046.770428580225,16104.348623296546,15986.74525560524
15353.066361411295,15246.149519868864,17067.512606265944,15566.3708250063,15658.254613124182,15518.540527134106
15478.762323497827,15352.436896101372,17747.625543001675,16034.856268078132,16015.626207873678,15776.516234972252
15068.376264077253,14901.03315884313,17126.226411811338,15383.549116530117,15506.81120742211,15396.627937910851
15888.72485772001,15869.237704101608,18023.858043010034,16584.473551930158,16667.06115361254,16450.343938657446
15583.176013028968,15652.9364759539,17218.58739289742,15864.024045009983,15798.070846774444,15702.484250888754
15009.87139770694,15245.297714165714,17289.667785659716,15466.368123984805,15376.011535918984,15352.15105034836
16637.1280564983,16711.585390425735,18578.96697514851,17046.736345529604,16807.51183772041,16921.826156237803
15864.66311230002,15980.226384930347,17541.325887159088,16245.938701669638,16219.821681417914,16073.982491001549
15877.03692148225,15877.66397564186,17854.55313005838,16339.639393168622,16516.076248608722,16279.326991680258
15599.302437385977,15792.045278058504,17706.474834761266,15871.585256433751,15932.061502566306,15867.376722058489
15705.938808422381,15680.523691195658,17751.454304585033,16235.79860538785,16080.746609076139,16059.109338332184
16086.312933151412,16059.352768219762,17922.457819424024,16616.4456509775,16621.267060667335,16445.11317254816
15959.70936283141,15953.239452520713,17713.83736512557,16298.748755542809,16307.818708700366,16353.99758913393
15933.446685754054,15831.218032737188,17691.35833521277,16144.01796454953,16076.645339753863,16104.05749608889
15411.445756091436,15142.099300607742,17032.234587436193,15638.13490826721,15636.499510576521,15523.105837607403
15685.399904178272,15584.312002128156,17494.59641182272,16044.029962034525,15986.246573364044,15961.447874925096
15602.269344912298,15451.153338795091,17228.912023217817,15777.080765592927,15730.809933110242,15687.585285073812
15539.324365000337,15425.862247829064,17696.928743148474,15947.757044572178,16045.691373492562,15890.579185846867
15428.391606767096,15178.478039232235,17319.547146972123,15901.747782600634,15816.933167647128,15569.208664760248
16096.27769656401,15682.395023125377,17639.490469414486,16170.054540285088,16383.623740877521,16240.719429458813
15756.032808341515,16058.306996036987,17705.357209600217,16225.401958389213,16120.70165112986,16131.36738340448
15249.46808514074,15329.582806139544,17507.3487740754,15860.902735449381,15829.247933053792,15789.994312236213
16167.879492962566,15961.215631449028,17907.958261324333,16359.529129374527,16511.142894616714,16349.397344676778
15645.798997063263,15634.831541260408,17334.401055604223,16111.130912481609,16126.205737775146,15997.599803518588
15012.99042706183,15136.369183860363,17157.29492118335,15463.60189166521,15496.009062003352,15304.791130903377
15981.296034495519,15821.742285251526,17612.521150548375,16465.22953772246,16484.004311689234,16306.803392300322
14558.072403652988,14868.650395605515,16893.249742809276,15424.493027150524,15428.760656675386,15187.468513371003
