TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C,PRODUCE_SOUND_C
16077.72810407854,1731.7769506951104,1566.3505058447188,1765.2069544774997,337.06837861787653,1298.2572131170368
16369.837950211873,9476.93801928163,6724.724255640581,4247.188499910623,5526.628724755046,7624.466577409198
16722.58950577327,12112.747045534752,10541.035533355422,8418.330054065153,9560.12869656536,10786.138604742471
16013.75155364503,13512.635353639505,13523.075586142577,11284.171517741866,11352.313478216502,12162.644168095578
16569.88465731787,14326.913893013378,14131.626299442536,12394.878185476638,12351.059513450826,12854.65863046939
16204.483563844302,15059.97422011924,14497.152063691821,13229.949254989506,13678.661237945857,13542.267181967536
15225.868965789796,15105.473064607046,14565.17440137135,13839.222758772194,14562.421582836305,14394.05638166676
16230.321745881398,13955.531719292,14144.884434798796,14162.665724520428,14120.658818857539,14266.87858040853
15519.726284292592,14597.492802347588,14330.721321140538,14164.840367379291,14498.83022103927,14493.455146639812
15068.521696672522,16770.1623161891,14774.363352073357,14459.768391178637,14303.690624071229,14148.102730375753
15109.319338125984,15852.34800249061,14821.616501315228,14844.784676260053,14640.253726341552,14772.564038289831
14466.239537214973,15637.82180994295,14271.66405673428,14472.143331637028,14500.324512176669,14389.359041675352
14574.439317197304,17180.611940925617,14202.702651529957,14355.900699338808,14424.836512348722,13836.20291539743
14942.676864556888,16273.642579225478,14516.935733763685,14676.426261119323,15047.910182536038,14609.242188109729
14949.677553100448,16376.570800818981,14853.299382637651,15072.75725707361,15145.332409857649,14978.142949018842
14958.933233167378,16467.3039411837,14862.749432820932,14940.588550889535,14895.113866642394,14899.732764024644
15489.689235197176,16253.255143422073,15105.176948902466,15121.509715860231,14914.235541883494,15060.265308171083
16798.81696877475,15347.993007792438,15091.83520951068,14983.492999223206,15198.790877174555,14961.9189553171
16067.418202437504,15943.260230764803,15414.747415481193,15098.812638434112,15625.776050204875,15168.9745631769
16147.99998551378,15161.434225756726,15214.006107832169,15100.4287685104,15160.983583595651,15003.642895803796
15814.016988809417,14605.593484187733,14854.042803410972,14819.793446735197,14844.181226157589,14743.801121700157
16243.292886174977,14778.413371433997,14843.87172585617,14665.166063406272,14928.842231791199,14718.475653740712
15984.849666899658,14812.566645687164,14883.149007185122,14789.29870166577,15025.610260001815,14765.301252735766
14933.088362333476,16211.759300126274,14829.843580205554,15074.775076595066,14704.005978017778,14713.705362849983
15914.953598379016,15137.77544508751,14941.589460332967,14915.640111341989,14991.75285496426,14865.193031739995
16402.62844505371,15043.222431758291,14879.859714451053,14813.601728884352,15185.411724354804,14767.787111677238
14992.485319191057,16274.535987411697,14938.433657200063,14965.026955028512,15093.86796641094,14828.395174416062
16075.972648148945,14680.212303306536,14555.108700335117,14867.410639485643,14681.996912158784,14694.902827881664
16672.200939686973,15036.328784947507,15049.753223691163,15141.017428627974,15424.443672652085,15130.50821159863
15965.557894451124,15508.117030399488,15229.645528784538,15421.531222796999,15303.6031141895,15216.887024512824
14817.638468609823,15286.430198916778,14535.03195110457,14518.338120239889,14507.239960425812,14554.345610481178
16492.726182586946,14550.979513360495,14751.380243210653,14454.520951220826,14438.182564702454,14681.272624312167
14336.171434238411,15576.132840568689,14409.029759216024,14371.783786634616,14358.825080351062,14300.593830705511
14291.526509116886,16157.41350666535,14533.762798767357,14511.33156218802,14501.919038962958,14494.580356879194
15514.122553706204,15577.031878638978,14858.060678390913,14976.722113160136,14952.049577178928,14952.112494304864
15658.395934702234,15339.603043230034,14824.114058585086,14777.670552224405,14832.08730762719,14781.974437168376
16185.903126237921,14975.793577414464,14760.511442004094,14690.824652991816,14752.28260807567,15070.288260044146
16373.13315693081,15366.7205782129,14853.770237752964,14890.879728857553,14951.029193600863,15213.214257092208
15990.341489131459,14729.307963399826,14451.540919743018,14782.9875536015,14686.987717744556,14691.102257132356
16243.420833986042,14865.273297746915,14577.994204307768,14960.470284727027,14843.308077075219,14754.553674915356
14666.81289293244,15984.593681246328,14422.170161747812,14688.611436921836,14700.280354487048,14539.138992235563
15809.93993468758,15069.607468546914,14621.529547868598,14737.946314742292,14650.67775087528,14671.54288755928
16478.772894266098,14825.328051290207,14868.392846393508,14751.975467194155,14807.944044576865,14812.902070560689
15186.856449259114,15008.810525972502,14740.820495403515,14537.521457138693,14549.246033574162,14509.014742930376
14079.572019443674,16397.355852882793,14311.617213022952,14903.707140661467,14722.080503048905,14664.889247401064
14519.60448692176,16585.56623607952,14945.846186584002,15241.806289353028,15142.390808655122,15066.992106680531
14872.78558799267,16304.267597029999,14973.81085430299,14992.231598453514,15089.077862489228,14796.24454482909
15364.03772916487,15015.627621130565,14237.265238487247,14304.537009575823,14691.597910844801,14205.4729890373
16369.358508205212,14659.699172515784,14727.46711162263,14679.918423510033,14781.76204988642,14518.917718270473
15824.36786481329,14999.811593765458,15140.325109478585,14957.785762400155,14786.230882618538,14748.41939972577
16225.830956116159,14569.233544586003,14592.437124983853,14614.326189079497,14911.075845723299,14469.537799480666
16249.282900285263,15158.96083219629,14747.702946390125,14794.278744370315,15053.945672721102,14766.492131350597
16582.57019188351,14925.401573618921,14943.905553895434,14846.444233768952,14987.404206951303,14762.890385208997
15552.39704890047,16074.147802301386,14952.161823789975,14759.520331257447,15109.372805323035,14820.430419991344
15082.596276466094,16330.714087587807,15062.635013196319,14561.893099173742,15015.113601507095,15127.301340238077
15406.887089746779,16177.809063241415,14794.09608968688,14850.642026870682,15020.22613126809,14948.25963067437
14909.873334054495,16020.052657836119,14537.07641322574,14631.954232541648,14752.320156817575,14659.042366471167
14933.858641705398,16655.528288177968,14680.719480081967,14938.990510440995,14608.202308288723,15321.57365836388
15805.872118752282,15753.464362844536,14837.573979571654,15055.611665400547,14996.022909112535,14979.97050922673
16586.82937732862,15280.865782024624,14887.425854340478,15084.418080119094,15118.150562606465,14961.283291549968
16239.242137854044,15174.013904953585,14949.459668595722,15233.67606511389,15136.98042130709,14917.896543547271
14965.070519013769,16200.086544275506,14921.416834121606,14923.5239628241,15019.518398579916,14867.962138311666
16079.358829525736,15978.35227509443,15169.415064946696,15057.394521895974,15230.209379722204,14987.281574532493
15889.048983254812,15209.67261152157,15199.451300798659,15324.780450501914,15274.655703904184,14916.621897943727
16703.83320837358,14855.200279392206,14591.591621797837,15124.510047163129,15089.139316122324,14742.017249411025
15326.571324661682,15882.846049405265,14906.911278944155,15015.640297674663,15079.317489580586,14957.724397950558
14840.47039372465,16013.373159787445,14640.376726952072,14590.401357636167,14713.930490349247,14639.615994884929
15015.121940539044,16443.459696489466,14437.790394773514,14725.713652497765,14770.344057347847,14986.098664428804
14734.693799475363,15955.020305374283,14434.769273482343,14471.048550083182,14487.919149878755,14476.517937972443
15082.715473636748,16944.04430563459,15278.873404498847,14471.135356808318,15352.457244387999,14310.786710269325
15838.491252936612,15280.192848743987,15138.737323598249,14787.476176237777,15152.554155029526,14757.471651588648
15350.273374019898,16718.81846495006,15034.936802907816,14657.667999066354,15059.439083765377,14783.07223162129
16177.756329798207,15339.303720652642,15219.564892865003,14986.708742845922,15340.872536762,15120.977355116718
16446.228135965266,15568.886041200465,15237.509589492018,15283.921667310191,15407.852031718076,15272.61604848722
16512.30648035539,15288.576635591186,15124.453163726499,15305.108339142676,15403.227886240422,15335.621537360252
16064.111451429897,15429.478274292864,14824.173563156215,15032.659085287316,15008.084079910615,14963.057656616513
15522.518198641352,17061.880491120246,14986.24300826397,14563.851913084658,14914.295258634029,14704.581119008086
15962.583649732076,14870.726691380623,14746.080856253928,14624.152146393824,14731.750746427137,14701.9335894148
16204.645056627784,15096.279525678341,15007.817238639256,15059.374305208814,14974.766053734176,15169.361947787253
16525.999965478914,15274.033258640684,15188.81479918663,15321.77018617922,15162.226383190002,15333.567727465652
16285.227957893305,14584.50619749597,14580.782823212516,14749.615184294222,14726.012646013603,14626.98776628833
16124.545380856784,14541.745940824138,14705.120195342124,15292.96217596704,15061.450331600563,14718.521168447942
16535.683683071922,14921.60454545584,14865.237876631323,15360.781279960545,15282.959351990454,14972.130348455526
16458.115718640125,15686.47026427815,15186.12631805152,15389.329063544317,15362.814809973042,15053.586551977383
16618.300968754647,15471.520483978315,15413.654722594565,15337.095715420175,15490.178344205024,15371.878922584172
16747.430825676136,15146.880324068443,15194.226713435215,15185.968743667669,15166.107709425996,15083.396612470691
16678.62089990318,15299.972316545065,15318.102877960948,15107.706876901058,15187.920377258419,15142.751952935774
16530.28414023474,15258.384475549838,15031.34531092154,15212.848652274048,15070.89597148218,15190.687936118986
15207.641501916829,16484.910985883016,15051.875865907827,14972.698236581002,15211.848312162783,14970.224404709741
15733.15697224526,15559.178178099855,14930.337205412041,14994.601465952432,14995.278368074603,14792.655672755875
16457.43730527309,14693.945492143177,14493.537857112777,14747.638548945437,14599.836944995466,14320.853152135722
16811.47693546558,14629.327492709259,14799.134465947918,14161.617271676476,14630.773135070038,14319.269061468009
16237.778556712856,15208.342318044577,15063.445977273914,14665.55592257713,15292.701542859815,14772.246581723153
16501.608717796935,15457.069988521069,15078.05324499772,15179.259755465111,15394.09301126479,15184.951740947386
16459.380918390543,15209.987601602894,15201.297882010982,15169.266999542568,15123.768419248523,15054.789791167112
15331.88168919242,16300.128717194411,15233.18075356952,15273.71396061569,15235.8567387737,15176.696248284356
15210.678712483514,16460.786340323608,15340.634854682607,15373.038977972894,15302.82211315509,15138.140426186716
15089.705889180414,16487.188757211235,15076.07183420636,14808.708578189679,14914.604756579876,14852.40199312797
15357.71175497235,16072.819277218461,15163.099759679684,15141.011167563564,15154.414354600387,15095.584784203036
15568.734645199636,16849.863685253433,15326.893559153907,15497.510483762844,15459.384252134176,15395.538072307412
15806.732534313807,15607.61450840781,15204.429232679222,15249.498264316026,15201.843294101966,15213.560093031005
16355.49604766798,15194.812138572006,15335.048220522507,15232.104423123621,15249.633643904903,15099.65622046181
16520.408484527343,15431.021279433566,15353.591506862653,15337.106705423324,15420.013224968363,15288.12572161815
16587.916118448527,15637.812480878521,15447.24639419938,15601.478208385675,15643.533411691586,15315.201682987217
15617.513722139354,16761.103818416483,15462.503638844912,15494.390389264981,15689.445722125083,15417.987589663584
15608.002485479661,16209.388298746266,15512.616270370258,15507.576014483986,15565.54708243786,15483.425844612533
16133.968027881736,15529.855408833375,15256.98336496438,15246.413123061695,15259.176420808499,15235.575583064832
15146.589411268522,16460.647609830787,15223.853772434235,15487.480386650264,15179.890354527459,15189.084146360854
15401.940860316668,16183.553276441155,15328.360251922699,15476.07556738539,15300.80842956115,15294.408581001606
15430.139693436937,16500.320603806835,15044.491707012383,15155.637563066159,15345.934879670245,15210.6515140894
15900.089955460508,16332.18859440006,15148.366827013224,15424.297449923175,15545.325407080787,15413.407362200056
16433.024688673944,15191.399990047905,15226.551972864956,15319.33068256859,15309.810754351323,15170.98929358961
16235.35394211848,15015.530615828671,15005.870073553102,15069.541187387618,15045.338742266013,14918.683697359327
16236.987598154412,15120.501113062432,15037.496729866443,15166.539525728012,15174.518885206035,14913.831704725557
16382.049169162628,15241.309630593723,14998.327096466654,15100.40503466378,15213.891969557742,15211.741592822606
15307.754118785677,16344.870160241711,15237.901011100521,15343.820397701345,15247.013781712307,15365.905301393423
16535.19847369391,15915.607454823697,15311.796139022885,15334.733937051713,15165.448096343327,15273.26452518491
16326.56964157805,15090.788494433345,14846.592462827706,14744.561112658874,14939.7338265141,14947.138866471965
16653.134049635268,14808.540214800836,15302.654768908526,14629.704269724045,15189.894439519976,15428.152585040709
16036.369937465513,14957.209674826468,15199.731813603463,14926.758134410498,15239.945106658533,15260.883456715976
15525.514635928685,16251.05403980068,15367.8735281134,15251.143929673179,15368.317654552142,15293.058675017886
15348.262305574945,15857.448810770955,15032.90220942925,15075.497810530369,15035.364246021032,15067.561670499548
15143.365284937709,16256.698358461561,14906.512130191777,15025.268390079182,15157.321605150271,15063.508447691567
16636.058781189706,15082.526077161057,14989.715441271854,15177.378684500287,15161.858204814767,15111.969021616524
15720.411481498557,16062.033156533393,15169.592169179423,15268.040364118167,15203.15994696004,15225.653437557972
16250.387413866005,15466.513905850356,15163.518671560212,15182.618195486843,15250.099606085145,15081.664468076426
15078.181059161036,16692.7070445581,15015.388621194817,15102.999061253766,15053.625577749908,15102.623562567742
16174.204259986838,15519.51318133015,15277.61813486319,15370.165681149016,15277.80278066742,15287.25321900397
16066.645039709196,15935.509255535371,15204.196321550322,15139.175574274706,15405.45955232696,15227.114468814649
15866.405722294785,16172.180098295354,15066.17350111367,15047.604514612136,15231.180063502296,15217.804484897011
16387.011023046405,15142.519644933865,15185.598254484823,15173.358479931228,15146.569130204658,15196.345411922139
16826.350578158555,15295.11586367851,15364.043968970813,15298.485029212337,15358.938404649198,15435.92629194808
15596.594343788185,15660.64604886031,15257.282993251252,15305.036685368816,15283.602418624327,15323.753198858956
15386.40260387936,15482.665616639762,14846.508057032113,14799.613134553992,14911.563782955109,14887.762998939286
15296.45926711876,16899.898743733942,15251.765592046808,14983.423553473818,15595.494669933207,15102.450600366956
16442.57833433415,15105.444248937187,15227.114160617104,15247.551899600474,15013.02831783814,14999.567375672481
15134.268237516902,16413.663424635208,14920.013986171105,14977.762144961871,14961.386197266695,14853.405957387095
16921.792682900475,15434.553595781195,15029.695362460385,15001.261984394014,15083.541726869349,15036.162902995764
16377.059360811709,14941.931977879814,14939.303454841262,15068.273653497312,15008.682811431367,14984.71380420288
16394.769413181926,14433.748099472954,14438.261986755451,14461.947871626024,15071.790797348778,14723.249596515834
16579.15734671914,15066.703023832424,14858.190976865404,15019.027394851064,15361.312821016569,15209.07536745141
15978.913095366312,15384.703986528875,14941.005567322025,15170.184362304384,15034.959131234253,15124.201143875393
16451.95734605923,14817.997203679557,14518.592440560808,14784.433389673699,14755.847158725368,14908.957979720497
16309.428187379732,15480.07374665666,14625.79155095151,15285.972794528425,15323.99693406139,15200.275213126135
16713.36718071277,14927.666688945268,14767.010344477176,15112.457747142591,15348.312620212775,14889.614209529751
16422.09659343477,15048.214660366275,15260.041682251236,15451.518870011234,15497.152483331673,15241.66809270962
14863.67927269922,16209.776767921046,14648.621627008226,14481.009360969902,14576.917497452232,14719.136556773783
14722.165814751814,16396.339050917453,14819.265909723706,14021.018523777644,14433.953731802889,14701.996676307188
14745.502886338541,16361.731089577397,15031.280149144333,14671.721537105248,14651.04988051651,14979.089521460757
14899.756688098794,16211.928643351288,15039.288705661582,14992.659641751263,14705.073706382747,14777.916758537162
14778.193126953263,16958.898853348073,14940.509314023719,14897.42994256212,15220.695723256518,14816.087952669417
14978.728195918775,16635.999526756917,15085.975107876828,15242.532271953354,15535.001141347017,15256.907254156471
15169.98576330197,16399.01271187716,15280.62656474522,15143.063727926105,15225.239640028201,15217.577597710659
15676.813988931246,15027.32440704536,14878.601625039622,14853.040336650232,14910.324929847504,14808.834342514874
15218.577137472588,16459.540457226933,15144.062402165433,15136.468625383102,15010.15663563985,14695.329085063086
16111.867703353113,15230.836088073927,15066.545348752572,15017.579362171724,15092.393593338915,14764.525509297764
15187.714062787112,16411.79892626442,14801.712835589018,14968.20423997215,14987.442024742704,14666.59128712321
14710.772109568541,16730.919909755514,14850.58744990168,15118.334911304044,15180.73710991978,14944.832528103894
14903.158645630112,16828.420530082454,14809.73646392565,15083.091354625654,14888.388812359772,14973.242850057359
15212.349254122597,16524.426787153512,15152.738226846039,15490.175087369329,14972.50283563414,15127.052934904932
14897.405653609832,16829.56717107152,14930.852201397884,14991.55384941936,14965.620439303108,14982.910172190837
15353.161266496654,16898.989536791218,15106.666176096978,15315.59919882996,15008.355703226362,15197.107882422515
16350.097233669698,15350.33953972223,15204.720554194779,15457.175666003672,15419.754507071122,15403.165934213723
16591.840466819398,15275.942069247585,15213.532949383689,15268.819235629739,15338.754890755423,15230.744643099531
16633.268626618297,15516.668308108301,15420.14562016214,14965.704062581268,15445.992914810158,14955.785251374127
15596.767725725613,16448.36043763203,15568.945923633853,15229.987308101658,15605.30700190534,15190.0576483362
16542.98816202415,14870.51983570696,14892.921210472628,15078.566221919747,14794.599057201973,14902.00656421748
16489.300191899525,14880.048520846996,15030.402640377963,15143.939773479537,14971.042416616796,14990.318155874616
16692.963918874586,15179.112776052554,15175.724517023738,15363.222618908114,15274.384429770878,15189.822903658503
15132.098647097226,16395.211024603854,15041.900048683805,15043.803167270196,15285.933494817067,14963.162132741007
15443.486607784711,16405.00082712838,15201.846882607295,15199.016515204423,15503.187793085026,15054.9027751278
16074.51899655557,15690.91565331156,15097.58698928099,15170.286345107845,15200.011679180263,15174.001352846133
15113.052056901251,16773.645391553528,15022.887692238837,15269.978027435227,15340.850234972662,15265.34541415009
15362.599163350667,15984.770431783312,14717.399608818836,14826.066720338855,14799.73549528225,14624.375628144475
16596.84749182591,14890.973534370547,14548.887655355607,14785.112243327301,14698.552989554773,14754.154549298748
15852.746327013812,15455.067000914352,14809.540589448008,15024.619585976741,15074.641516262198,15033.723357
14917.805126648933,15995.236176918856,14652.891101701276,14839.273730307408,14771.705971983718,14613.791269531928
15559.047673371173,15922.163784327857,15026.861482035523,15190.736860469513,14889.80899396849,14698.451441560132
16891.360170719607,15107.104916829048,15151.053261838704,15251.451094294824,15196.228759235657,14896.263236337058
16393.390306918987,15517.464331859073,15303.055627989192,15498.060086014646,15411.366166780914,15187.972564155516
15978.26948156283,15941.563368673267,15319.99541583142,15591.84076211037,15561.610257531485,15336.270329517729
15451.759695756573,16931.2655550076,15367.131945726585,15799.678029861336,15559.576461177927,15409.712674562514
15753.364267956636,15362.972908481608,15011.762985942869,15088.68280075922,15058.438158004496,15029.327196864762
15699.818104418733,15854.268497962234,14775.957308830028,14806.320551193077,14862.769097428536,14938.287599683019
15767.554273314063,16540.679679583336,15079.716003729893,14886.61579751732,15005.604567043054,15036.63941511864
16115.28685227396,15665.948953498313,15204.745169277114,15193.625135348948,15231.099802704408,15107.667919450376
15089.820576136577,16452.4092827079,14971.37451448642,15269.161529110019,15066.844748664018,15011.795200049031
15453.418634102241,16025.77224761523,14932.710896539853,15297.430566463894,15226.647487315842,15168.192324492316
15154.024686626693,16239.51116011518,14982.582781655936,14925.555153309542,15228.467365144468,15048.578968783504
15126.939157147035,16830.770706501124,15206.560447953838,15169.810692218827,15401.886781914443,15205.84977514854
15233.647230880099,15637.539519700751,15000.373238040393,15130.794311870819,15125.824211955776,15091.913992795611
17144.121144741424,15760.279876095654,14785.559868930011,15160.053396985273,15157.724195207547,15219.96393246632
16011.148238485352,15494.421589517231,14934.238780428343,15136.779703379994,15266.699271228412,15077.450998878245
15211.175513346461,16552.13891763627,15096.73075100941,15394.423076013607,15443.421948559293,15167.577791179301
15132.498761957186,16185.524485919044,15102.025424093956,15239.896736828974,15326.077922570605,15029.991331047744
15311.7193286825,16684.070777899728,15142.22521847735,15493.009091047903,15217.18213622249,15010.190205293644
15616.049299331637,16493.77838468911,15102.921434446655,15455.336397690797,15339.427894231125,15165.619213601793
16504.831773996644,15508.252757594493,15060.195810197803,15345.497052485074,14887.836039581909,15176.641001431082
15262.492332294323,16822.539655253073,15071.111131197225,15267.387783095945,15111.72156832702,15460.610890662958
16081.978645819727,15310.379120249654,15226.218784038081,15256.042821167204,15265.57047090809,15254.365180758561
