TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C,PRODUCE_SOUND_C
8759.694087528014,0.0,0.0,482.98616496282466,1080.584380051281,799.3384137907888
16228.108451769982,763.4226749562453,179.08503855276055,660.6296429720401,1499.4315159486232,3129.7143716054984
16154.247472493127,1681.5477421943806,423.368885467518,2040.948835550633,2450.2754227867854,4698.723061969563
16012.93156742444,1681.5477421943806,1059.67019935278,3370.6348595206323,3769.094742990552,5578.843653591892
16002.668602054853,1681.5477421943806,1464.7785644941291,3924.558128385128,4142.41938218549,6556.497862228975
14945.283663054443,1681.5477421943806,1850.107760122941,5213.19273168154,5066.574109161862,7784.132873860363
14779.013320917782,1681.5477421943806,2185.020051650794,6147.050369144179,6942.459150351546,8134.339188785393
15713.73750959534,3453.6732243864076,2185.020051650794,6575.247410337727,7643.189850582045,8134.339188785393
15405.777175427043,5435.486319331319,2353.2133073706023,8097.201085888318,8190.376870930834,9352.783917127972
15875.196063882993,7528.450592476997,3859.64841470941,9405.864052661436,8433.063876640415,9599.47127164656
15688.314777497693,8223.042447991935,4165.387228689696,9405.864052661436,8790.540785863697,10045.771720466113
14699.803232292581,8223.042447991935,4696.616036179951,9725.255997929771,9080.666973059399,10139.480925896016
15961.963530931867,8223.042447991935,4696.616036179951,10300.11915865745,9080.666973059399,10373.426284906334
16013.720013260423,8320.581887403194,4696.616036179951,10688.333595258822,9080.666973059399,10373.426284906334
15519.12504858065,9198.436842104553,4696.616036179951,11448.097380959396,9319.576970458387,10373.426284906334
15539.426284467823,9198.436842104553,4696.616036179951,11619.405434488863,9637.566733896205,10373.426284906334
15772.570618546642,9722.67983526938,4696.616036179951,11619.405434488863,9637.566733896205,10373.426284906334
16106.441607145856,9794.16751615549,4696.616036179951,11744.124731391024,10069.691589919566,10373.426284906334
16395.801710893666,9794.16751615549,5505.054706208256,12217.48492349062,10182.490890293886,10457.148349224233
15951.563004454716,10270.587742285734,6733.797126091209,12342.678304189028,10182.490890293886,10942.964137409062
