TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C,PRODUCE_SOUND_C
151.76311928351595,61.57203631270895,1043.5124798076054,139.95209808491586,626.1153676332527,131.03062311606706
700.0649106843825,441.91977148108344,4548.6282382949,1196.7409247611847,1213.3372816905924,543.5271620745632
1069.5295404622707,1361.1308902515618,7295.012193922145,2276.2111446075355,2961.4234836694545,2109.272964123279
3079.4414810961784,2806.6469892816167,9451.075177976012,2903.9322770117788,4907.918536464152,3045.9827236341166
4912.79589229932,4528.518432125546,10221.995760294405,3739.1436629076347,5742.273152813437,4409.937808404433
5643.580568678928,5001.150315201804,9620.006194424568,5194.665047476249,6560.57350460011,5737.349087103218
5998.776362146108,5303.238608294795,9420.278491617328,5651.225136411318,6896.656508240502,6218.5377949733975
6289.8930743364845,5961.068580944966,9249.05685443011,6121.803602691191,6985.813768830754,7069.447149289812
6537.890741174491,7074.736529288893,10286.96115659211,6856.36673274832,7521.188814698787,7781.794855153547
6834.220771591321,8497.698552488851,11242.918896685394,7775.98862483871,8524.665832129816,8664.425053867624
7470.855599285916,8587.099402510572,11629.910393383097,7893.562736477028,8930.030651094246,9131.872869798963
7666.88860324236,8694.098951482683,10867.363835988133,8261.625251586258,9107.860333167595,9807.658333085388
7756.525141120887,8855.431762019445,10829.810021120884,8393.391493590072,9151.312798358822,9962.743844421453
8016.312363460281,9401.141608659258,11091.77382061276,9295.206898762302,9600.565082488472,10054.431659395092
8298.09847111451,9904.433552726245,11572.995161282699,9564.419641266717,10100.493743083513,10191.522521538154
9066.848000629881,10050.168870868727,12739.507251813531,9852.752816049755,10291.324679064484,10066.5652663465
9933.135800908047,10285.320267098174,14425.83610771596,10736.458492588725,10722.362748411986,10178.5062986144
10868.36639098781,11175.915157335854,14740.809880851775,11318.618668862422,11085.170069233012,10819.857915257082
11291.294833738024,11640.506718772782,15772.227433916894,11830.078509661605,11556.354974314014,11136.987518125685
11613.68482006989,12419.477514942895,16620.105171767467,12709.766395212218,12595.135742612401,11518.652230071168
12840.835942199701,12723.732771050898,16901.751993484373,13156.492482299653,13418.836806612046,12582.093947266678
13373.869648284699,12824.17519358981,16696.665485458157,13234.440406348538,14691.454021906491,13167.345948743392
13579.175845459431,12964.819435826146,16249.80197033173,13234.440406348538,15046.777005718912,13167.345948743392
14148.696129328806,13156.738948495615,16054.570505342035,13415.136701189489,15206.748448166507,13270.4110022216
14348.0198987891,13282.885530974057,15976.682237753925,13961.580460876356,15262.607399297252,13640.46528242996
14661.156187386627,13310.700389899524,16266.425772701303,14403.498446344627,15290.962082873728,13736.612221364467
15001.699828159837,13559.603078660004,16070.545734899451,14757.67647791315,15315.501431138166,13921.218106037377
15087.777322370472,13559.603078660004,16165.937530066967,14906.040122668317,15358.2962865154,13921.218106037377
15148.317805613715,13857.26359453037,16066.602165244876,14997.500302334789,15414.364887888309,13938.754647710313
15214.251826100457,14010.64859088178,15842.850892517405,15054.972469221364,15242.978418444347,14198.535630489225
15104.129332612023,14226.142928293199,15970.385407474994,15156.082631267205,15118.517921328383,14421.033750735014
15217.823585800421,14508.91021337341,16464.948747095998,15246.183641933876,15235.230231059075,14581.373843029793
15204.152552679636,14657.476086998106,16129.056372950858,15276.070552065035,15348.248528635544,14709.305614243616
14916.359138177342,14837.690509236672,16794.64262301338,15324.223222172306,15356.240799314624,14907.514924609752
15002.940355430048,15018.419565905737,16398.848579612746,15470.43389005598,15463.709236294439,15073.102796530451
14970.152061101368,15005.766172989433,15813.959081673785,15303.297383986346,15268.987296055704,15022.955584321899
14852.817087839945,14941.239641032796,15861.396456914323,14927.97162734115,14904.144150796574,14821.91670434864
14868.504397244116,14943.748657688177,16478.55083407466,14964.122684673728,14959.826637071228,14823.062147828416
15346.852655954783,14996.844815905508,17024.66499294775,15465.83012340757,15498.391054783326,14958.322189540157
15398.34991688617,14996.844815905508,16257.683975302707,15540.99817953514,15565.234383039511,15062.105517312364
15388.069543370228,14996.844815905508,16148.67172465312,15540.99817953514,15547.16577639802,15062.105517312364
15411.070211027494,15061.140097080517,16578.277951459993,15567.670127183594,15632.735924396813,15119.728633893947
15459.093680878605,15092.786469697327,16402.73548955482,15693.85817792819,15693.634934080666,15226.20273130118
15440.791870358733,15231.000671819962,16284.748955612593,15667.413759424535,15619.36396042945,15316.177592761564
15061.356749418677,15004.269441034994,15986.582945233871,15194.408732815575,15086.345954825229,15106.282098321757
14977.865889262392,14909.216106802829,15551.393735920215,15160.947503299798,15083.13191392129,15012.722704517968
14840.401288042642,14814.037445809461,15970.006683422938,14922.65105793751,15003.543355934922,14956.339618393771
14729.911385409796,14824.940427809119,15493.700219389055,14882.576470120643,15007.308155387609,14904.43338755599
14630.265809539289,14523.199861240853,16183.521388695031,14685.910026920734,14681.396902962168,14633.641208507597
14849.885373271061,14832.00806880125,16058.154717324578,14902.939080211474,15006.263987089818,14933.324368187778
14955.88202811222,15049.882073982937,16164.432246138338,14993.869607508,15056.155763816405,15009.978925933483
14930.441318164902,15332.169280202133,16875.099799766896,15137.593686295215,15180.580666382117,15227.19363434248
15189.058744880427,15452.311291494934,16800.3561182804,15203.882329767846,15396.815077551346,15395.856704128004
15299.950971183216,15398.88420461908,15816.244497324416,15329.218811105586,15367.428413510685,15367.258209059126
15169.260794839493,15332.348452687109,16283.810511606245,15335.162477424175,15404.911424094553,15289.284546602086
15139.662333937378,15393.423309350137,16052.729131337455,15343.056598489928,15449.985025321896,15293.655813377965
15102.792017119,15475.612546704655,16641.19924047062,15379.11574262733,15496.24285829408,15401.78149292321
14961.005337458648,15488.672977722497,16717.17711795528,15393.827517819527,15607.924540110314,15557.274346795597
14981.843352739377,15370.812918657937,15903.21024091369,15309.470347268827,15434.093462517707,15419.158953552243
15006.594024778286,15016.73413032642,16194.01314639997,15113.854490450592,15160.069772552202,15076.39730439415
15145.272480009964,15001.342855342838,17386.011614344534,15176.71768389425,15344.093498657337,15150.87486463377
15361.61749473602,15011.03564685717,16989.427352726958,15479.293617743975,15594.929943652018,15370.385318517561
15365.560306962352,15008.112764084119,16984.31685362709,15639.264952764572,15791.684641314041,15424.338341674335
15615.084614341595,14977.37910285965,16622.04189273107,15756.213650087378,15908.047105230187,15701.652608559103
15660.227606815955,15060.432256527007,16324.75431498195,15756.213650087378,15893.824411285324,15689.554367170867
15738.803783538599,15164.242303637839,16685.48747089892,15742.596396622133,15807.131629614381,15639.951796551388
15595.376836988095,15187.05341203247,15914.873225142715,15620.938102661758,15626.928870183816,15580.573869254311
15230.961950433073,15184.740731128675,15948.536268370499,15346.131553519755,15322.028566188308,15341.207685761723
15022.881387226837,15251.660673612425,16798.046114551493,15496.795471316285,15467.62106365356,15289.863284931715
15088.964089573044,15358.680864940523,16505.662505542365,15709.460935889223,15603.10516578222,15406.949623411607
15155.655673688048,15111.06664405665,16358.36557141801,15498.490480715811,15504.926597675923,15327.133125532511
15162.424774409788,15094.01774126282,16960.210444572578,15577.679592357897,15578.790933031649,15470.634804419218
15284.921730608221,15211.066442638199,17403.40357864199,15729.899728653445,15916.475023144516,15721.291817424182
15622.833411903393,15211.066442638199,17472.970958974638,15812.002007978963,16307.59340891725,16073.75915266568
15804.5888026394,15347.566812091145,16728.32685376366,15798.964521086265,16272.020979276023,16088.10440353807
15710.21227511355,15427.711440260668,16948.350121090414,15787.409796994647,16087.97330800389,16055.013623881028
15701.148501355216,15512.440659876122,17271.861861589503,15819.88537733741,16113.664145363384,16068.770411140935
15683.525715777178,15627.945112707961,17060.493668830506,15998.646487156244,16118.344383432712,16097.615250935212
15679.70731439199,15764.710454226706,16526.31946274965,15995.18467997751,16090.046191005877,16059.810141876602
15548.37502689882,15597.07631193805,16352.212230583042,15831.130595220982,15790.674015804041,15781.338678697859
15615.730352967015,15400.947620666459,17450.042620940552,16031.482387338652,15987.335268389841,16023.844292242253
15773.119983435494,15499.359341320307,17047.036079231762,16280.423348630506,16105.854817562538,16111.974383072802
15881.30171965138,15724.777496152605,17684.865913073998,16389.21631503838,16227.102149489985,16287.53322316428
15988.395297877047,15769.770590774702,17670.268274789218,16462.54105633013,16232.443902512521,16331.883156980412
16005.723269386954,15751.094238693033,17451.385040557376,16330.541019521868,16286.469199866387,16277.790727339716
15861.537003501948,15714.317272470977,17353.10455504593,16167.899771548418,16191.861929286073,16246.151686146439
15772.711125116155,15664.19141704705,17190.88611020536,16212.294884617033,16103.69510626202,16160.07735194841
15844.461571201473,15759.316730699991,17678.947597762522,16329.108818315039,16270.82120120925,16256.901590627725
15816.251253876288,16174.726225477336,17963.833243946316,16749.24226210865,16684.718596526694,16688.85021416554
15916.625787307732,16318.872549093845,17268.80680611922,16641.519266501775,16675.60920758502,16618.262628808774
16049.631399475387,16079.800644236824,16905.40889077947,16138.19555343992,16158.29989742205,16141.888360962725
16061.082453300643,15903.171614681518,17142.301509922796,16143.83812072371,16169.435231498901,16146.432233019272
