TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C,PRODUCE_SOUND_C
291.90404415983204,22.574514259351815,0.0,0.0,0.0,3.9248739789953673
3623.785591075406,26.73015524533695,0.0,421.3609794247119,132.06589225939365,47.72072386656621
6138.823912346589,554.3643934486591,2719.3872092847255,490.52500515100235,489.13293429405513,47.72072386656621
8481.374297735707,586.2574492043215,5967.214205346415,903.5950947612685,1119.8599739500883,47.72072386656621
9196.125172753835,1191.4973547476327,6166.675410652737,1386.5555682969093,1208.3199806521332,682.1505012838064
9058.561741118838,2758.152475010313,6166.675410652737,1386.5555682969093,1208.3199806521332,1828.4282305278548
9020.193091102043,3354.3054293847144,6166.675410652737,1876.4903906852405,1208.3199806521332,2439.905500144086
8649.964304151512,3354.3054293847144,6166.675410652737,2467.382392649265,1208.3199806521332,3313.0059995323145
9202.846357957293,4308.5282209846055,6166.675410652737,3219.8286740320877,1971.9951184398474,3482.864821501276
10363.471507622253,4884.835076997768,6166.675410652737,4113.738212290629,2468.213395487897,4018.083347869447
10467.856142572922,4904.486659252648,6269.548136055476,4113.738212290629,2873.902582008308,4018.083347869447
9512.57648864986,5559.35381995049,7284.857208508596,4524.413639299846,3699.156231435218,4018.083347869447
9902.465995396658,6106.783528951809,7395.629837970254,4659.123905529962,4055.9060657535993,4018.083347869447
10053.02786864057,6625.1456596017615,8469.979987538738,5000.126681014176,4055.9060657535993,4018.083347869447
10371.47405850265,7174.360128759895,12030.518959577854,5163.56588109833,4055.9060657535993,4018.083347869447
10216.683140208499,7174.360128759895,16431.453522581236,5163.56588109833,4088.3607892110454,4042.545773401363
10240.257170351688,7203.636381406596,16986.149866336906,5170.4359941116545,5997.73158261162,5482.585440089482
10240.257170351688,7888.415071362344,17697.066338040244,6308.5847166524345,7805.160742745829,6523.997867552667
10240.257170351688,7888.415071362344,17700.661319889132,6576.045721181032,9168.40219523747,7601.906506051345
10240.257170351688,7888.415071362344,17028.325660968083,7988.768131677141,10223.877950363445,9636.944674551693
10240.257170351688,8160.487128336637,16589.976752267587,8257.116116195448,10581.47024220576,10435.569774845426
10240.257170351688,9394.993037107512,16830.053140708325,9030.529494135095,11131.378579808246,10435.569774845426
10579.425784761379,9394.993037107512,16687.304353686955,9047.927341082612,11568.96221925818,10435.569774845426
11449.935675080556,9434.709246088125,17230.169932555364,9047.927341082612,11568.96221925818,10435.569774845426
11560.101313096819,9962.367451116294,16815.803224383155,9047.927341082612,12135.398292720927,10435.569774845426
11560.101313096819,9962.367451116294,17298.945158292863,9047.927341082612,12589.789176887078,10537.601763114897
11560.101313096819,10342.742275266515,17201.43545033208,9058.057452874267,13260.65646137414,11124.975100990505
11560.101313096819,10629.691704011419,16662.782576811875,9723.268127192923,13883.117759896528,11352.8706883812
11560.101313096819,10869.219343216499,17900.748736699537,10476.016652486274,14276.72886569511,11562.394654523512
11560.101313096819,11031.58371610048,17368.761046437354,10569.052987073093,14525.587322290201,12237.635603526276
11560.101313096819,11031.58371610048,16929.58401483122,10569.052987073093,14525.587322290201,12567.217495301435
11563.943178096844,11031.58371610048,17562.51953973593,10903.69516405687,14534.406865074681,12567.217495301435
12205.089270623743,11202.006795954108,16483.326294947437,11376.230043209638,14763.486076973728,12569.327006290396
12208.681102643732,11569.086659148641,17294.945312987584,12098.96264407007,14837.339605390232,12931.337118460233
12621.281626440095,11916.552501848413,16461.447080920996,12143.123753754604,15242.678259334283,13267.940065587109
12633.604402125055,11916.552501848413,16478.267235071235,12486.65039553796,15295.475807887868,13453.199376851122
12633.604402125055,12403.77588245902,17310.96515946657,12507.029094626801,15390.892367710743,13652.57508005814
12638.734643152613,12840.886093269959,17535.733725194772,12767.053869756424,15545.213574574589,13780.918560944563
13000.050189807767,12978.777990709672,16615.45059880604,13833.73366323467,15567.04014077698,14012.336793023762
13000.050189807767,13762.779600632652,16711.91831644303,13927.679767637024,15567.04014077698,14012.336793023762
13114.048375084743,13871.760151609977,17303.76734214974,13927.679767637024,15567.04014077698,14012.336793023762
13343.424943374155,14108.739208863804,17267.475417886486,14059.621209581686,15567.04014077698,14012.336793023762
13348.418647544244,14123.063499705235,17402.476754733907,14514.337422279517,15567.04014077698,14012.336793023762
13348.418647544244,14123.063499705235,17066.511862888805,14576.772041365719,15600.00785572611,14062.641273775915
13348.418647544244,14123.063499705235,17068.151366629456,14765.253269459776,15704.039242674377,14175.663029232048
13414.240626996687,14131.378828561117,16721.70607717805,14766.642658005141,15730.425801402504,14176.21410979292
13472.37717758651,14181.212652543574,17109.741922961213,14766.642658005141,15777.588142312212,14574.241037844695
13482.207933273,14183.558890459872,17329.47891629524,14766.642658005141,15796.29499261718,14850.79033574271
13580.407459855644,14194.320126936298,17552.680765564288,14766.642658005141,15847.549765128546,14850.79033574271
13798.379967454668,14232.689868757516,17157.305211773102,15079.966657447287,16165.84856142726,14850.79033574271
13872.084540981785,14342.591203650478,16942.81091460888,15136.926896773548,16102.023870520114,14920.816344339722
13998.124781448882,14356.58385046948,17270.60495538893,15136.926896773548,16071.707562953752,15250.032458295547
14104.948123433618,14356.58385046948,17276.969674763164,15304.055837317872,15906.482363311607,15285.96063848555
14104.948123433618,14356.58385046948,16474.39767262937,15348.750649047723,15906.482363311607,15285.96063848555
14147.735359643362,14435.924911733176,17024.531050783633,15348.750649047723,15859.509040497729,15401.593779920573
14247.098409844726,14535.751032472643,17092.91014532991,15348.750649047723,15855.089231130121,15560.342652181454
14247.098409844726,14702.62060423689,17248.362024236332,15348.750649047723,15957.79438080882,15650.890237692043
14247.098409844726,14913.27818150793,17159.219116025528,15368.418340111708,15979.096951218018,15738.097069424923
14256.282411086353,15145.729560964368,17000.224697057285,15602.441165148017,15979.552228023467,15796.521893933694
14367.100443987576,15207.178561754043,17054.01465438618,15602.441165148017,16007.815747394528,15824.251892802886
14797.838575079386,15207.178561754043,17184.90303089505,15602.441165148017,16031.902273838485,15836.98870006821
14861.685880952995,15234.46490708698,16981.605177776335,15639.386689875399,16031.93392725941,15883.698778676919
14861.685880952995,15276.257917027304,17890.036297876843,15831.083966707576,16065.635981035599,15895.003340740932
14861.685880952995,15276.257917027304,17400.190795262723,15904.889690978507,16190.323536201184,16041.80199454707
14906.310564518664,15276.257917027304,17061.340474511962,15982.195137790823,16201.78894475345,16059.244852622507
14955.76264816768,15276.257917027304,17444.295170768968,16023.438922484078,16204.307253743646,16080.117657413452
15170.85514665471,15233.756329386133,16645.27820525195,16067.353728322481,16229.661918985386,16106.843457963407
15197.145733048656,15179.486420304305,16558.164871450408,16079.15921833388,16053.312499767026,15999.203416967446
15203.428208766663,15151.246266555914,17100.044959178613,15940.346592940685,15929.211275058004,15866.512816542832
15150.221883057748,15190.130359119894,17570.01822104835,15940.346592940685,16088.881872084314,15861.671762480288
15184.338676228948,15275.154382273435,17165.855498985416,15955.979551420725,16175.717107430683,15861.671762480288
15228.421119236866,15324.411019147672,17120.85339568935,16019.70171212871,16205.067671115969,15861.671762480288
15288.306702191021,15327.436871220956,16892.71940066764,16019.70171212871,16265.644227349729,15861.671762480288
15357.559205198131,15296.464472919273,16969.56851880566,16022.018775511613,16282.878489222678,15861.671762480288
15491.645541789669,15336.050347920382,16915.01981301917,16061.830137272387,16277.423383567108,15861.671762480288
15551.192052543602,15380.427962321384,16803.201786577298,16020.753006312525,15981.668820571469,15861.671762480288
15567.667769414125,15428.827015973118,17384.573247332173,16000.520986586025,15940.54694957663,15861.671762480288
15567.667769414125,15428.827015973118,16832.976453070794,16000.520986586025,15940.54694957663,15873.615068040392
15567.667769414125,15597.835708628136,17423.589468306207,16000.520986586025,15940.54694957663,15963.751297182027
