TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C,PRODUCE_SOUND_C
3093.231612210812,3157.5205802452397,114.28761235898504,17538.67968157277,0.0,191.84375529516163
6918.370833014987,6852.521566164251,3222.6302894116316,18517.54870561455,74.49131838490815,3672.1765004802082
9022.030868661555,9719.783954280296,6998.280389746953,17091.197437872943,3080.145331030942,6379.233902331883
9661.537190891018,10426.228309194163,7906.50660859426,17780.821013251385,4811.011035116967,7456.609893250674
9661.537190891018,10426.228309194163,8710.80925492241,17146.25923228094,5206.1734675024545,8128.735688341156
10033.542970228207,10426.228309194163,9447.28432143955,17709.15327266078,8095.57939333776,9429.371319803193
12088.659937286688,10988.18652746616,11239.405777265323,17631.857861439854,9486.38639587601,10401.229559860594
13326.304135782635,12793.132484585092,12038.228431015144,17525.83874068282,10738.691330613963,11204.983275817141
14116.88918853814,13630.746678277403,12723.891716785873,17277.846223876204,12807.864912427787,11931.879720567824
15814.16332216787,14346.436806333888,12727.950583775219,17792.88302242211,13303.036015649606,12822.949633370645
16106.820599640721,14909.02687834576,13061.824881880362,17585.858481442832,13848.797924819668,13287.663988225991
17689.902106829533,15493.229724524994,13597.80373056378,16848.82913338733,14481.171578371686,14118.212437213742
18355.639118705356,15846.920979545972,14201.356111740552,16849.660284894686,15354.819495377013,14613.386723440135
18547.37329887485,16454.22706735102,14201.356111740552,16911.05535134471,15430.868504173179,15084.249474746306
18460.14027318022,16556.147862015652,14201.356111740552,17027.089696618186,15684.22194271458,15084.249474746306
18496.685719809524,16697.724865226028,14807.70232376388,16680.792377351358,15927.691830134827,15407.725253111075
18679.65139926906,17248.423549369392,15085.522101721002,16556.44786051167,16225.56301751157,15947.397919130397
18739.967762341064,17285.174780779726,15758.508297185695,16614.451266974622,16802.14309746894,16876.821544139533
17784.13494124316,17819.628994721294,15855.117265151011,16755.445708232735,16728.304328398284,16854.988610192522
17423.469837909706,18606.10623608286,16740.87722271656,16947.855444159213,16782.844046991588,16677.629501894266
17450.896417570402,18684.66785611446,17002.625893675337,17157.21540937724,16776.29064942764,16981.20435356269
18683.020579531665,17280.218014024307,17156.870534302067,17024.837056623077,16763.9741127224,17043.066974472298
17444.96483021731,18242.87745238949,17236.030523251306,16961.48786157316,16746.061918786658,17004.21922993752
17410.625986640847,18130.964296539078,17150.998577356455,16969.86635019757,16882.996024960277,17021.366552195243
17166.857376528424,18953.344201807235,17011.976894425647,16973.883045801987,17354.632342204546,16998.86626505312
17199.420834527282,17928.076341904503,17011.976894425647,17291.404908954504,17191.6053099059,16962.095060562006
17282.51862529948,17979.654769336015,17111.217231336468,17477.380404763237,17098.371287582057,16960.48296182649
17455.50295073178,18272.323552857106,17288.74312064456,17369.894992329577,17040.53818119627,17039.895921745818
18835.084684119596,17586.70608217965,17350.253478273058,17243.917941718726,17088.735124085386,17144.09340557736
18738.653366320428,17442.63454975149,17399.23665689193,17121.558394270152,17133.012689340627,17178.600585182023
18164.874156020727,17640.62549728852,17313.94009762657,17072.365771140892,17064.35411805555,17162.930279091743
17022.658211763304,18871.73188333695,17116.360781984447,17068.473305462652,16931.36982126994,16991.110156300536
17169.541114513086,18574.106380419253,17144.943221727815,17048.805589610783,17267.31569029433,17036.491808349692
17650.213915068536,17737.976754505875,17190.594615977494,17043.952408042373,17182.27999095097,17097.029471933707
18571.526118540183,17173.49044537458,17022.103361932266,17023.4410953997,17035.422299864716,17190.02161564897
17142.378172651846,18537.488550231144,17051.037243135543,16865.091643252472,16888.180584499845,17022.885880536247
19481.863186282484,16872.092202843287,17035.254971199774,17096.119526043432,16789.594704398354,17120.2078174198
18545.69800825638,17148.831363683956,17138.569264102378,17534.943511538953,17089.167198099265,17495.88413826031
19012.707134755914,17163.699667550292,17253.83171649111,17374.150205395585,17136.3494347799,17573.94470840418
19094.844550919985,17270.276144830124,17446.06980535327,17433.918311787424,17388.750558628253,17683.437340589076
17978.946899362203,17731.996529919226,17445.875226350363,17439.407234333376,17398.159669078177,17529.604655843697
17381.74673396821,19227.023707519864,17296.99032982217,17626.460355590552,17270.54971039784,17604.240648521907
17915.461490687652,19060.363979708163,17427.340165627676,17723.917554024447,17274.007761265893,18058.949926184538
19366.047795131293,17472.825495102792,17342.41486497599,17238.775107803755,17333.520083160325,17492.753711298934
18921.917426888336,17413.828922959725,17456.586529839675,17285.016756546484,17302.70130535924,17629.20583321055
17953.857125428185,17989.34013664338,17338.01200363761,17299.72992119124,17234.225629788918,17362.04379917438
17873.930648463505,17160.46824226098,16954.655382025117,16911.820614077933,17100.376030441126,17009.374725033147
18631.18717272069,17363.24490686049,16888.347674003526,16535.21458123204,16897.09124209393,17050.842258960038
19284.553699805892,17720.074513253607,17135.703172787395,16494.992467128584,17160.34528470596,17571.148107588284
17768.341973460152,17416.68572855212,17200.09957896591,16534.494631353627,17410.503964385887,17359.67985777743
16959.591673083243,18374.82026413684,17069.06175107076,16509.866904615174,16986.805460904576,17057.23116864857
16959.591673083243,18394.497677195905,17169.21351809933,16500.40216903643,16887.496216048767,17157.570638122015
17070.36881843893,18736.668922876444,17219.705730280424,16588.79163526803,17088.480277032635,17300.161240482743
17308.643358054123,18176.86017596336,17211.371688794785,16551.15004208937,17198.30221448733,17338.48263900733
17232.023639366158,19206.40202823325,17308.544487122585,16552.44520092182,17051.826865290965,17352.325412601687
17220.686815176305,18218.453949972605,17198.30808949857,16565.73448489486,17053.461612102066,17227.532458738562
