TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C,PRODUCE_SOUND_C
16632.591675040774,15519.321423610638,18389.994982832086,22408.036036750244,19388.883486354738,18873.317020250153
18758.087592530042,18585.041230432234,18634.99662841308,19915.073573750797,19393.069600651124,18844.663401829195
17589.842181166896,17479.762972500233,17406.56872085116,18367.98470148169,18613.76049177162,17748.746134450634
18398.514001359355,17840.31772701498,18272.813326584488,19198.273650497165,19543.458400925716,18347.26636047886
17645.450930115352,17515.547970946143,17479.216128693624,18551.166177184125,18422.023451442576,17687.14839337737
18288.36071288727,17913.912336809823,17973.531415362788,19283.98198363129,19375.594783984743,18187.95807550518
18244.940345238287,18157.962937106342,18021.61437082433,18621.838223941475,19372.487777250077,18324.11513059319
18203.906930517853,18099.68616555098,17890.129308982832,19047.79367112238,18942.16290658982,18311.477933326118
17949.335984043264,17762.70750003316,17908.951295895473,19394.38715118902,18613.659291792774,17977.96963665085
18159.678332741587,18054.224863184103,17932.34260260177,19035.92367993301,18646.985510574337,18115.36621642519
18135.808524083182,18060.303247586373,17936.864247475074,19322.600991620155,18949.80946969796,18279.443701132914
17548.656210260953,17563.673672362238,17329.365673650376,17803.213628945487,19162.735909555588,17685.23945607276
17931.486105575656,17855.922814326215,17607.85864980133,18862.357796939767,18956.75580932261,18037.686693640466
17809.70039936457,17894.764862656975,17644.744863592383,18526.36095606329,19249.641684800004,17936.94728787804
17561.96878586925,17667.19412964245,17672.06822399276,18498.15104977202,19193.818415289345,17607.497620182894
17817.43496207074,17798.476391413566,17585.78914142617,18316.76535452261,19436.02293930154,17883.780502855137
18377.214513384526,18449.25935290066,18366.88674593991,19260.00490441806,19408.762515342554,18445.729637650267
18111.509887006334,17997.094685645126,17950.017296171245,18675.8645697757,19013.48057416856,18003.284597822552
17723.494259102026,17682.53329704165,17602.337359915884,19138.074369798902,18379.822564910166,17784.803002451765
18299.840738261155,18137.998739228955,18125.98419593492,18906.371234828857,19164.64169055055,18413.637255325426
18159.054035782905,18159.353074880848,17974.610076056746,18605.75491683674,19478.197912184824,18248.935851551294
18035.465236236596,18132.031469181213,17923.462124147387,19371.305264739003,18754.95112720205,18125.903228284566
17890.435386765217,17975.831430849372,17732.888760325008,18666.332003622214,19160.546889725883,18023.45316384257
17923.946658475543,17865.165853301856,17792.91452556846,18634.958386857008,18970.095663208496,17903.801620857404
18487.69828924134,18706.679819548826,18555.44844896132,19826.46347874142,19091.211552253368,18536.083339672197
17625.241229072733,17646.698418264205,17376.97365006055,18476.275210818436,19057.265901262348,17732.44780643278
17914.4031482535,18144.421000398812,17762.612841536302,19233.455814953995,18861.93838864242,18118.249082734146
17677.40619654007,17637.333398410854,17769.79642225058,19288.771958620913,18313.28463175697,17682.571602220803
18125.491599513392,17995.259045985942,17822.591965115025,19827.808604021564,18424.707511900833,18040.0647155277
18017.629470247775,18000.23607110773,17776.37741420333,18745.79510074095,18973.656709982126,18126.585659639975
17468.72770020924,17742.86202315096,17618.090399853634,18593.310613696423,18640.015070205893,17813.637515348793
17957.274537753456,18275.065240814198,17780.145453541445,18855.755526300316,19371.315144829634,18253.737605561175
17996.99687954653,18207.23429025323,18214.071417574327,18973.815031710288,19500.93759555761,18012.630484485493
17409.147056140853,17461.973521832657,17393.113943623197,18321.172402830154,18081.417245576904,17457.472270908183
18011.09967704461,17919.947622711603,18015.5840706034,18936.68019923889,18947.595256028493,18061.939828354247
17929.610876484232,18142.273829341233,17992.907149941035,19080.447615635167,18999.391589811425,18140.89204445613
18493.461709139578,18547.396955444794,18368.469859750494,19282.709381036682,20861.75427740493,18670.758804406338
17916.657113970992,18054.310089749688,17914.19095015673,19040.395378116562,18517.80036016441,17882.547412616597
18210.30919364891,17868.358641465213,17836.733670942984,19603.494055405816,18791.695124328056,18151.473780449945
18440.692577394508,18240.0006967754,18008.490318334396,19394.606685851646,19466.213476751207,18500.056671912702
17879.665636039037,17799.113879808396,17522.948975686028,18410.642686040756,18605.389270288488,17719.451546543653
18254.631490898366,18483.531611717903,17949.417335975046,20301.64922656127,18660.808706788186,18338.063234938385
