TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C,PRODUCE_SOUND_C
15711.552369014984,15803.46733375833,20471.612302575897,16505.13361093661,16856.19187591016,17098.088735726542
16595.27627232272,16392.722908104588,18216.823526586606,16747.607455641566,16600.738063101584,16495.756398159745
15780.810747687392,15589.180991831015,17149.551149542138,15789.258245799023,15780.584374642041,15805.571263794849
16350.876967216953,16167.326511841526,17998.175576767582,16403.44487244005,16490.477847918544,16281.362190372363
15701.191751987799,15630.874499541846,17058.675552971807,15825.836671301404,15762.778148946172,15631.939796715316
16311.535363996014,15987.738476263683,17992.59968503716,16497.790697425207,16389.539674373595,16259.305858821113
16260.276458045451,16103.00623858473,17741.924446602996,16356.133404168799,16373.229838736546,16323.496826076916
16165.661477877393,16054.001529537922,17591.20182848722,16272.464171435973,16243.34274615672,16121.466783352525
15635.160119390843,15820.546273963988,17758.070133149533,15989.180793932086,16067.781183072464,15904.591555461335
15946.548378977803,15833.464900769552,17328.97678428627,16069.12012129192,16080.509783561289,16080.0115855929
16290.58058293996,16195.65402529991,17823.731606187695,16441.50271807228,16258.034244650593,16329.379908893794
15578.531452797983,15701.547373733612,17319.393008169387,15795.064511872913,15588.76731401045,15741.901189737417
15697.782378594231,15647.048678656458,17315.468231857267,16031.470386956906,15974.809954694205,15897.255232198051
16059.063893395658,15776.519702712085,17528.533087005282,16136.256034354581,16227.324335392203,15945.030213005008
15921.01700099509,15708.133916680517,17617.028030962545,16125.874448155104,16166.254456000379,16134.957292457271
15826.283785213429,15761.377587265173,17605.174350905992,16035.515819309785,16071.156132128765,15909.02012310416
16351.16531911375,16527.34817428548,17926.418985337008,16521.683620113363,16512.758750924797,16583.134306628468
16113.093118985147,15915.660686052612,17590.841633252858,16165.760640597364,16188.83787922358,16058.902989959917
15658.989742969536,15732.132762912459,17558.16509288356,15886.375446907354,15885.197771633402,15785.301454395885
15717.977503611713,15830.086180664228,17386.968936015965,15949.558887653482,15933.47622117701,15904.349207193782
16003.749527435684,16185.567440824887,17733.686484916558,16375.754637409724,16333.086443896687,16284.022870546176
16056.572296126538,16295.883486959552,17848.510163323037,16357.299482906717,16337.389593330183,16407.951200459054
15887.64604819318,15920.63455691144,17454.352480547223,16093.309251444447,16096.208773015207,16033.05204120861
16015.693568880151,16000.77386293611,17426.499685143466,16163.324707481213,16218.215128641108,16006.450653004555
16609.020012315763,16576.848316237538,18023.424451582952,16641.758207514966,16562.206025990054,16665.332076299255
15663.677598764969,15736.393208997584,17347.673841382097,15927.282913024337,15760.479616044428,15797.697542298143
16090.891016601174,16251.076293808595,17705.98456742089,16362.521954891374,16403.35771191332,16220.465084693044
15888.944804139366,16013.784870244488,17519.55930500336,16083.49768550795,16027.115497989736,15945.218603523022
16190.53733232847,15936.298565723831,17827.252336026875,16348.590261651241,16337.602926912532,16270.70150298801
15810.882400483644,15732.947024731822,17400.776170177032,15970.807408674811,15878.508590337544,15877.55907148829
15824.771182938517,15673.741778187936,17324.106995713522,16032.765587273017,16114.563955338639,15978.322781878425
15972.687807113247,16177.603467756415,17787.10653387947,16342.51526902868,16287.144555067754,16357.081998230555
16240.72348227047,16447.396444241815,17974.263530102377,16481.37153338139,16647.159087290096,16639.958672679088
15585.907972280129,15455.81426609952,16868.590994739636,15650.949928859885,15674.979667384698,15640.549297197313
16349.880392382533,16052.54275463502,17703.776914190395,16362.104292275058,16355.14528111987,16249.092019019748
15999.781750129256,16064.015057197774,17703.41716226545,16216.076458409281,16217.429368512767,16229.733483646263
16779.916825196105,16724.505112873136,18758.54399715432,16581.269034684865,16839.986731748733,16980.532972657315
16083.21343120652,15851.136675799158,17403.489386976333,16154.992691796211,16120.59852760497,15982.245501854737
16398.143597398423,16126.43100558419,17903.19343642684,16476.08321221987,16433.32074631297,16261.43295975375
16529.851738391826,16171.106399964758,18081.93500138994,16554.1871176312,16442.139838797902,16405.418585465282
15604.494507514233,15650.49796302416,17065.36503213242,15774.703888609702,15824.223887428285,15849.644938652484
16230.117653852985,16465.552189988968,18362.69220692836,16541.174907406985,16499.850534150504,16562.38821000368
15897.842057549797,15976.085967769899,17543.721059626707,16029.924281749258,16053.733076680823,16093.401979626233
16120.523416649425,16062.442882577921,18357.57043719577,16373.352815337428,16357.446852047184,16328.557106076829
