TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C,PRODUCE_SOUND_C
18077.037191717758,4707.072240290116,1868.1187185894391,3510.289857133273,1706.7454124144176,3776.49706089745
17177.48484749782,10479.870016773642,6309.531737709434,8921.598533808112,3322.0604945465334,10682.509157030247
16123.630109036532,12335.594139214534,10166.686275074882,10799.017240757159,8080.0955144221825,13339.352309786393
16930.256977399695,13351.013683587358,12591.318629898302,14154.272275587831,11995.830551867768,14655.496707728564
16091.388160103319,14264.17116365342,14214.734760414616,14778.099366106855,13406.324225652786,14906.431064648765
16812.731906694684,15125.144733213067,14874.378976249891,14950.51097497774,15046.441806518436,14955.634966694926
16666.76469133125,15501.838955690984,15285.172500222512,15265.215441661623,15397.382997680965,15263.602271618971
16504.137246232964,15426.758889226896,15290.282879093154,15043.51743204127,15420.714794529955,15240.793436351903
16025.434214487335,15258.33972437007,14826.563473382646,14937.201877646261,14779.639026328736,14784.667090853103
15925.68490058424,15745.682063427159,14927.168465375931,15226.336670820596,14831.053245304705,14812.595819278788
16352.303805618876,15654.468868656293,14814.298515718827,15049.642244915676,15004.268010998574,14817.878567515916
14997.248951907519,15858.439901183718,14627.63769469751,14752.938870409862,14656.676909809421,14714.514826301072
15140.774217660566,15474.534925038546,14570.570984466414,14677.206920746947,14602.976976137887,14589.417988820147
16491.600044337192,14550.830151485483,14971.510058579932,14969.184756270133,14338.066219225826,14731.326598898006
16091.023818330283,15424.023402495844,15010.626912164998,15133.80177388955,14679.009244589064,14849.31113728211
14607.28630847474,16309.014375381816,14414.503044661897,14502.74732305954,14762.480245640805,14540.727995416799
15180.274621381497,16817.652901307454,14445.414460039132,14883.323155757334,15113.923355942208,14724.312495821427
16162.780857611488,15499.987200719266,14719.186258667476,15185.308371900714,15351.861688684723,15018.683826787717
16312.806045588171,14947.968837503155,14736.483777846099,15099.156784635712,14933.196673088984,14926.162800838125
15622.955022376605,15358.859357770481,14683.8401063314,14941.387677289991,15020.772359593862,14466.528107158494
15204.300372368707,16656.878867987652,15021.281590653822,15097.292335694916,14906.736370306999,15007.487798186876
14593.504376458774,16666.895383445575,14595.158594164312,14867.908353791334,14975.83190118162,14752.312014177489
15750.937199692069,15803.833330207572,14891.678215849019,15223.962831013048,15178.047482248627,15078.871496555874
16121.46414801929,15558.662840271212,15131.730485228656,15351.642821292788,15330.268249167753,15074.932971735136
16707.396017879808,14934.653300763,15057.343583956452,14885.608047826983,14711.663841607293,14844.215133429248
15667.710118426472,15411.13499150489,14949.489876096633,15092.14894314077,14987.715016896916,14846.400836029805
15411.017769014827,16612.9205170863,15111.3065644474,15350.33986760852,15463.161777705818,15133.546922360823
15161.291045647662,16459.83677537245,14903.50469950285,15122.720269303556,15227.829268782903,15064.728790183537
16523.714317637692,15041.147654703442,14759.072799604253,15029.371119304184,14886.437791903338,14825.049696984881
16360.890943858634,14726.846815227236,14820.707043866594,14980.023439821583,14931.889302600339,14913.895949155058
15800.340828871118,15345.597623637641,14894.76754059734,15104.405391941358,14958.61348024992,15029.605197073834
15441.774409720609,16589.640346626093,15168.791915033453,14751.026999164325,14827.388461692028,14857.035467314707
15311.4062245672,16796.49178553444,15322.261983169443,15361.373275020445,15221.951240367254,15143.35755151636
15588.00533014015,15106.415539582073,14785.084855460762,14749.52597830981,14731.415139015144,14709.789247573075
16545.05982173487,14994.537709710808,14739.46013986074,14652.19068699945,14257.615522561406,14487.563553101896
16435.617235892976,14685.378350285537,14537.602992983062,14530.101623001445,14561.925523434795,14636.22351197567
16590.720598650638,15985.147841350885,14605.963989964923,14795.587430821899,14890.367582438404,14454.11761880001
16297.616945580268,15138.63276635051,14919.665638249024,15051.601080495164,15071.0386529574,14892.895824555591
16696.5047561566,15031.76429358998,15025.17631707789,15160.739452780745,15128.462918078349,15046.354861093898
16821.129952627,15328.821065185839,15366.512828573512,15411.726239169295,15493.043652919983,15312.100019968499
15391.109490589664,15803.849708624779,15110.960080485462,15020.916027335605,15117.344637592325,15065.468646138848
14846.432840702168,16866.133417384088,15134.252579486718,14878.773327053741,15180.79756583505,15048.089772816658
15241.015904009244,16508.541996400647,15523.141541216279,15469.01570148856,15485.513844456911,15452.08224953259
15060.143942286613,16816.732056402787,14961.474249418548,14965.00342898013,14786.670804108591,14920.994406070722
15257.00779987998,16854.76142963614,15006.699186605627,15132.965480739676,14967.177397025878,15020.389413425732
15549.139448452457,15600.720584448247,14801.062592291491,14772.243356347446,14856.699283741244,14997.658634808351
15385.584048374243,15764.500443664381,14715.857890909494,14775.520236418848,14677.02386884692,14686.754046878854
15227.385577286854,15568.91384139781,14529.648132333377,14601.353284837902,14525.471327245292,14582.142035777533
14575.124875631329,17038.312859570746,15186.340510199203,14985.526535344548,14895.265229119783,14931.797013042336
14825.493208042344,16034.094931509466,14952.814725860926,14983.631048142814,14958.844548314253,14896.131273750178
16294.779837210752,14758.083227205354,14769.80115932631,14524.17135813303,14789.199795973744,14589.768901943185
15471.609812657574,15768.677663378081,14974.866599117719,14894.823082980416,15038.044540630284,14837.975302989993
14788.84008007271,16234.201814611828,14873.087824644654,15134.152527468881,14670.472273693902,14928.911880005735
14028.171956657301,16176.5386752871,14299.487863562337,14124.003330921549,14399.481118181242,14159.666764711468
14545.3499829482,16935.15138817345,14895.86259366212,14657.711794914916,15020.190231948414,14752.926400655637
14563.029020246615,16031.182212808215,14675.444380370522,14731.970051303966,14759.969334289039,14609.286299390787
14680.653590676446,16759.736820100494,14621.443814586737,15033.66770936487,14584.737929346913,14468.481441040462
14534.11161953246,16842.644391720838,14569.627806853443,14778.076217776354,14534.950226151032,14738.0820075685
15204.72830593305,15237.861046475957,14488.743709464437,14573.448357808229,14504.757250641855,14532.385300114218
16543.72588558113,14914.471303144666,14550.591423349268,14654.39432941973,14930.689947373863,14611.479685807606
15042.26601940535,16633.841224302363,14836.553643648935,15184.31695386247,14932.710515145647,15075.3060879629
16394.26704718168,15327.258065704935,15120.9451365744,15162.76905179181,15153.858932683494,15226.925089040778
15562.59772274392,16252.328357871327,15237.763458618914,15269.697862160836,15332.552677889018,15338.185106767844
16650.465479741,15227.920586045248,15239.184353585533,15407.935152576603,15132.80778369373,15191.48462088622
15058.128503156493,16190.552203483754,14971.289106476343,15148.127832707762,15049.934573664079,14959.251519839512
16128.43811471734,15826.369379572217,15047.392383792278,15254.437828091484,15164.413037612278,15093.010855609127
15626.03271105126,15453.508710357886,14922.934622612504,14999.796293527032,14978.220977764817,14963.667355577722
16344.89967192823,14840.444616409404,14932.75844219189,14675.98259448303,14506.276395152057,14687.248331697427
16607.176742586507,14848.319141017508,14088.598979144575,14515.707202307085,14776.034322703783,14404.589741804835
16395.755667674242,15339.928703894177,14715.838556842533,15163.926177165451,15447.178541199088,15024.059259268539
16119.338005334183,15588.954464119954,15065.3520477372,15051.117342865018,15085.45650535226,14939.359806165286
15597.47713135079,15605.596147461401,14892.470042173358,14944.981181288362,14826.55327361067,14754.57505295836
16597.740519495444,14830.814672271687,14482.539404233192,14619.109684258518,14825.322010710222,14396.391883385959
16334.829711387873,15252.89867955873,14642.964585922577,14782.734853996277,14973.755838918494,14524.560445096391
15909.489930697113,14831.86250318567,14610.12351183129,14716.725724826088,14858.265809837743,14522.613970254017
16233.231347699524,14164.709069707404,13946.787226062164,14189.875308433493,13936.03660786397,13929.67478584909
15164.015254000062,15740.330633278101,14486.372052252485,14828.35697442255,14372.166700752552,14469.165809590882
14727.531815538316,16628.876829100962,14883.672032232347,15432.926961604455,15061.274585428178,15184.878360785879
15221.614514837,16883.633048075193,14912.279520624756,15146.372182050409,15095.601055849262,14773.976016328254
15096.653564217691,15986.961072017595,14669.3894967544,14970.174734041102,14887.338560351847,14711.325548589855
13410.350482996833,16824.54600643239,14362.712103524389,13391.086818253603,13353.85310534603,14168.243417954829
14273.77169656542,16416.966515049167,14870.433089875132,14672.122749722914,14299.819067472486,14565.407484113546
15575.69472767897,15186.695871174685,14830.537099363946,14831.031222860796,14685.106069392632,14598.301477523282
14441.729414035282,16949.664009122436,14539.423907248498,14716.052196388528,14606.417633035095,15080.607376519076
14843.11505730063,16234.361120654967,14861.895518137426,15216.187700964001,15016.68646071604,15186.909090970415
15022.043160536972,16854.67701473313,15201.773586444979,15520.067748466596,15369.217547053191,15369.733781448076
15876.856009521774,15782.20820885608,15362.739607009295,15503.600535361948,15479.404513918915,15389.857550714585
16480.252741649016,14493.299820859855,14462.399418645298,14578.849075054482,14497.188541180589,14525.808624262254
16259.054654748787,15130.476255017269,14855.18865219693,15263.268374773328,14895.921228105686,14925.415773088538
16894.83514360628,15433.148171956853,15230.865627617633,15638.634654229956,15129.169350098575,15352.753903743007
15688.271714134917,15014.419644526939,14561.587024745646,14701.472567816401,14751.62761189705,14632.771471138074
16519.11174270109,14829.303815076226,14603.778508513875,14767.512907443384,15041.041317764784,14339.575912648028
15917.554639065516,14938.796205191693,14704.805663839541,14803.933058692839,14889.639775680025,14496.182044098869
16372.48025558374,14520.365626513229,14344.003993513179,13934.407563000359,14270.359295360144,13918.02736337968
16296.491326379515,15032.388869613944,14569.555639986333,14183.99777652434,14550.484984740848,14464.843632908338
14977.781267148157,16420.790355125067,14574.185118210053,14392.002412203292,14822.115404276581,14590.808919900175
15333.483974872217,16368.478786869755,14855.36713343357,14419.776122879995,15053.526160064117,15250.674327875247
16492.26345402231,14937.216642223508,15101.1497354885,15187.260859480028,14946.114024108987,14860.543038358284
15260.972368047976,15955.996433259814,14888.028195518533,14910.09399332543,14889.526287211045,15003.373461987429
16294.602670935685,14707.934953198663,14566.01315988836,14823.592813858804,15073.640837143734,14667.41425563286
16159.190082192094,15002.734421455867,14741.324074616328,15354.344843899837,15423.326433779852,14842.761272277843
16745.193646818003,14135.6932002364,14074.776298145713,14310.617906848036,14715.38293090153,14232.90099976887
14672.233904981736,16407.18831395419,13895.06819600757,14254.843233324216,13758.557388026951,13799.250350675604
15140.264333344974,16907.80902568515,14336.790599825206,14830.404943202606,14597.051199321266,14553.876727825374
15077.59285778286,15819.067085920811,14618.090086936094,14724.2221382732,14988.303107066105,14697.652976102177
15106.393101382113,15853.573111146921,14277.633246410569,14689.37310887467,14683.713471079418,14273.932000769582
16148.457745204052,14802.763239854843,14576.84968361721,14703.29632763705,14758.387986265285,14709.923906442236
16669.716280862165,14885.189876922768,15081.066066913272,14993.956896080073,15155.089873602312,14911.792758650508
14736.239664126151,16174.553880749896,14327.359602002387,14201.307184638183,14551.217147389894,14678.313072317966
14563.587250909412,16290.82520299255,14556.93609505009,14336.365726787411,14787.852261626533,15103.620330347254
14811.26734820304,16259.944613514617,14908.27437759811,14901.382816902527,15011.671430108187,14946.950865635956
14983.149255900376,16603.217455958482,15108.002010898394,15045.001842783196,15138.021768671042,15095.546706828402
14986.263780482861,16433.73355059748,14876.428143392379,15248.775772339162,14812.554840841649,14897.32297265654
15111.850924861536,16724.471952588014,15098.997642252863,15079.585712742928,14896.333748938054,15131.036070017735
15301.231649037252,16397.798954298396,15165.140922328792,15457.925271612892,15076.926357318882,15369.726745715943
15325.55260426002,16556.400127918478,15077.640087010936,15093.55642375617,15227.517746108166,15184.467209427576
15952.231636679748,15566.043100079603,15030.398742240772,15086.791254520918,15121.631344530806,15072.788483508531
14525.557083901054,16375.58906353481,14697.276101148163,14584.509600182404,14852.21372053751,14491.196486307706
15161.730309391818,16646.284208859895,15041.12785745871,15107.78151673701,15454.509504517615,14773.683081813791
15350.441733467456,16261.74561075469,15190.511751187221,15237.37532729852,15235.114995456779,15099.556136640304
17022.986175253933,15420.270734842565,14723.3617505456,14977.21592153391,14869.23225212532,14653.548079048629
15984.659114365684,15172.19363566375,14781.07640439584,15126.997268955478,15086.864773305388,14692.148946436006
15731.742725622214,15041.748841883953,14428.111985784766,14598.377911486532,14546.190631953128,14634.46659417704
16016.729895630098,15222.855212035525,14622.237170796949,14670.63999437192,14695.092141445248,14712.65229367742
16331.17239014944,14863.209674730488,15171.387684481348,14825.143245798768,15090.989081358603,14967.246734469576
16430.320809635192,15538.958712028993,14974.710296955565,15364.658570318918,15198.269861064658,15161.173850979501
14802.954730961426,16336.231071432358,14530.69323516778,14866.772349862506,14743.171229999616,14628.133284926244
16011.402005733327,16203.115159718598,14946.867836079238,15438.834501096733,15191.132721208107,14930.603581353365
15177.52794299026,16135.21074007143,14913.423589803253,15171.042702333803,15042.040696324048,15031.198941212338
14517.202372460331,16095.82802361483,14526.780822318791,14709.355705285592,14668.290025611463,14560.77012115454
15817.542413301426,15326.9142493762,14439.147976179902,14603.309639905452,14366.695074965144,14514.08263465176
17107.982598419443,15338.281032006184,14718.24288766051,15181.271667991767,14973.494137887692,15187.24499424244
16281.791059112344,14813.777975349038,14636.022824157522,14785.537150275688,14733.20642267291,14766.257107731048
16207.38081588009,15250.777863451873,14304.599856867408,14675.418987147208,14233.364938044202,14396.916573586426
14887.957911443982,16453.09883314088,14322.866022065904,15069.777990116923,14442.051504718684,14901.397777407185
15599.719346652084,15422.236454736123,14458.447479722448,14906.000447520286,14667.466954376829,14773.68186851222
16548.310733856208,15323.256937299648,14817.561829611312,15039.277060322898,14867.787638186264,15130.060923808822
14890.157013864131,16138.992484395969,14885.178318373877,14938.970489814965,14897.04679505779,14986.313718800062
15186.456953146026,14941.974745920745,14357.575158053174,14391.799086655878,14368.069563239982,14350.270163144894
17229.887496358388,14672.551354316174,14340.599448062918,14117.566437902204,14776.84158693622,14317.795260106377
16061.980257296733,14814.806045579051,14623.389057854358,14529.952774520221,14750.645895985019,14592.18559515828
16574.73310210464,14946.965984303864,14538.109373704545,14525.095764486232,14815.542683156427,14683.428756954116
16512.22416240888,15121.83901842033,14748.225157031426,14778.800244782866,14906.720471566892,14893.301279986192
16093.97363869923,15556.647068108025,14934.844587940963,15149.029394541236,15312.016818921791,14874.60978197042
15508.230040467888,15251.275402280062,14492.897856791324,14393.962411325954,14462.551159765468,14300.7830500807
16284.040775362071,13926.718568960387,14554.725763358505,14186.216231338667,14230.286495915805,14049.037445019982
15971.719992812386,13906.145216747065,14283.14981163517,14274.063229208534,13960.08857049544,14115.77991787478
16504.75132579094,13854.03670202723,13763.30144851829,14407.817231693665,13408.583124234216,13422.110086964705
16458.36426433745,14734.401787673498,14204.597389962471,15149.574227268346,14595.345176925028,14624.720994736028
15529.24051691152,15806.821036168945,14721.083230791839,14883.070284911062,14806.936387693775,14886.72328829198
14696.522746542898,16072.914438204714,14869.666001582895,15034.702288937868,15070.059588831196,14680.591659901547
14700.489671385769,16656.212958187207,14940.641233895012,14923.164576634417,15128.70229871531,14705.057995433339
15155.869792553684,15449.802128916479,14818.963118905054,14874.279609822688,14880.990782955381,14750.925566878463
16960.217479613017,15012.56630302428,14470.61612827674,14507.75281395439,14673.143371243887,14900.246206936972
15030.689201622357,16001.123186406623,14514.81744670248,14737.603564907307,14820.26221539204,14840.13789756748
15574.097527444645,15575.347006222642,14646.884409251705,14940.300163877691,14716.920891147503,14695.833400706748
16937.649305700845,14872.042754668406,15000.66831849492,15177.98993879275,15020.349927358135,15273.969799142375
15711.283455152532,15054.50246570129,14793.631032808578,14820.591783051692,14915.430418657872,14827.545223011379
15387.232640108125,16317.394480784671,14251.907316516807,14365.723128180965,14607.257703900832,14673.582822553013
16895.387124867426,15141.10709077695,15067.01369788617,15514.717424028702,15133.49737787602,15012.605515447407
15623.354169128184,16283.538585206557,15319.229327121382,15500.40514630142,15402.405861863159,15256.620218783508
15256.62381274038,16358.158745456647,15175.788309526131,15208.371806450903,15195.717661180171,15168.479103302698
16408.977967381757,15340.348641526316,15052.478875576311,15068.456291353037,15183.55628006333,15133.571639844231
17029.745250376323,15086.456955909673,15191.965089517413,15232.00383039393,15454.039276300586,15420.93708248712
